카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년10월_계_총인구수,"281,787","2,646","4,490","17,991","33,262","12,821","2,920","1,794","3,137","1,499",853,"3,206","5,487","2,846","3,594","6,805","25,544","6,187","43,795","7,669","8,709","2,704","2,233","2,918","18,303","40,993","19,381"
2021년10월_계_연령구간인구수,"281,787","2,646","4,490","17,991","33,262","12,821","2,920","1,794","3,137","1,499",853,"3,206","5,487","2,846","3,594","6,805","25,544","6,187","43,795","7,669","8,709","2,704","2,233","2,918","18,303","40,993","19,381"
2021년10월_계_0~9세,"22,726",47,126,"1,408","5,899",830,58,38,57,11,14,77,130,59,124,425,"1,902",317,"3,137",334,334,101,48,76,"2,002","3,497","1,675"
2021년10월_계_10~19세,"29,488",110,189,"2,428","5,059","1,082",92,60,112,37,40,144,278,132,267,569,"2,572",517,"5,156",571,670,168,91,185,"1,741","4,745","2,473"
2021년10월_계_20~29세,"36,883",200,381,"3,075","3,157","1,372",151,117,180,65,48,215,413,290,339,"1,127","3,922",726,"6,444",902,"1,050",304,237,358,"2,098","6,472","3,240"
2021년10월_계_30~39세,"33,015",106,256,"2,131","6,548","1,367",115,95,136,62,26,144,255,155,267,863,"2,923",632,"4,816",726,761,239,204,263,"2,449","5,140","2,336"
2021년10월_계_40~49세,"42,500",193,420,"3,210","6,997","1,745",200,124,217,116,51,225,497,256,413,824,"3,680",831,"6,854",960,"1,019",277,265,371,"2,876","6,606","3,273"
2021년10월_계_50~59세,"49,268",491,855,"3,577","3,619","2,307",463,301,517,272,135,500,921,550,535,986,"4,499","1,131","8,559","1,301","1,648",429,414,494,"3,055","7,827","3,882"
2021년10월_계_60~69세,"36,336",594,957,"1,365","1,395","2,081",647,438,719,330,202,782,"1,175",618,758,943,"3,613","1,089","5,719","1,428","1,618",530,504,571,"2,242","4,292","1,726"
2021년10월_계_70~79세,"19,203",441,705,473,405,"1,226",643,343,627,309,161,623,918,436,576,678,"1,581",613,"2,079",975,"1,087",432,313,389,"1,128","1,537",505
2021년10월_계_80~89세,"10,636",403,515,279,156,704,471,240,494,256,145,418,784,291,272,346,721,278,886,413,462,192,127,185,605,757,236
2021년10월_계_90~99세,"1,665",60,86,41,26,104,79,37,78,34,31,75,111,54,41,42,123,50,135,58,58,32,29,26,102,118,35
2021년10월_계_100세 이상,67,1,0,4,1,3,1,1,0,7,0,3,5,5,2,2,8,3,10,1,2,0,1,0,5,2,0
2021년10월_남_총인구수,"140,625","1,311","2,318","8,866","16,958","6,417","1,474",861,"1,586",777,412,"1,556","2,737","1,460","1,751","3,363","12,560","3,117","21,843","3,828","4,397","1,323","1,167","1,480","9,232","20,286","9,545"
2021년10월_남_연령구간인구수,"140,625","1,311","2,318","8,866","16,958","6,417","1,474",861,"1,586",777,412,"1,556","2,737","1,460","1,751","3,363","12,560","3,117","21,843","3,828","4,397","1,323","1,167","1,480","9,232","20,286","9,545"
2021년10월_남_0~9세,"11,627",34,56,708,"3,059",440,29,19,32,7,8,39,66,40,61,207,965,172,"1,547",178,178,52,24,38,"1,045","1,772",851
2021년10월_남_10~19세,"15,327",51,102,"1,272","2,670",588,48,25,62,23,20,79,140,75,138,314,"1,279",275,"2,682",309,355,84,50,97,911,"2,463","1,215"
2021년10월_남_20~29세,"20,096",123,228,"1,651","1,693",697,92,54,117,40,31,112,240,181,185,577,"2,179",384,"3,579",508,603,161,114,206,"1,160","3,423","1,758"
2021년10월_남_30~39세,"17,002",55,157,"1,083","3,167",731,74,52,92,43,14,82,149,95,152,476,"1,484",344,"2,520",382,398,138,126,144,"1,244","2,607","1,193"
2021년10월_남_40~49세,"20,949",113,262,"1,424","3,467",898,139,79,148,80,34,134,319,143,218,412,"1,787",427,"3,267",534,566,145,159,194,"1,482","3,077","1,441"
2021년10월_남_50~59세,"24,849",304,525,"1,763","1,972","1,227",290,168,307,168,85,263,516,294,277,490,"2,094",594,"4,071",636,844,213,243,261,"1,519","3,827","1,898"
2021년10월_남_60~69세,"18,204",320,497,692,720,"1,061",331,244,365,195,104,408,630,332,358,443,"1,746",510,"2,862",664,746,239,243,279,"1,126","2,200",889
2021년10월_남_70~79세,"8,717",188,313,181,171,550,299,148,288,135,79,286,405,188,278,301,747,289,991,428,507,186,144,180,537,680,218
2021년10월_남_80~89세,"3,513",105,166,86,35,208,153,65,157,77,34,139,245,101,75,134,252,113,301,179,188,98,56,72,188,211,75
2021년10월_남_90~99세,336,18,12,6,4,17,19,7,18,6,3,13,26,11,9,9,27,9,23,10,12,7,8,9,20,26,7
2021년10월_남_100세 이상,5,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"141,162","1,335","2,172","9,125","16,304","6,404","1,446",933,"1,551",722,441,"1,650","2,750","1,386","1,843","3,442","12,984","3,070","21,952","3,841","4,312","1,381","1,066","1,438","9,071","20,707","9,836"
2021년10월_여_연령구간인구수,"141,162","1,335","2,172","9,125","16,304","6,404","1,446",933,"1,551",722,441,"1,650","2,750","1,386","1,843","3,442","12,984","3,070","21,952","3,841","4,312","1,381","1,066","1,438","9,071","20,707","9,836"
2021년10월_여_0~9세,"11,099",13,70,700,"2,840",390,29,19,25,4,6,38,64,19,63,218,937,145,"1,590",156,156,49,24,38,957,"1,725",824
2021년10월_여_10~19세,"14,161",59,87,"1,156","2,389",494,44,35,50,14,20,65,138,57,129,255,"1,293",242,"2,474",262,315,84,41,88,830,"2,282","1,258"
2021년10월_여_20~29세,"16,787",77,153,"1,424","1,464",675,59,63,63,25,17,103,173,109,154,550,"1,743",342,"2,865",394,447,143,123,152,938,"3,049","1,482"
2021년10월_여_30~39세,"16,013",51,99,"1,048","3,381",636,41,43,44,19,12,62,106,60,115,387,"1,439",288,"2,296",344,363,101,78,119,"1,205","2,533","1,143"
2021년10월_여_40~49세,"21,551",80,158,"1,786","3,530",847,61,45,69,36,17,91,178,113,195,412,"1,893",404,"3,587",426,453,132,106,177,"1,394","3,529","1,832"
2021년10월_여_50~59세,"24,419",187,330,"1,814","1,647","1,080",173,133,210,104,50,237,405,256,258,496,"2,405",537,"4,488",665,804,216,171,233,"1,536","4,000","1,984"
2021년10월_여_60~69세,"18,132",274,460,673,675,"1,020",316,194,354,135,98,374,545,286,400,500,"1,867",579,"2,857",764,872,291,261,292,"1,116","2,092",837
2021년10월_여_70~79세,"10,486",253,392,292,234,676,344,195,339,174,82,337,513,248,298,377,834,324,"1,088",547,580,246,169,209,591,857,287
2021년10월_여_80~89세,"7,123",298,349,193,121,496,318,175,337,179,111,279,539,190,197,212,469,165,585,234,274,94,71,113,417,546,161
