카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년01월_계_총인구수,"70,212","24,807","3,047","3,385","2,930","6,346","2,917","2,051","3,089","2,251","2,507","5,041","3,959","4,161","3,721"
2020년01월_계_연령구간인구수,"70,212","24,807","3,047","3,385","2,930","6,346","2,917","2,051","3,089","2,251","2,507","5,041","3,959","4,161","3,721"
2020년01월_계_0~9세,"4,359","2,395",109,156,82,325,115,49,108,93,97,230,228,225,147
2020년01월_계_10~19세,"5,564","3,016",163,163,158,407,188,116,180,95,134,283,209,247,205
2020년01월_계_20~29세,"5,722","2,680",220,228,168,492,189,115,202,101,151,309,281,283,303
2020년01월_계_30~39세,"5,528","2,688",210,243,144,455,165,92,144,127,134,331,280,261,254
2020년01월_계_40~49세,"8,400","3,878",309,330,287,674,262,194,335,223,241,422,415,417,413
2020년01월_계_50~59세,"11,998","4,059",563,560,516,"1,148",491,333,539,343,446,930,686,746,638
2020년01월_계_60~69세,"11,922","3,065",606,664,613,"1,155",572,405,560,441,461,"1,101",713,821,745
2020년01월_계_70~79세,"10,190","2,002",522,649,576,"1,056",568,432,577,428,482,848,715,744,591
2020년01월_계_80~89세,"5,728",887,305,356,342,575,333,277,366,353,311,516,377,363,367
2020년01월_계_90~99세,763,135,38,35,41,57,33,37,73,42,45,66,53,53,55
2020년01월_계_100세 이상,38,2,2,1,3,2,1,1,5,5,5,5,2,1,3
2020년01월_남_총인구수,"34,599","12,207","1,526","1,687","1,461","3,117","1,401",970,"1,521","1,062","1,255","2,462","1,966","2,061","1,903"
2020년01월_남_연령구간인구수,"34,599","12,207","1,526","1,687","1,461","3,117","1,401",970,"1,521","1,062","1,255","2,462","1,966","2,061","1,903"
2020년01월_남_0~9세,"2,207","1,208",55,82,40,164,54,29,55,47,58,112,114,113,76
2020년01월_남_10~19세,"2,896","1,557",92,81,86,215,102,55,99,54,75,149,99,134,98
2020년01월_남_20~29세,"3,166","1,448",119,118,98,293,100,64,107,59,88,191,152,168,161
2020년01월_남_30~39세,"2,817","1,258",120,150,95,252,84,51,72,64,71,182,151,122,145
2020년01월_남_40~49세,"4,797","1,967",194,208,177,396,151,122,208,140,159,250,281,255,289
2020년01월_남_50~59세,"6,582","2,099",306,334,298,604,262,196,322,183,275,510,392,424,377
2020년01월_남_60~69세,"5,880","1,475",314,316,307,553,281,199,285,220,227,543,368,405,387
2020년01월_남_70~79세,"4,358",901,223,277,239,463,255,160,235,166,194,361,306,330,248
2020년01월_남_80~89세,"1,748",266,94,115,117,171,100,90,128,113,96,152,98,98,110
2020년01월_남_90~99세,146,28,9,6,4,6,12,4,10,15,11,12,5,12,12
2020년01월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020년01월_여_총인구수,"35,613","12,600","1,521","1,698","1,469","3,229","1,516","1,081","1,568","1,189","1,252","2,579","1,993","2,100","1,818"
2020년01월_여_연령구간인구수,"35,613","12,600","1,521","1,698","1,469","3,229","1,516","1,081","1,568","1,189","1,252","2,579","1,993","2,100","1,818"
2020년01월_여_0~9세,"2,152","1,187",54,74,42,161,61,20,53,46,39,118,114,112,71
2020년01월_여_10~19세,"2,668","1,459",71,82,72,192,86,61,81,41,59,134,110,113,107
2020년01월_여_20~29세,"2,556","1,232",101,110,70,199,89,51,95,42,63,118,129,115,142
2020년01월_여_30~39세,"2,711","1,430",90,93,49,203,81,41,72,63,63,149,129,139,109
2020년01월_여_40~49세,"3,603","1,911",115,122,110,278,111,72,127,83,82,172,134,162,124
2020년01월_여_50~59세,"5,416","1,960",257,226,218,544,229,137,217,160,171,420,294,322,261
2020년01월_여_60~69세,"6,042","1,590",292,348,306,602,291,206,275,221,234,558,345,416,358
2020년01월_여_70~79세,"5,832","1,101",299,372,337,593,313,272,342,262,288,487,409,414,343
2020년01월_여_80~89세,"3,980",621,211,241,225,404,233,187,238,240,215,364,279,265,257
2020년01월_여_90~99세,617,107,29,29,37,51,21,33,63,27,34,54,48,41,43
2020년01월_여_100세 이상,36,2,2,1,3,2,1,1,5,4,4,5,2,1,3
