,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년03월_계_총인구수,"534,796","16,384","22,712","21,628","26,904","26,738","13,183","29,806","24,556","36,753","20,087","35,507","36,399","21,911","33,777","6,538","22,107","23,705","43,973","23,665","15,486","17,928","15,049"
2021년03월_계_연령구간인구수,"534,796","16,384","22,712","21,628","26,904","26,738","13,183","29,806","24,556","36,753","20,087","35,507","36,399","21,911","33,777","6,538","22,107","23,705","43,973","23,665","15,486","17,928","15,049"
2021년03월_계_0~9세,"36,181",934,696,"1,117","2,126","2,120",839,"2,347","1,901","1,966",729,"1,007","2,883","1,732","2,884",379,"1,696","1,697","4,327","2,154",730,"1,316",601
2021년03월_계_10~19세,"58,488","1,669",888,"1,323","2,772","2,238","1,265","3,503","5,464","6,115","2,452","1,374","5,452","2,366","4,765",579,"2,492","2,271","4,622","3,327","1,180","1,796",575
2021년03월_계_20~29세,"72,476","2,204","4,597","3,529","3,128","3,765","1,846","3,825","2,418","4,719","3,375","7,452","4,446","2,916","3,929",736,"2,827","3,303","5,332","2,568","2,141","1,869","1,551"
2021년03월_계_30~39세,"80,503","2,294","5,690","4,481","3,260","4,384","1,911","4,850","1,489","3,277","3,321","10,030","5,166","3,182","3,504",666,"2,777","3,636","6,625","2,871","2,235","2,609","2,245"
2021년03월_계_40~49세,"98,473","2,893","3,831","3,848","4,776","4,754","2,133","6,352","5,986","7,024","3,994","6,077","8,524","3,860","6,518",942,"3,666","4,010","7,854","4,513","2,116","3,140","1,662"
2021년03월_계_50~59세,"80,282","2,493","2,814","2,966","4,123","3,965","2,170","4,214","3,859","6,553","3,220","4,218","4,955","3,506","5,481","1,057","3,776","3,957","5,963","3,714","2,486","2,597","2,195"
2021년03월_계_60~69세,"59,810","1,784","2,265","2,250","3,165","3,007","1,676","2,437","1,924","4,263","1,562","3,031","2,615","2,552","3,622","1,185","3,056","3,021","5,026","2,891","2,551","2,562","3,365"
2021년03월_계_70~79세,"34,272","1,397","1,362","1,527","2,408","1,763",963,"1,655","1,081","2,134","1,082","1,663","1,719","1,235","2,151",707,"1,346","1,330","2,717","1,119","1,404","1,525","1,984"
2021년03월_계_80~89세,"11,959",616,494,502,966,617,311,528,356,596,307,553,550,468,774,235,381,401,"1,235",394,529,439,707
2021년03월_계_90~99세,"2,196",94,70,80,169,114,66,82,68,97,44,92,82,91,140,45,79,74,263,109,107,70,160
