,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년04월_계_총인구수,"406,690","14,539","14,046","17,086","17,272","18,159","7,657","47,692","32,152","19,502","23,855","26,863","20,740","18,166","8,987","14,403","17,761","23,074","13,278","21,870","15,789","13,799"
2020년04월_계_연령구간인구수,"406,690","14,539","14,046","17,086","17,272","18,159","7,657","47,692","32,152","19,502","23,855","26,863","20,740","18,166","8,987","14,403","17,761","23,074","13,278","21,870","15,789","13,799"
2020년04월_계_0~9세,"28,485","1,165","1,077","1,088",689,"1,388",300,"4,459","2,405","1,279","1,793","2,215","1,424","1,038",522,641,883,"2,189",645,"1,418","1,095",772
2020년04월_계_10~19세,"32,592",956,854,"1,372","1,039","1,388",394,"4,922","3,570","1,879","1,637","2,082",922,"1,206",701,898,"1,260","1,877","1,047","1,997","1,350","1,241"
2020년04월_계_20~29세,"57,157","1,858","2,051","2,172","3,765","2,770",866,"6,524","4,240","2,502","3,398","3,463","4,317","2,306","1,117","1,716","2,586","2,856","1,613","2,973","2,195","1,869"
2020년04월_계_30~39세,"56,978","2,217","2,383","2,297","1,860","2,898",873,"6,580","3,516","2,366","3,829","4,344","4,438","2,272","1,007","1,673","2,445","3,822","1,498","2,710","2,032","1,918"
2020년04월_계_40~49세,"64,217","2,174","2,040","2,557","2,183","2,700","1,049","8,467","5,706","3,110","3,666","4,133","3,130","2,594","1,446","1,981","2,717","3,953","2,025","3,446","2,320","2,820"
2020년04월_계_50~59세,"68,017","2,392","2,244","2,826","2,694","2,722","1,342","7,756","5,664","3,420","3,826","4,326","3,138","3,160","1,545","2,506","3,178","3,473","2,404","4,070","2,838","2,493"
2020년04월_계_60~69세,"53,907","2,000","1,785","2,452","2,487","2,291","1,398","5,129","3,993","2,601","3,029","3,580","2,046","2,929","1,376","2,560","2,530","2,738","2,150","2,982","2,305","1,546"
2020년04월_계_70~79세,"30,790","1,190","1,012","1,562","1,754","1,416",938,"2,628","2,135","1,564","1,813","1,857",915,"1,809",906,"1,678","1,417","1,437","1,273","1,576","1,122",788
2020년04월_계_80~89세,"12,460",509,496,659,678,486,421,"1,068",805,656,734,745,353,733,322,639,635,624,526,617,453,301
2020년04월_계_90~99세,"1,908",74,88,95,108,87,63,157,111,114,122,106,54,107,40,100,101,97,88,76,72,48
2020년04월_계_100세 이상,179,4,16,6,15,13,13,2,7,11,8,12,3,12,5,11,9,8,9,5,7,3
2020년04월_남_총인구수,"204,942","7,342","7,076","8,621","9,316","9,176","4,009","23,716","16,011","9,633","11,869","13,670","10,800","9,212","4,578","7,177","8,853","11,518","6,481","10,725","7,788","7,371"
2020년04월_남_연령구간인구수,"204,942","7,342","7,076","8,621","9,316","9,176","4,009","23,716","16,011","9,633","11,869","13,670","10,800","9,212","4,578","7,177","8,853","11,518","6,481","10,725","7,788","7,371"
2020년04월_남_0~9세,"14,570",588,554,562,365,734,151,"2,287","1,219",631,918,"1,095",758,524,278,312,440,"1,126",315,729,595,389
2020년04월_남_10~19세,"16,832",491,437,747,532,768,199,"2,555","1,852",977,797,"1,083",468,642,355,447,632,971,557,"1,005",684,633
2020년04월_남_20~29세,"30,300",977,"1,026","1,132","2,430","1,397",512,"3,383","2,260","1,374","1,706","1,791","2,147","1,276",629,936,"1,330","1,459",860,"1,574","1,119",982
2020년04월_남_30~39세,"30,535","1,183","1,318","1,277","1,073","1,564",515,"3,283","1,789","1,228","2,043","2,384","2,490","1,225",551,920,"1,357","1,967",806,"1,435","1,034","1,093"
2020년04월_남_40~49세,"33,886","1,223","1,101","1,314","1,261","1,410",629,"4,312","2,803","1,557","1,964","2,233","1,732","1,410",781,"1,076","1,468","2,092","1,063","1,700","1,174","1,583"
2020년04월_남_50~59세,"34,078","1,212","1,128","1,445","1,392","1,357",740,"3,837","2,833","1,666","1,903","2,170","1,586","1,627",791,"1,268","1,573","1,716","1,128","1,937","1,318","1,451"
2020년04월_남_60~69세,"25,865",968,896,"1,160","1,176","1,078",666,"2,462","1,971","1,242","1,438","1,784","1,035","1,381",666,"1,182","1,198","1,257",993,"1,403","1,129",780
2020년04월_남_70~79세,"13,924",512,438,735,798,670,405,"1,207",959,714,799,836,435,832,397,763,628,663,539,693,555,346
2020년04월_남_80~89세,"4,475",166,164,216,261,173,168,358,294,215,270,269,138,270,113,254,203,246,199,228,160,110
2020년04월_남_90~99세,429,22,11,33,25,21,21,32,27,24,30,20,9,23,15,16,21,18,18,21,19,3
2020년04월_남_100세 이상,48,0,3,0,3,4,3,0,4,5,1,5,2,2,2,3,3,3,3,0,1,1
2020년04월_여_총인구수,"201,748","7,197","6,970","8,465","7,956","8,983","3,648","23,976","16,141","9,869","11,986","13,193","9,940","8,954","4,409","7,226","8,908","11,556","6,797","11,145","8,001","6,428"
2020년04월_여_연령구간인구수,"201,748","7,197","6,970","8,465","7,956","8,983","3,648","23,976","16,141","9,869","11,986","13,193","9,940","8,954","4,409","7,226","8,908","11,556","6,797","11,145","8,001","6,428"
2020년04월_여_0~9세,"13,915",577,523,526,324,654,149,"2,172","1,186",648,875,"1,120",666,514,244,329,443,"1,063",330,689,500,383
