카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년02월_계_총인구수,"346,072","30,842","24,863","30,616","19,438","29,259","30,139","38,558","32,976","21,106","10,253","14,296","24,302","18,690","20,734"
2020년02월_계_연령구간인구수,"346,072","30,842","24,863","30,616","19,438","29,259","30,139","38,558","32,976","21,106","10,253","14,296","24,302","18,690","20,734"
2020년02월_계_0~9세,"21,824","1,367","1,082","1,994","1,327","2,802","1,942","2,651","2,975",929,508,729,"1,363",765,"1,390"
2020년02월_계_10~19세,"25,097","1,526","1,440","2,073","1,815","2,027","2,201","2,698","2,946","1,245",749,869,"2,159","1,430","1,919"
2020년02월_계_20~29세,"55,144","5,749","4,167","4,703","2,414","4,025","4,072","5,201","3,876","2,492","2,896","3,123","5,111","4,495","2,820"
2020년02월_계_30~39세,"51,255","5,276","3,390","4,472","2,381","5,533","4,509","6,433","5,209","2,503","1,476","2,152","3,070","2,246","2,605"
2020년02월_계_40~49세,"52,345","4,336","3,230","4,531","3,166","4,693","4,604","6,439","5,790","2,794","1,364","1,843","3,602","2,603","3,350"
2020년02월_계_50~59세,"54,489","4,774","3,910","5,010","3,336","4,361","5,143","6,121","5,018","3,770","1,208","2,240","3,539","2,649","3,410"
2020년02월_계_60~69세,"45,144","3,971","3,805","4,079","2,586","3,114","4,101","5,172","4,096","3,748",961,"1,702","2,917","2,195","2,697"
2020년02월_계_70~79세,"28,024","2,586","2,578","2,529","1,617","1,829","2,472","2,816","2,225","2,480",702,"1,108","1,782","1,516","1,784"
2020년02월_계_80~89세,"10,916","1,074","1,093","1,040",715,739,962,860,712,978,321,454,645,659,664
2020년02월_계_90~99세,"1,547",160,145,144,72,106,113,145,114,136,57,68,104,97,86
2020년02월_계_100세 이상,287,23,23,41,9,30,20,22,15,31,11,8,10,35,9
2020년02월_남_총인구수,"171,835","15,755","12,749","15,372","9,323","14,191","14,714","19,206","16,530","10,581","4,898","7,054","12,058","9,302","10,102"
2020년02월_남_연령구간인구수,"171,835","15,755","12,749","15,372","9,323","14,191","14,714","19,206","16,530","10,581","4,898","7,054","12,058","9,302","10,102"
2020년02월_남_0~9세,"11,173",698,561,"1,026",665,"1,421","1,009","1,342","1,542",472,265,388,704,379,701
2020년02월_남_10~19세,"12,681",811,737,"1,034",891,"1,029","1,100","1,390","1,564",660,332,434,"1,020",697,982
2020년02월_남_20~29세,"27,736","2,802","2,293","2,386","1,224","1,895","2,026","2,513","2,039","1,324","1,402","1,444","2,724","2,302","1,362"
2020년02월_남_30~39세,"26,566","2,805","1,880","2,333","1,178","2,634","2,311","3,309","2,614","1,347",767,"1,161","1,636","1,266","1,325"
2020년02월_남_40~49세,"26,954","2,360","1,770","2,378","1,499","2,420","2,337","3,354","2,947","1,485",678,957,"1,789","1,326","1,654"
2020년02월_남_50~59세,"27,387","2,534","2,026","2,554","1,643","2,140","2,513","3,039","2,511","1,911",588,"1,147","1,715","1,358","1,708"
2020년02월_남_60~69세,"21,807","2,014","1,843","2,069","1,206","1,503","1,929","2,513","1,966","1,847",425,822,"1,377","1,020","1,273"
2020년02월_남_70~79세,"12,655","1,218","1,155","1,119",672,831,"1,102","1,355","1,046","1,123",293,493,810,642,796
2020년02월_남_80~89세,"4,333",454,429,417,316,275,355,348,269,365,131,183,238,279,274
2020년02월_남_90~99세,459,52,50,42,25,32,22,36,28,42,16,20,42,27,25
2020년02월_남_100세 이상,84,7,5,14,4,11,10,7,4,5,1,5,3,6,2
2020년02월_여_총인구수,"174,237","15,087","12,114","15,244","10,115","15,068","15,425","19,352","16,446","10,525","5,355","7,242","12,244","9,388","10,632"
2020년02월_여_연령구간인구수,"174,237","15,087","12,114","15,244","10,115","15,068","15,425","19,352","16,446","10,525","5,355","7,242","12,244","9,388","10,632"
2020년02월_여_0~9세,"10,651",669,521,968,662,"1,381",933,"1,309","1,433",457,243,341,659,386,689
2020년02월_여_10~19세,"12,416",715,703,"1,039",924,998,"1,101","1,308","1,382",585,417,435,"1,139",733,937
2020년02월_여_20~29세,"27,408","2,947","1,874","2,317","1,190","2,130","2,046","2,688","1,837","1,168","1,494","1,679","2,387","2,193","1,458"
2020년02월_여_30~39세,"24,689","2,471","1,510","2,139","1,203","2,899","2,198","3,124","2,595","1,156",709,991,"1,434",980,"1,280"
2020년02월_여_40~49세,"25,391","1,976","1,460","2,153","1,667","2,273","2,267","3,085","2,843","1,309",686,886,"1,813","1,277","1,696"
2020년02월_여_50~59세,"27,102","2,240","1,884","2,456","1,693","2,221","2,630","3,082","2,507","1,859",620,"1,093","1,824","1,291","1,702"
2020년02월_여_60~69세,"23,337","1,957","1,962","2,010","1,380","1,611","2,172","2,659","2,130","1,901",536,880,"1,540","1,175","1,424"
2020년02월_여_70~79세,"15,369","1,368","1,423","1,410",945,998,"1,370","1,461","1,179","1,357",409,615,972,874,988
2020년02월_여_80~89세,"6,583",620,664,623,399,464,607,512,443,613,190,271,407,380,390
2020년02월_여_90~99세,"1,088",108,95,102,47,74,91,109,86,94,41,48,62,70,61
2020년02월_여_100세 이상,203,16,18,27,5,19,10,15,11,26,10,3,7,29,7
