,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2021년07월_계_총인구수,"20,388","1,151",994,"5,070","1,220",222,"1,888","6,479",940,380,"2,044"
2021년07월_계_연령구간인구수,"20,388","1,151",994,"5,070","1,220",222,"1,888","6,479",940,380,"2,044"
2021년07월_계_0~9세,905,35,22,328,53,2,42,292,22,11,98
2021년07월_계_10~19세,"1,073",46,27,284,62,8,82,399,31,18,116
2021년07월_계_20~29세,"2,628",82,49,991,182,40,138,576,79,24,467
2021년07월_계_30~39세,"1,821",69,58,589,127,11,86,602,40,22,217
2021년07월_계_40~49세,"2,353",112,112,634,118,17,152,832,87,34,255
2021년07월_계_50~59세,"3,530",193,211,695,205,25,349,"1,264",196,72,320
2021년07월_계_60~69세,"4,281",347,273,808,234,49,488,"1,435",229,92,326
2021년07월_계_70~79세,"2,381",166,161,423,156,51,337,727,154,64,142
2021년07월_계_80~89세,"1,147",83,60,251,71,15,172,297,85,32,81
2021년07월_계_90~99세,258,14,19,65,12,4,41,54,16,11,22
2021년07월_계_100세 이상,11,4,2,2,0,0,1,1,1,0,0
2021년07월_남_총인구수,"11,596",610,524,"2,971",705,139,"1,017","3,622",511,199,"1,298"
2021년07월_남_연령구간인구수,"11,596",610,524,"2,971",705,139,"1,017","3,622",511,199,"1,298"
2021년07월_남_0~9세,460,16,13,169,27,0,19,150,13,7,46
2021년07월_남_10~19세,576,21,14,135,34,7,42,231,17,8,67
2021년07월_남_20~29세,"1,901",46,29,767,134,36,82,383,46,12,366
2021년07월_남_30~39세,"1,128",39,36,346,81,8,51,377,25,15,150
2021년07월_남_40~49세,"1,485",63,65,416,80,15,95,488,60,18,185
2021년07월_남_50~59세,"2,064",115,123,406,112,15,218,706,122,46,201
2021년07월_남_60~69세,"2,314",187,140,430,135,29,272,784,117,48,172
2021년07월_남_70~79세,"1,185",90,84,199,62,23,163,377,77,35,75
2021년07월_남_80~89세,426,29,19,85,35,6,68,114,31,9,30
2021년07월_남_90~99세,54,3,0,18,5,0,7,11,3,1,6
2021년07월_남_100세 이상,3,1,1,0,0,0,0,1,0,0,0
2021년07월_여_총인구수,"8,792",541,470,"2,099",515,83,871,"2,857",429,181,746
2021년07월_여_연령구간인구수,"8,792",541,470,"2,099",515,83,871,"2,857",429,181,746
2021년07월_여_0~9세,445,19,9,159,26,2,23,142,9,4,52
2021년07월_여_10~19세,497,25,13,149,28,1,40,168,14,10,49
2021년07월_여_20~29세,727,36,20,224,48,4,56,193,33,12,101
2021년07월_여_30~39세,693,30,22,243,46,3,35,225,15,7,67
2021년07월_여_40~49세,868,49,47,218,38,2,57,344,27,16,70
2021년07월_여_50~59세,"1,466",78,88,289,93,10,131,558,74,26,119
2021년07월_여_60~69세,"1,967",160,133,378,99,20,216,651,112,44,154
2021년07월_여_70~79세,"1,196",76,77,224,94,28,174,350,77,29,67
2021년07월_여_80~89세,721,54,41,166,36,9,104,183,54,23,51
2021년07월_여_90~99세,204,11,19,47,7,4,34,43,13,10,16
2021년07월_여_100세 이상,8,3,1,2,0,0,1,0,1,0,0
