,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년12월_계_총인구수,"1,136,017","217,595","320,064","156,806","219,014","222,538"
2020년12월_계_연령구간인구수,"1,136,017","217,595","320,064","156,806","219,014","222,538"
2020년12월_계_0~9세,"98,506","16,638","23,877","14,889","25,296","17,806"
2020년12월_계_10~19세,"112,420","20,118","30,560","15,611","23,659","22,472"
2020년12월_계_20~29세,"144,569","26,816","45,747","17,725","27,769","26,512"
2020년12월_계_30~39세,"151,705","26,371","42,180","23,042","34,264","25,848"
2020년12월_계_40~49세,"187,808","34,258","51,653","25,990","38,590","37,317"
2020년12월_계_50~59세,"209,521","41,403","61,818","25,702","38,708","41,890"
2020년12월_계_60~69세,"145,347","31,856","41,402","22,709","19,850","29,530"
2020년12월_계_70~79세,"60,168","14,282","16,471","8,277","7,397","13,741"
2020년12월_계_80~89세,"22,712","5,163","5,644","2,467","3,022","6,416"
2020년12월_계_90~99세,"3,086",630,678,367,439,972
2020년12월_계_100세 이상,175,60,34,27,20,34
2020년12월_남_총인구수,"583,708","110,201","163,198","81,999","113,392","114,918"
2020년12월_남_연령구간인구수,"583,708","110,201","163,198","81,999","113,392","114,918"
2020년12월_남_0~9세,"50,619","8,579","12,295","7,618","12,989","9,138"
2020년12월_남_10~19세,"59,174","10,738","16,170","8,240","12,333","11,693"
2020년12월_남_20~29세,"81,200","14,945","25,501","10,012","15,677","15,065"
2020년12월_남_30~39세,"80,565","13,823","22,467","12,688","17,843","13,744"
2020년12월_남_40~49세,"95,644","17,485","25,173","14,136","19,748","19,102"
2020년12월_남_50~59세,"106,610","20,616","31,077","12,746","19,992","22,179"
2020년12월_남_60~69세,"73,250","15,511","20,579","11,471","10,413","15,276"
2020년12월_남_70~79세,"28,575","6,576","7,856","4,220","3,442","6,481"
2020년12월_남_80~89세,"7,503","1,805","1,947",812,885,"2,054"
2020년12월_남_90~99세,533,110,125,51,66,181
2020년12월_남_100세 이상,35,13,8,5,4,5
2020년12월_여_총인구수,"552,309","107,394","156,866","74,807","105,622","107,620"
2020년12월_여_연령구간인구수,"552,309","107,394","156,866","74,807","105,622","107,620"
2020년12월_여_0~9세,"47,887","8,059","11,582","7,271","12,307","8,668"
2020년12월_여_10~19세,"53,246","9,380","14,390","7,371","11,326","10,779"
2020년12월_여_20~29세,"63,369","11,871","20,246","7,713","12,092","11,447"
2020년12월_여_30~39세,"71,140","12,548","19,713","10,354","16,421","12,104"
2020년12월_여_40~49세,"92,164","16,773","26,480","11,854","18,842","18,215"
2020년12월_여_50~59세,"102,911","20,787","30,741","12,956","18,716","19,711"
2020년12월_여_60~69세,"72,097","16,345","20,823","11,238","9,437","14,254"
2020년12월_여_70~79세,"31,593","7,706","8,615","4,057","3,955","7,260"
2020년12월_여_80~89세,"15,209","3,358","3,697","1,655","2,137","4,362"
2020년12월_여_90~99세,"2,553",520,553,316,373,791
2020년12월_여_100세 이상,140,47,26,22,16,29
