카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년02월_계_총인구수,"45,595","13,717","3,703","3,760","1,876","3,666","6,498","4,162","1,589","1,417","2,917","2,290"
2020년02월_계_연령구간인구수,"45,595","13,717","3,703","3,760","1,876","3,666","6,498","4,162","1,589","1,417","2,917","2,290"
2020년02월_계_0~9세,"3,024","1,071",314,174,52,158,810,197,58,34,88,68
2020년02월_계_10~19세,"3,432","1,231",310,185,80,192,698,279,111,62,185,99
2020년02월_계_20~29세,"4,696","1,342",330,399,155,648,793,426,130,115,206,152
2020년02월_계_30~39세,"3,957","1,291",277,330,139,221,896,293,108,90,149,163
2020년02월_계_40~49세,"5,809","1,976",484,417,184,415,958,554,191,111,293,226
2020년02월_계_50~59세,"7,676","2,222",622,737,382,592,844,797,282,248,495,455
2020년02월_계_60~69세,"6,924","1,936",586,654,346,580,595,704,286,271,509,457
2020년02월_계_70~79세,"5,963","1,636",450,506,286,482,565,535,254,295,551,403
2020년02월_계_80~89세,"3,609",892,289,307,219,346,307,319,143,167,402,218
2020년02월_계_90~99세,464,107,37,50,32,30,32,53,23,23,37,40
2020년02월_계_100세 이상,41,13,4,1,1,2,0,5,3,1,2,9
2020년02월_남_총인구수,"23,431","6,810","1,862","1,986",999,"2,122","3,371","2,092",835,701,"1,467","1,186"
2020년02월_남_연령구간인구수,"23,431","6,810","1,862","1,986",999,"2,122","3,371","2,092",835,701,"1,467","1,186"
2020년02월_남_0~9세,"1,514",554,162,84,27,81,388,91,28,14,49,36
2020년02월_남_10~19세,"1,814",630,171,102,43,105,361,142,61,37,107,55
2020년02월_남_20~29세,"2,850",727,171,226,103,571,481,244,71,67,110,79
2020년02월_남_30~39세,"2,100",648,128,196,86,123,484,153,72,45,77,88
2020년02월_남_40~49세,"3,364","1,087",267,267,121,267,531,332,116,62,176,138
2020년02월_남_50~59세,"4,345","1,213",372,412,222,334,486,449,164,140,287,266
2020년02월_남_60~69세,"3,567",939,283,360,198,298,309,359,155,141,275,250
2020년02월_남_70~79세,"2,601",716,206,225,117,215,224,223,116,127,237,195
2020년02월_남_80~89세,"1,162",274,91,99,72,120,98,88,44,61,143,72
2020년02월_남_90~99세,110,21,11,15,10,8,9,11,6,7,6,6
2020년02월_남_100세 이상,4,1,0,0,0,0,0,0,2,0,0,1
2020년02월_여_총인구수,"22,164","6,907","1,841","1,774",877,"1,544","3,127","2,070",754,716,"1,450","1,104"
2020년02월_여_연령구간인구수,"22,164","6,907","1,841","1,774",877,"1,544","3,127","2,070",754,716,"1,450","1,104"
2020년02월_여_0~9세,"1,510",517,152,90,25,77,422,106,30,20,39,32
2020년02월_여_10~19세,"1,618",601,139,83,37,87,337,137,50,25,78,44
2020년02월_여_20~29세,"1,846",615,159,173,52,77,312,182,59,48,96,73
2020년02월_여_30~39세,"1,857",643,149,134,53,98,412,140,36,45,72,75
2020년02월_여_40~49세,"2,445",889,217,150,63,148,427,222,75,49,117,88
2020년02월_여_50~59세,"3,331","1,009",250,325,160,258,358,348,118,108,208,189
2020년02월_여_60~69세,"3,357",997,303,294,148,282,286,345,131,130,234,207
2020년02월_여_70~79세,"3,362",920,244,281,169,267,341,312,138,168,314,208
2020년02월_여_80~89세,"2,447",618,198,208,147,226,209,231,99,106,259,146
2020년02월_여_90~99세,354,86,26,35,22,22,23,42,17,16,31,34
2020년02월_여_100세 이상,37,12,4,1,1,2,0,5,1,1,2,8
