,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020년08월_계_총인구수,"843,782","185,904","2,309","5,074","3,976","6,963","4,101","5,814","7,019","9,118","11,056","30,083","13,651","53,751","32,989","198,128","10,273","3,412","7,960","14,623","15,048","14,924","27,109","31,570","13,872","13,774","45,563","265,825","23,391","10,893","18,002","17,515","51,814","16,294","51,436","9,847","24,718","28,448","13,467","193,925","19,775","69,105","4,694","12,466","8,826","11,742","48,716","18,601"
2020년08월_계_연령구간인구수,"843,782","185,904","2,309","5,074","3,976","6,963","4,101","5,814","7,019","9,118","11,056","30,083","13,651","53,751","32,989","198,128","10,273","3,412","7,960","14,623","15,048","14,924","27,109","31,570","13,872","13,774","45,563","265,825","23,391","10,893","18,002","17,515","51,814","16,294","51,436","9,847","24,718","28,448","13,467","193,925","19,775","69,105","4,694","12,466","8,826","11,742","48,716","18,601"
2020년08월_계_0~9세,"75,503","15,817",48,110,103,446,108,229,234,451,699,"2,615","1,596","5,556","3,622","14,565",660,95,327,"1,438",714,736,"2,492","2,723",593,715,"4,072","24,546","2,372",699,"2,308",979,"6,191",660,"4,373",533,"1,833","2,095","2,503","20,575","1,586","10,203",102,550,363,727,"4,484","2,560"
2020년08월_계_10~19세,"86,554","19,504",71,224,128,434,202,438,416,702,966,"3,748","1,948","6,471","3,756","20,893",688,134,560,"1,428","1,030","1,038","4,099","4,280","1,021","1,135","5,480","26,757","2,233","1,066","1,269","1,563","6,636","1,141","6,552",607,"2,405","2,388",897,"19,400","1,933","7,344",189,759,580,897,"5,369","2,329"
2020년08월_계_20~29세,"119,589","23,955",179,350,328,771,323,824,971,"1,102","1,390","3,951","1,589","7,528","4,649","28,670","1,169",200,959,"1,767","3,423","2,316","3,696","4,671","2,061","1,775","6,633","41,067","3,065","1,454","2,044","2,620","7,439","3,380","7,526","2,013","4,289","5,268","1,969","25,897","2,374","8,723",366,"2,067","1,138","1,769","7,524","1,936"
2020년08월_계_30~39세,"119,124","22,237",138,283,247,730,251,583,718,887,"1,249","3,309","1,633","7,581","4,628","23,484","1,105",224,791,"2,002","2,026","1,653","3,272","3,589","1,381","1,317","6,124","41,414","3,881","1,155","3,581","1,978","8,707","1,884","6,266","1,632","4,035","4,701","3,594","31,989","2,189","15,644",301,"1,497",876,"1,253","7,061","3,168"
2020년08월_계_40~49세,"136,916","29,775",186,430,375,825,424,774,880,"1,255","1,626","5,352","2,565","9,511","5,572","31,509","1,313",357,"1,058","2,126","1,929","1,924","5,299","5,805","1,845","1,738","8,115","43,514","4,077","1,578","2,548","2,567","10,113","2,101","8,872","1,376","4,024","4,445","1,813","32,118","3,171","12,323",432,"1,613","1,174","1,766","8,111","3,528"
2020년08월_계_50~59세,"137,915","32,354",474,963,893,"1,358",785,999,"1,217","1,687","1,931","5,081","2,147","9,004","5,815","34,916","2,225",630,"1,616","2,444","2,245","2,803","4,509","5,658","2,629","2,851","7,306","43,047","3,300","2,076","2,718","3,621","7,256","3,017","9,594","1,602","4,120","4,474","1,269","27,598","3,556","7,145",933,"2,099","1,610","2,003","7,952","2,300"
2020년08월_계_60~69세,"94,460","22,945",585,"1,243",924,"1,257",858,934,"1,279","1,521","1,697","3,370","1,191","5,023","3,063","24,782","1,733",767,"1,393","1,990","1,992","2,510","2,182","2,671","2,320","2,344","4,880","26,834","2,350","1,509","1,935","2,473","3,393","2,386","5,344","1,230","2,467","2,969",778,"19,899","2,536","4,468","1,085","1,917","1,590","1,697","5,071","1,535"
2020년08월_계_70~79세,"46,996","12,178",350,819,574,633,608,648,815,985,"1,023","1,832",650,"2,009","1,232","12,436",812,557,796,908,"1,193","1,293",994,"1,346","1,353","1,206","1,978","12,057","1,335",831,969,"1,092","1,368","1,224","1,944",592,"1,029","1,304",369,"10,325","1,467","2,038",715,"1,238",986,"1,080","2,025",776
