카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년02월_계_총인구수,"24,991","5,220","1,842","2,509","2,093","2,530","2,605","1,784","6,408"
2021년02월_계_연령구간인구수,"24,991","5,220","1,842","2,509","2,093","2,530","2,605","1,784","6,408"
2021년02월_계_0~9세,965,292,48,65,76,55,70,52,307
2021년02월_계_10~19세,"1,197",360,53,97,95,100,93,47,352
2021년02월_계_20~29세,"1,660",458,95,128,130,118,116,90,525
2021년02월_계_30~39세,"1,680",481,117,121,107,125,112,100,517
2021년02월_계_40~49세,"2,358",605,143,160,202,185,200,124,739
2021년02월_계_50~59세,"4,687","1,005",360,484,415,475,491,289,"1,168"
2021년02월_계_60~69세,"5,584",933,469,662,447,706,629,446,"1,292"
2021년02월_계_70~79세,"4,020",630,335,471,350,451,525,337,921
2021년02월_계_80~89세,"2,507",394,200,287,243,276,320,254,533
2021년02월_계_90~99세,311,53,22,33,26,38,46,43,50
2021년02월_계_100세 이상,22,9,0,1,2,1,3,2,4
2021년02월_남_총인구수,"12,478","2,599",918,"1,232","1,038","1,262","1,250",882,"3,297"
2021년02월_남_연령구간인구수,"12,478","2,599",918,"1,232","1,038","1,262","1,250",882,"3,297"
2021년02월_남_0~9세,500,158,23,33,38,30,37,25,156
2021년02월_남_10~19세,639,175,35,57,52,57,54,19,190
2021년02월_남_20~29세,"1,013",269,55,77,80,66,75,52,339
2021년02월_남_30~39세,983,271,75,69,58,78,59,68,305
2021년02월_남_40~49세,"1,362",324,91,89,122,106,116,78,436
2021년02월_남_50~59세,"2,486",529,182,257,226,250,252,159,631
2021년02월_남_60~69세,"2,787",463,245,320,217,353,315,243,631
2021년02월_남_70~79세,"1,764",270,147,207,154,203,222,150,411
2021년02월_남_80~89세,880,131,62,116,86,112,109,79,185
2021년02월_남_90~99세,58,7,3,6,5,7,11,8,11
2021년02월_남_100세 이상,6,2,0,1,0,0,0,1,2
2021년02월_여_총인구수,"12,513","2,621",924,"1,277","1,055","1,268","1,355",902,"3,111"
2021년02월_여_연령구간인구수,"12,513","2,621",924,"1,277","1,055","1,268","1,355",902,"3,111"
2021년02월_여_0~9세,465,134,25,32,38,25,33,27,151
2021년02월_여_10~19세,558,185,18,40,43,43,39,28,162
2021년02월_여_20~29세,647,189,40,51,50,52,41,38,186
2021년02월_여_30~39세,697,210,42,52,49,47,53,32,212
2021년02월_여_40~49세,996,281,52,71,80,79,84,46,303
2021년02월_여_50~59세,"2,201",476,178,227,189,225,239,130,537
2021년02월_여_60~69세,"2,797",470,224,342,230,353,314,203,661
2021년02월_여_70~79세,"2,256",360,188,264,196,248,303,187,510
2021년02월_여_80~89세,"1,627",263,138,171,157,164,211,175,348
2021년02월_여_90~99세,253,46,19,27,21,31,35,35,39
2021년02월_여_100세 이상,16,7,0,0,2,1,3,1,2
