카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년06월_계_총인구수,"155,129","40,122","5,769","19,722","11,688","14,913","20,681","8,823","21,206","12,205"
2021년06월_계_연령구간인구수,"155,129","40,122","5,769","19,722","11,688","14,913","20,681","8,823","21,206","12,205"
2021년06월_계_0~9세,"14,200","3,475",230,"2,122",891,"1,308","2,025",631,"2,294","1,224"
2021년06월_계_10~19세,"15,595","4,084",356,"1,929","1,173","1,392","2,310",922,"2,136","1,293"
2021년06월_계_20~29세,"17,340","4,599",712,"1,969","1,494","1,891","2,337",892,"2,330","1,116"
2021년06월_계_30~39세,"22,041","5,744",748,"2,823","1,473","2,115","2,629","1,058","3,684","1,767"
2021년06월_계_40~49세,"26,026","7,311",832,"3,240","1,961","2,318","3,437","1,416","3,418","2,093"
2021년06월_계_50~59세,"25,034","6,575","1,033","3,144","2,218","2,344","3,675","1,380","2,872","1,793"
2021년06월_계_60~69세,"23,450","5,506","1,172","2,905","1,745","2,281","2,976","1,677","3,256","1,932"
2021년06월_계_70~79세,"8,504","2,069",513,"1,119",537,980,957,642,975,712
2021년06월_계_80~89세,"2,567",653,155,420,173,249,286,181,210,240
2021년06월_계_90~99세,363,104,18,50,21,34,47,23,31,35
2021년06월_계_100세 이상,9,2,0,1,2,1,2,1,0,0
2021년06월_남_총인구수,"81,003","21,573","3,106","10,160","6,122","7,655","10,531","4,494","11,185","6,177"
2021년06월_남_연령구간인구수,"81,003","21,573","3,106","10,160","6,122","7,655","10,531","4,494","11,185","6,177"
2021년06월_남_0~9세,"7,231","1,760",116,"1,076",457,675,997,321,"1,197",632
2021년06월_남_10~19세,"8,272","2,203",191,"1,022",630,766,"1,170",466,"1,154",670
2021년06월_남_20~29세,"9,732","2,643",412,"1,088",828,930,"1,318",524,"1,377",612
2021년06월_남_30~39세,"12,104","3,319",470,"1,434",827,"1,158","1,353",576,"2,040",927
2021년06월_남_40~49세,"14,165","4,175",487,"1,792","1,013","1,265","1,758",746,"1,830","1,099"
2021년06월_남_50~59세,"12,543","3,478",537,"1,593","1,133","1,145","1,817",656,"1,338",846
2021년06월_남_60~69세,"11,684","2,756",560,"1,461",893,"1,091","1,510",828,"1,617",968
2021년06월_남_70~79세,"4,347","1,020",272,557,275,525,498,314,541,345
2021년06월_남_80~89세,871,209,57,125,65,93,104,62,85,71
2021년06월_남_90~99세,52,10,4,12,1,6,5,1,6,7
2021년06월_남_100세 이상,2,0,0,0,0,1,1,0,0,0
2021년06월_여_총인구수,"74,126","18,549","2,663","9,562","5,566","7,258","10,150","4,329","10,021","6,028"
2021년06월_여_연령구간인구수,"74,126","18,549","2,663","9,562","5,566","7,258","10,150","4,329","10,021","6,028"
2021년06월_여_0~9세,"6,969","1,715",114,"1,046",434,633,"1,028",310,"1,097",592
2021년06월_여_10~19세,"7,323","1,881",165,907,543,626,"1,140",456,982,623
2021년06월_여_20~29세,"7,608","1,956",300,881,666,961,"1,019",368,953,504
2021년06월_여_30~39세,"9,937","2,425",278,"1,389",646,957,"1,276",482,"1,644",840
2021년06월_여_40~49세,"11,861","3,136",345,"1,448",948,"1,053","1,679",670,"1,588",994
2021년06월_여_50~59세,"12,491","3,097",496,"1,551","1,085","1,199","1,858",724,"1,534",947
2021년06월_여_60~69세,"11,766","2,750",612,"1,444",852,"1,190","1,466",849,"1,639",964
2021년06월_여_70~79세,"4,157","1,049",241,562,262,455,459,328,434,367
2021년06월_여_80~89세,"1,696",444,98,295,108,156,182,119,125,169
2021년06월_여_90~99세,311,94,14,38,20,28,42,22,25,28
2021년06월_여_100세 이상,7,2,0,1,2,0,1,1,0,0
