,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년07월_계_총인구수,"209,602","4,831","2,010","2,939","8,899","2,954","2,266","3,926","13,681","3,861","3,618","2,276","3,143","1,962","2,703","23,542","6,911","15,301","5,234","9,468","18,478","3,753","9,294","14,623","37,300","6,629"
2021년07월_계_연령구간인구수,"209,602","4,831","2,010","2,939","8,899","2,954","2,266","3,926","13,681","3,861","3,618","2,276","3,143","1,962","2,703","23,542","6,911","15,301","5,234","9,468","18,478","3,753","9,294","14,623","37,300","6,629"
2021년07월_계_0~9세,"14,074",92,33,68,578,34,46,58,"2,048",335,93,50,73,60,95,"1,577",236,"1,197",237,342,"2,015",93,515,973,"2,662",564
2021년07월_계_10~19세,"18,550",207,63,111,415,101,85,119,"1,019",295,174,80,131,73,158,"2,502",516,"1,983",475,672,"2,380",154,734,"1,711","3,716",676
2021년07월_계_20~29세,"24,057",357,109,189,"1,422",166,119,248,"1,570",548,250,124,169,100,273,"2,719",836,"1,828",585,"1,048","2,181",526,"1,083","1,910","4,937",760
2021년07월_계_30~39세,"23,059",300,88,137,"1,402",164,110,170,"3,114",450,161,121,161,115,207,"2,423",600,"1,604",440,829,"2,616",273,995,"1,450","4,336",793
2021년07월_계_40~49세,"30,350",468,157,237,"1,195",208,164,306,"2,188",513,316,179,234,137,346,"3,617",913,"2,806",721,"1,145","3,392",402,"1,367","2,412","5,815","1,112"
2021년07월_계_50~59세,"36,959",998,404,596,"1,486",555,367,763,"1,555",515,690,424,548,334,464,"4,358","1,245","2,670",921,"1,697","2,860",705,"1,701","2,846","7,031","1,226"
2021년07월_계_60~69세,"33,679","1,230",612,810,"1,342",823,663,"1,135","1,251",593,926,602,896,545,554,"3,549","1,285","1,799",918,"2,006","1,844",814,"1,611","1,887","5,164",820
2021년07월_계_70~79세,"17,209",651,320,477,598,476,384,634,542,341,547,372,491,323,352,"1,730",798,880,577,"1,067",757,469,881,899,"2,238",405
2021년07월_계_80~89세,"10,300",478,189,276,407,385,283,426,339,246,397,286,387,247,220,954,428,477,325,585,380,283,364,476,"1,229",233
2021년07월_계_90~99세,"1,332",49,34,38,52,41,42,66,55,25,62,37,51,28,34,110,51,54,35,75,52,34,42,57,170,38
2021년07월_계_100세 이상,33,1,1,0,2,1,3,1,0,0,2,1,2,0,0,3,3,3,0,2,1,0,1,2,2,2
2021년07월_남_총인구수,"106,069","2,484","1,023","1,491","5,010","1,523","1,146","2,008","7,052","2,065","1,830","1,170","1,589",998,"1,336","11,764","3,499","7,508","2,607","4,762","9,169","2,019","4,852","7,227","18,480","3,457"
2021년07월_남_연령구간인구수,"106,069","2,484","1,023","1,491","5,010","1,523","1,146","2,008","7,052","2,065","1,830","1,170","1,589",998,"1,336","11,764","3,499","7,508","2,607","4,762","9,169","2,019","4,852","7,227","18,480","3,457"
2021년07월_남_0~9세,"7,094",55,12,31,283,16,21,37,"1,018",160,40,29,42,28,46,817,112,579,125,176,"1,016",42,268,507,"1,324",310
2021년07월_남_10~19세,"9,642",103,35,65,221,52,54,61,521,152,76,44,78,43,77,"1,312",265,"1,073",243,339,"1,206",91,361,889,"1,920",361
2021년07월_남_20~29세,"13,857",225,63,124,923,104,74,162,884,362,149,77,89,63,157,"1,557",486,"1,011",327,574,"1,191",309,636,"1,040","2,819",451
2021년07월_남_30~39세,"12,530",181,53,79,887,101,66,105,"1,699",257,93,76,89,60,128,"1,269",368,807,238,467,"1,306",179,551,762,"2,296",413
2021년07월_남_40~49세,"15,604",286,92,139,699,143,114,171,"1,161",290,194,104,138,80,191,"1,823",484,"1,329",375,641,"1,663",243,749,"1,119","2,801",575
2021년07월_남_50~59세,"18,895",530,209,324,845,307,185,421,772,289,373,213,297,170,250,"2,166",649,"1,301",471,858,"1,416",401,939,"1,434","3,418",657
2021년07월_남_60~69세,"16,895",638,320,422,705,438,333,582,631,308,493,323,479,300,253,"1,744",636,867,441,969,910,447,786,914,"2,532",424
2021년07월_남_70~79세,"7,692",288,166,214,292,212,189,305,244,147,252,176,224,148,148,745,350,364,248,486,343,208,414,397,945,187
2021년07월_남_80~89세,"3,535",168,66,84,140,136,97,150,106,94,146,115,135,99,84,296,138,168,131,231,116,94,140,150,384,67
2021년07월_남_90~99세,317,10,7,9,15,13,12,14,16,6,13,12,17,7,2,34,11,9,8,20,2,5,8,15,41,11
2021년07월_남_100세 이상,8,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
2021년07월_여_총인구수,"103,533","2,347",987,"1,448","3,889","1,431","1,120","1,918","6,629","1,796","1,788","1,106","1,554",964,"1,367","11,778","3,412","7,793","2,627","4,706","9,309","1,734","4,442","7,396","18,820","3,172"
2021년07월_여_연령구간인구수,"103,533","2,347",987,"1,448","3,889","1,431","1,120","1,918","6,629","1,796","1,788","1,106","1,554",964,"1,367","11,778","3,412","7,793","2,627","4,706","9,309","1,734","4,442","7,396","18,820","3,172"
2021년07월_여_0~9세,"6,980",37,21,37,295,18,25,21,"1,030",175,53,21,31,32,49,760,124,618,112,166,999,51,247,466,"1,338",254
2021년07월_여_10~19세,"8,908",104,28,46,194,49,31,58,498,143,98,36,53,30,81,"1,190",251,910,232,333,"1,174",63,373,822,"1,796",315
2021년07월_여_20~29세,"10,200",132,46,65,499,62,45,86,686,186,101,47,80,37,116,"1,162",350,817,258,474,990,217,447,870,"2,118",309
2021년07월_여_30~39세,"10,529",119,35,58,515,63,44,65,"1,415",193,68,45,72,55,79,"1,154",232,797,202,362,"1,310",94,444,688,"2,040",380
2021년07월_여_40~49세,"14,746",182,65,98,496,65,50,135,"1,027",223,122,75,96,57,155,"1,794",429,"1,477",346,504,"1,729",159,618,"1,293","3,014",537
2021년07월_여_50~59세,"18,064",468,195,272,641,248,182,342,783,226,317,211,251,164,214,"2,192",596,"1,369",450,839,"1,444",304,762,"1,412","3,613",569
2021년07월_여_60~69세,"16,784",592,292,388,637,385,330,553,620,285,433,279,417,245,301,"1,805",649,932,477,"1,037",934,367,825,973,"2,632",396
2021년07월_여_70~79세,"9,517",363,154,263,306,264,195,329,298,194,295,196,267,175,204,985,448,516,329,581,414,261,467,502,"1,293",218
2021년07월_여_80~89세,"6,765",310,123,192,267,249,186,276,233,152,251,171,252,148,136,658,290,309,194,354,264,189,224,326,845,166
2021년07월_여_90~99세,"1,015",39,27,29,37,28,30,52,39,19,49,25,34,21,32,76,40,45,27,55,50,29,34,42,129,27
2021년07월_여_100세 이상,25,1,1,0,2,0,2,1,0,0,1,0,1,0,0,2,3,3,0,1,1,0,1,2,2,1
