카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년12월_계_총인구수,"658,808","258,009","24,260","4,123","4,323","4,357","3,247","2,324","6,082","2,119","5,477","3,587","8,816","9,463","18,175","23,932","45,197","55,933","36,594","400,799","24,358","21,892","19,716","8,551","16,096","25,600","14,048","37,998","19,045","40,784","69,849","45,933","56,929"
2020년12월_계_연령구간인구수,"658,808","258,009","24,260","4,123","4,323","4,357","3,247","2,324","6,082","2,119","5,477","3,587","8,816","9,463","18,175","23,932","45,197","55,933","36,594","400,799","24,358","21,892","19,716","8,551","16,096","25,600","14,048","37,998","19,045","40,784","69,849","45,933","56,929"
2020년12월_계_0~9세,"62,156","20,449","1,707",144,106,129,85,55,250,23,172,86,419,287,"1,103","2,203","4,837","6,072","2,771","41,707","1,222","1,859","1,419",289,760,958,883,"3,466","1,452","5,691","10,481","3,905","9,322"
2020년12월_계_10~19세,"68,397","26,228","2,748",239,193,251,176,88,339,79,283,171,669,694,"1,442","3,250","5,910","7,006","2,690","42,169","2,249","2,404","1,869",557,"1,043","1,324","1,222","4,981","2,409","5,706","9,355","4,085","4,965"
2020년12월_계_20~29세,"96,587","35,375","2,811",384,378,381,237,190,763,132,545,499,"1,112","1,169","2,870","2,844","6,264","7,150","7,646","61,212","2,813","2,552","2,428",887,"2,394","6,502","2,497","6,055","2,673","5,145","8,840","10,141","8,285"
2020년12월_계_30~39세,"105,456","33,239","2,504",327,279,343,195,174,541,90,499,397,887,888,"2,525","2,653","6,852","8,516","5,569","72,217","2,175","2,899","2,708",725,"2,207","5,583","1,861","5,118","2,375","6,962","14,663","9,172","15,769"
2020년12월_계_40~49세,"111,902","42,852","4,539",437,451,507,332,248,744,182,666,468,"1,224","1,375","2,967","4,433","9,059","10,158","5,062","69,050","3,737","4,151","3,624","1,101","2,419","3,790","1,939","6,713","3,184","7,868","13,972","7,344","9,208"
2020년12월_계_50~59세,"103,038","43,830","4,433",772,878,874,636,446,"1,195",439,"1,073",664,"1,773","1,885","3,302","4,127","6,850","8,480","6,003","59,208","4,307","3,721","3,473","1,775","3,147","3,526","2,570","6,692","3,546","5,593","8,565","6,544","5,749"
2020년12월_계_60~69세,"63,642","31,198","2,925",923,"1,012",954,762,504,"1,123",509,"1,176",712,"1,473","1,607","2,394","2,511","3,306","5,134","4,173","32,444","3,916","2,444","2,324","1,627","2,345","2,440","1,927","3,146","1,963","2,474","2,620","2,832","2,386"
2020년12월_계_70~79세,"30,117","15,533","1,550",517,568,510,477,335,633,358,697,383,814,996,"1,073","1,265","1,339","2,223","1,795","14,584","2,479","1,172","1,160",961,"1,212",982,757,"1,173",889,882,870,"1,250",797
2020년12월_계_80~89세,"15,120","8,016",911,336,387,345,297,256,419,261,314,175,382,500,421,559,677,"1,013",763,"7,104","1,270",608,633,533,501,416,332,577,474,393,403,573,391
2020년12월_계_90~99세,"2,218","1,202",132,44,69,62,47,26,68,42,41,30,54,57,67,81,100,169,113,"1,016",160,80,74,82,58,73,58,72,78,67,77,81,56
2020년12월_계_100세 이상,175,87,0,0,2,1,3,2,7,4,11,2,9,5,11,6,3,12,9,88,30,2,4,14,10,6,2,5,2,3,3,6,1
2020년12월_남_총인구수,"336,221","130,719","12,402","2,239","2,182","2,253","1,702","1,267","3,230","1,133","2,872","1,879","4,560","4,889","9,299","11,962","23,008","27,979","17,863","205,502","12,666","11,460","10,721","4,587","8,498","13,682","6,919","18,637","9,223","20,487","35,021","23,685","29,916"
2020년12월_남_연령구간인구수,"336,221","130,719","12,402","2,239","2,182","2,253","1,702","1,267","3,230","1,133","2,872","1,879","4,560","4,889","9,299","11,962","23,008","27,979","17,863","205,502","12,666","11,460","10,721","4,587","8,498","13,682","6,919","18,637","9,223","20,487","35,021","23,685","29,916"
2020년12월_남_0~9세,"31,784","10,536",885,79,53,68,43,27,119,12,88,45,228,144,588,"1,122","2,516","3,105","1,414","21,248",627,909,764,143,402,489,470,"1,740",711,"2,878","5,369","2,018","4,728"
2020년12월_남_10~19세,"35,432","13,601","1,426",123,113,130,89,48,178,49,149,84,381,379,765,"1,673","3,087","3,581","1,346","21,831","1,194","1,226",984,309,508,681,613,"2,605","1,305","2,957","4,773","2,100","2,576"
2020년12월_남_20~29세,"50,760","18,740","1,567",245,206,228,137,118,514,77,290,250,626,667,"1,477","1,557","3,400","3,753","3,628","32,020","1,611","1,430","1,464",531,"1,305","3,264","1,282","3,160","1,404","2,718","4,433","5,153","4,265"
2020년12월_남_30~39세,"56,037","17,451","1,297",200,155,203,122,115,330,55,301,235,491,544,"1,409","1,252","3,601","4,272","2,869","38,586","1,219","1,553","1,619",462,"1,298","3,397","1,003","2,537","1,190","3,347","7,210","5,152","8,599"
2020년12월_남_40~49세,"57,791","22,071","2,337",273,248,279,208,169,443,127,370,283,658,720,"1,536","2,226","4,567","5,054","2,573","35,720","2,062","2,245","2,068",650,"1,338","2,123",959,"3,131","1,505","3,981","6,853","3,742","5,063"
2020년12월_남_50~59세,"52,930","22,381","2,399",425,461,477,361,268,617,255,615,363,914,974,"1,687","2,075","3,458","4,232","2,800","30,549","2,352","2,045","1,874",987,"1,701","1,910","1,188","3,185","1,678","2,823","4,489","3,309","3,008"
2020년12월_남_60~69세,"32,145","15,720","1,469",511,542,483,406,268,582,276,593,378,726,793,"1,198","1,276","1,610","2,573","2,036","16,425","1,948","1,281","1,199",838,"1,196","1,242",935,"1,571",956,"1,249","1,345","1,433","1,232"
2020년12월_남_70~79세,"13,580","7,096",683,260,267,250,230,152,278,175,324,166,385,452,479,566,556,"1,006",867,"6,484","1,131",535,510,444,551,438,337,500,335,406,402,556,339
2020년12월_남_80~89세,"5,206","2,813",303,111,118,121,99,97,151,98,124,62,136,201,143,193,186,363,307,"2,393",472,218,226,191,180,125,117,188,126,112,134,205,99
2020년12월_남_90~99세,510,288,36,12,19,14,6,5,17,8,14,13,13,13,14,19,26,37,22,222,41,18,13,30,16,13,14,17,12,15,12,14,7
2020년12월_남_100세 이상,46,22,0,0,0,0,1,0,1,1,4,0,2,2,3,3,1,3,1,24,9,0,0,2,3,0,1,3,1,1,1,3,0
2020년12월_여_총인구수,"322,587","127,290","11,858","1,884","2,141","2,104","1,545","1,057","2,852",986,"2,605","1,708","4,256","4,574","8,876","11,970","22,189","27,954","18,731","195,297","11,692","10,432","8,995","3,964","7,598","11,918","7,129","19,361","9,822","20,297","34,828","22,248","27,013"
2020년12월_여_연령구간인구수,"322,587","127,290","11,858","1,884","2,141","2,104","1,545","1,057","2,852",986,"2,605","1,708","4,256","4,574","8,876","11,970","22,189","27,954","18,731","195,297","11,692","10,432","8,995","3,964","7,598","11,918","7,129","19,361","9,822","20,297","34,828","22,248","27,013"
2020년12월_여_0~9세,"30,372","9,913",822,65,53,61,42,28,131,11,84,41,191,143,515,"1,081","2,321","2,967","1,357","20,459",595,950,655,146,358,469,413,"1,726",741,"2,813","5,112","1,887","4,594"
2020년12월_여_10~19세,"32,965","12,627","1,322",116,80,121,87,40,161,30,134,87,288,315,677,"1,577","2,823","3,425","1,344","20,338","1,055","1,178",885,248,535,643,609,"2,376","1,104","2,749","4,582","1,985","2,389"
2020년12월_여_20~29세,"45,827","16,635","1,244",139,172,153,100,72,249,55,255,249,486,502,"1,393","1,287","2,864","3,397","4,018","29,192","1,202","1,122",964,356,"1,089","3,238","1,215","2,895","1,269","2,427","4,407","4,988","4,020"
2020년12월_여_30~39세,"49,419","15,788","1,207",127,124,140,73,59,211,35,198,162,396,344,"1,116","1,401","3,251","4,244","2,700","33,631",956,"1,346","1,089",263,909,"2,186",858,"2,581","1,185","3,615","7,453","4,020","7,170"
2020년12월_여_40~49세,"54,111","20,781","2,202",164,203,228,124,79,301,55,296,185,566,655,"1,431","2,207","4,492","5,104","2,489","33,330","1,675","1,906","1,556",451,"1,081","1,667",980,"3,582","1,679","3,887","7,119","3,602","4,145"
2020년12월_여_50~59세,"50,108","21,449","2,034",347,417,397,275,178,578,184,458,301,859,911,"1,615","2,052","3,392","4,248","3,203","28,659","1,955","1,676","1,599",788,"1,446","1,616","1,382","3,507","1,868","2,770","4,076","3,235","2,741"
2020년12월_여_60~69세,"31,497","15,478","1,456",412,470,471,356,236,541,233,583,334,747,814,"1,196","1,235","1,696","2,561","2,137","16,019","1,968","1,163","1,125",789,"1,149","1,198",992,"1,575","1,007","1,225","1,275","1,399","1,154"
2020년12월_여_70~79세,"16,537","8,437",867,257,301,260,247,183,355,183,373,217,429,544,594,699,783,"1,217",928,"8,100","1,348",637,650,517,661,544,420,673,554,476,468,694,458
2020년12월_여_80~89세,"9,914","5,203",608,225,269,224,198,159,268,163,190,113,246,299,278,366,491,650,456,"4,711",798,390,407,342,321,291,215,389,348,281,269,368,292
2020년12월_여_90~99세,"1,708",914,96,32,50,48,41,21,51,34,27,17,41,44,53,62,74,132,91,794,119,62,61,52,42,60,44,55,66,52,65,67,49
2020년12월_여_100세 이상,129,65,0,0,2,1,2,2,6,3,7,2,7,3,8,3,2,9,8,64,21,2,4,12,7,6,1,2,1,2,2,3,1
