카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년10월_계_총인구수,"91,553","14,210","25,937","7,135","4,427","14,391","6,191","5,858","4,725","1,925","1,948","2,741","1,092",973
2020년10월_계_연령구간인구수,"91,553","14,210","25,937","7,135","4,427","14,391","6,191","5,858","4,725","1,925","1,948","2,741","1,092",973
2020년10월_계_0~9세,"6,991",718,"2,975",386,283,"1,693",238,199,239,66,56,77,39,22
2020년10월_계_10~19세,"8,352","1,210","3,358",522,395,"1,359",344,386,294,118,61,220,42,43
2020년10월_계_20~29세,"8,933","1,697","2,637",713,404,"1,420",558,564,381,127,104,207,81,40
2020년10월_계_30~39세,"9,428","1,189","3,436",586,348,"2,276",443,378,342,109,88,129,55,49
2020년10월_계_40~49세,"13,563","2,074","4,727",944,645,"2,520",609,604,560,197,188,321,94,80
2020년10월_계_50~59세,"15,282","2,443","3,616","1,304",807,"2,154","1,251","1,214",872,339,384,462,261,175
2020년10월_계_60~69세,"13,729","2,294","2,527","1,282",738,"1,544","1,329","1,239",859,393,460,553,274,237
2020년10월_계_70~79세,"9,196","1,514","1,642",868,512,911,859,763,689,325,364,420,141,188
2020년10월_계_80~89세,"5,248",941,866,458,243,449,491,442,420,201,217,299,93,128
2020년10월_계_90~99세,787,125,147,65,46,62,62,65,68,47,26,52,12,10
2020년10월_계_100세 이상,44,5,6,7,6,3,7,4,1,3,0,1,0,1
2020년10월_남_총인구수,"47,023","7,290","13,508","3,703","2,270","7,241","3,195","2,945","2,417",977,974,"1,442",564,497
2020년10월_남_연령구간인구수,"47,023","7,290","13,508","3,703","2,270","7,241","3,195","2,945","2,417",977,974,"1,442",564,497
2020년10월_남_0~9세,"3,520",345,"1,541",182,145,848,117,90,121,35,25,40,22,9
2020년10월_남_10~19세,"4,352",609,"1,768",287,200,672,192,195,173,59,39,117,17,24
2020년10월_남_20~29세,"4,983",945,"1,514",428,237,706,307,299,225,74,55,116,47,30
2020년10월_남_30~39세,"4,862",670,"1,705",315,182,"1,122",251,188,192,52,61,72,26,26
2020년10월_남_40~49세,"7,515","1,151","2,585",530,335,"1,371",361,327,324,110,111,198,59,53
2020년10월_남_50~59세,"8,510","1,401","2,034",742,455,"1,142",672,657,476,198,211,288,138,96
2020년10월_남_60~69세,"7,106","1,156","1,286",651,370,791,699,672,449,211,239,297,158,127
2020년10월_남_70~79세,"4,234",673,760,392,251,419,413,360,303,159,154,201,69,80
2020년10월_남_80~89세,"1,760",310,282,154,88,151,171,144,138,68,74,105,26,49
2020년10월_남_90~99세,171,28,31,21,7,19,10,13,15,9,5,8,2,3
2020년10월_남_100세 이상,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020년10월_여_총인구수,"44,530","6,920","12,429","3,432","2,157","7,150","2,996","2,913","2,308",948,974,"1,299",528,476
2020년10월_여_연령구간인구수,"44,530","6,920","12,429","3,432","2,157","7,150","2,996","2,913","2,308",948,974,"1,299",528,476
2020년10월_여_0~9세,"3,471",373,"1,434",204,138,845,121,109,118,31,31,37,17,13
2020년10월_여_10~19세,"4,000",601,"1,590",235,195,687,152,191,121,59,22,103,25,19
2020년10월_여_20~29세,"3,950",752,"1,123",285,167,714,251,265,156,53,49,91,34,10
2020년10월_여_30~39세,"4,566",519,"1,731",271,166,"1,154",192,190,150,57,27,57,29,23
2020년10월_여_40~49세,"6,048",923,"2,142",414,310,"1,149",248,277,236,87,77,123,35,27
2020년10월_여_50~59세,"6,772","1,042","1,582",562,352,"1,012",579,557,396,141,173,174,123,79
2020년10월_여_60~69세,"6,623","1,138","1,241",631,368,753,630,567,410,182,221,256,116,110
2020년10월_여_70~79세,"4,962",841,882,476,261,492,446,403,386,166,210,219,72,108
2020년10월_여_80~89세,"3,488",631,584,304,155,298,320,298,282,133,143,194,67,79
2020년10월_여_90~99세,616,97,116,44,39,43,52,52,53,38,21,44,10,7
2020년10월_여_100세 이상,34,3,4,6,6,3,5,4,0,1,0,1,0,1
