카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년12월_계_총인구수,"2,119,257","658,486","255,292","403,194","103,145","98,408","324,580","176,645","114,483","43,331","167,092","50,477","63,774","50,745","30,440","99,324","76,801","61,526"
2021년12월_계_연령구간인구수,"2,119,257","658,486","255,292","403,194","103,145","98,408","324,580","176,645","114,483","43,331","167,092","50,477","63,774","50,745","30,440","99,324","76,801","61,526"
2021년12월_계_0~9세,"162,726","58,699","18,805","39,894","5,304","5,616","31,531","14,755","6,729","3,747","14,564","2,316","2,659","2,121","1,175","7,358","3,324","2,828"
2021년12월_계_10~19세,"200,673","67,655","25,588","42,067","7,911","8,043","35,511","17,111","9,433","6,229","15,832","4,102","4,438","3,322","1,936","9,458","5,436","4,256"
2021년12월_계_20~29세,"238,297","95,113","34,563","60,550","10,904","9,094","37,503","18,885","10,792","4,871","15,765","3,709","5,047","3,612","2,513","9,298","6,464","4,727"
2021년12월_계_30~39세,"259,565","102,296","31,663","70,633","8,926","8,848","48,272","21,597","10,191","4,650","21,689","3,362","4,103","3,196","1,936","10,078","5,766","4,655"
2021년12월_계_40~49세,"325,419","111,649","41,824","69,825","12,846","13,356","58,246","27,812","14,649","8,215","27,006","5,946","6,749","5,409","2,950","14,183","9,022","7,381"
2021년12월_계_50~59세,"340,591","104,130","43,402","60,728","17,853","16,641","48,416","28,792","19,240","7,224","26,634","8,856","10,268","8,196","5,057","15,726","13,015","10,543"
2021년12월_계_60~69세,"299,801","69,859","33,990","35,869","19,508","17,910","35,069","23,804","20,943","4,915","22,688","10,415","13,599","10,545","6,548","15,545","15,628","12,825"
2021년12월_계_70~79세,"172,067","30,759","15,811","14,948","11,433","11,320","18,368","14,009","12,833","2,139","13,380","6,779","9,287","8,008","4,435","10,123","10,332","8,862"
2021년12월_계_80~89세,"104,173","15,914","8,358","7,556","7,288","6,568","10,192","8,521","8,384","1,145","8,285","4,391","6,534","5,396","3,387","6,569","6,862","4,737"
2021년12월_계_90~99세,"15,528","2,345","1,254","1,091","1,140",987,"1,429","1,321","1,260",193,"1,214",591,"1,057",919,494,962,919,697
2021년12월_계_100세 이상,417,67,34,33,32,25,43,38,29,3,35,10,33,21,9,24,33,15
2021년12월_남_총인구수,"1,083,366","336,612","129,399","207,213","51,459","49,933","168,881","92,122","57,147","21,563","88,952","25,466","31,634","25,081","15,472","49,437","38,574","31,033"
2021년12월_남_연령구간인구수,"1,083,366","336,612","129,399","207,213","51,459","49,933","168,881","92,122","57,147","21,563","88,952","25,466","31,634","25,081","15,472","49,437","38,574","31,033"
2021년12월_남_0~9세,"83,319","30,054","9,693","20,361","2,761","2,852","16,200","7,505","3,424","1,875","7,407","1,173","1,415","1,078",604,"3,824","1,725","1,422"
2021년12월_남_10~19세,"104,165","35,067","13,320","21,747","4,072","4,150","18,274","9,080","4,871","3,276","8,302","2,125","2,348","1,698","1,017","4,873","2,813","2,199"
2021년12월_남_20~29세,"131,774","50,082","18,306","31,776","5,913","5,348","20,910","11,297","6,016","2,697","9,252","2,152","2,899","2,117","1,486","5,119","3,697","2,789"
2021년12월_남_30~39세,"139,987","54,514","16,755","37,759","4,816","4,823","25,783","12,055","5,418","2,336","12,455","1,769","2,223","1,781","1,090","5,190","3,174","2,560"
2021년12월_남_40~49세,"173,385","58,026","21,582","36,444","6,768","7,290","31,589","14,839","7,743","3,986","15,165","3,262","3,677","2,923","1,711","7,356","4,909","4,141"
2021년12월_남_50~59세,"180,799","53,407","22,041","31,366","9,198","8,916","26,313","15,480","10,190","3,626","15,068","4,913","5,422","4,497","2,797","8,299","7,035","5,638"
2021년12월_남_60~69세,"150,583","35,361","17,127","18,234","9,761","8,844","17,629","11,936","10,547","2,353","11,715","5,342","6,843","5,196","3,367","7,655","7,805","6,229"
2021년12월_남_70~79세,"79,071","14,047","7,323","6,724","5,291","5,133","8,227","6,640","5,810","1,001","6,322","3,143","4,227","3,642","2,059","4,587","4,707","4,235"
2021년12월_남_80~89세,"36,574","5,523","2,964","2,559","2,571","2,348","3,632","3,018","2,809",374,"2,959","1,451","2,314","1,921","1,204","2,290","2,489","1,671"
2021년12월_남_90~99세,"3,644",520,283,237,302,225,316,269,312,38,305,134,263,227,134,240,215,144
2021년12월_남_100세 이상,65,11,5,6,6,4,8,3,7,1,2,2,3,1,3,4,5,5
2021년12월_여_총인구수,"1,035,891","321,874","125,893","195,981","51,686","48,475","155,699","84,523","57,336","21,768","78,140","25,011","32,140","25,664","14,968","49,887","38,227","30,493"
2021년12월_여_연령구간인구수,"1,035,891","321,874","125,893","195,981","51,686","48,475","155,699","84,523","57,336","21,768","78,140","25,011","32,140","25,664","14,968","49,887","38,227","30,493"
2021년12월_여_0~9세,"79,407","28,645","9,112","19,533","2,543","2,764","15,331","7,250","3,305","1,872","7,157","1,143","1,244","1,043",571,"3,534","1,599","1,406"
2021년12월_여_10~19세,"96,508","32,588","12,268","20,320","3,839","3,893","17,237","8,031","4,562","2,953","7,530","1,977","2,090","1,624",919,"4,585","2,623","2,057"
2021년12월_여_20~29세,"106,523","45,031","16,257","28,774","4,991","3,746","16,593","7,588","4,776","2,174","6,513","1,557","2,148","1,495","1,027","4,179","2,767","1,938"
2021년12월_여_30~39세,"119,578","47,782","14,908","32,874","4,110","4,025","22,489","9,542","4,773","2,314","9,234","1,593","1,880","1,415",846,"4,888","2,592","2,095"
2021년12월_여_40~49세,"152,034","53,623","20,242","33,381","6,078","6,066","26,657","12,973","6,906","4,229","11,841","2,684","3,072","2,486","1,239","6,827","4,113","3,240"
2021년12월_여_50~59세,"159,792","50,723","21,361","29,362","8,655","7,725","22,103","13,312","9,050","3,598","11,566","3,943","4,846","3,699","2,260","7,427","5,980","4,905"
2021년12월_여_60~69세,"149,218","34,498","16,863","17,635","9,747","9,066","17,440","11,868","10,396","2,562","10,973","5,073","6,756","5,349","3,181","7,890","7,823","6,596"
2021년12월_여_70~79세,"92,996","16,712","8,488","8,224","6,142","6,187","10,141","7,369","7,023","1,138","7,058","3,636","5,060","4,366","2,376","5,536","5,625","4,627"
2021년12월_여_80~89세,"67,599","10,391","5,394","4,997","4,717","4,220","6,560","5,503","5,575",771,"5,326","2,940","4,220","3,475","2,183","4,279","4,373","3,066"
2021년12월_여_90~99세,"11,884","1,825",971,854,838,762,"1,113","1,052",948,155,909,457,794,692,360,722,704,553
2021년12월_여_100세 이상,352,56,29,27,26,21,35,35,22,2,33,8,30,20,6,20,28,10
