카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년03월_계_총인구수,"166,186","8,955","30,006","5,391","9,727","2,409","3,657","3,533","5,038","5,136","15,590","11,740","24,611","22,287","18,106"
2021년03월_계_연령구간인구수,"166,186","8,955","30,006","5,391","9,727","2,409","3,657","3,533","5,038","5,136","15,590","11,740","24,611","22,287","18,106"
2021년03월_계_0~9세,"15,263",316,"3,903",167,407,62,105,96,156,180,"1,431","1,112","2,498","2,824","2,006"
2021년03월_계_10~19세,"15,652",576,"2,582",277,488,92,190,185,313,322,"1,779",986,"2,551","2,592","2,719"
2021년03월_계_20~29세,"15,985",678,"2,289",381,913,138,282,229,356,407,"1,387",993,"3,433","2,329","2,170"
2021년03월_계_30~39세,"22,484",687,"5,326",291,"1,129",125,213,226,266,310,"1,617","1,903","4,469","3,514","2,408"
2021년03월_계_40~49세,"26,741","1,115","5,350",528,"1,365",205,324,369,513,577,"2,581","2,004","4,319","3,938","3,553"
2021년03월_계_50~59세,"26,009","1,542","4,473",941,"1,913",337,604,636,961,830,"2,482","1,847","3,459","3,205","2,779"
2021년03월_계_60~69세,"21,558","1,800","3,259","1,226","1,781",617,848,823,"1,066","1,089","2,123","1,419","2,144","2,076","1,287"
2021년03월_계_70~79세,"13,220","1,294","1,696",849,"1,008",496,607,559,768,817,"1,304",862,"1,142","1,102",716
2021년03월_계_80~89세,"8,054",819,995,624,626,291,415,350,547,531,775,535,521,618,407
2021년03월_계_90~99세,"1,170",120,130,104,92,43,68,59,90,71,107,75,74,78,59
2021년03월_계_100세 이상,50,8,3,3,5,3,1,1,2,2,4,4,1,11,2
2021년03월_남_총인구수,"88,279","4,709","16,620","2,752","5,752","1,204","1,873","1,814","2,536","2,590","7,943","6,702","13,103","11,358","9,323"
2021년03월_남_연령구간인구수,"88,279","4,709","16,620","2,752","5,752","1,204","1,873","1,814","2,536","2,590","7,943","6,702","13,103","11,358","9,323"
2021년03월_남_0~9세,"7,770",172,"2,014",87,211,40,43,47,70,85,707,539,"1,266","1,468","1,021"
2021년03월_남_10~19세,"8,232",317,"1,363",142,265,49,100,95,167,176,922,509,"1,335","1,352","1,440"
2021년03월_남_20~29세,"9,296",407,"1,319",215,623,82,170,142,197,248,798,642,"1,954","1,271","1,228"
2021년03월_남_30~39세,"12,865",423,"2,998",164,792,77,127,132,152,170,842,"1,240","2,647","1,840","1,261"
2021년03월_남_40~49세,"15,075",675,"3,276",312,943,132,186,228,305,337,"1,378","1,252","2,305","2,006","1,740"
2021년03월_남_50~59세,"14,631",893,"2,692",543,"1,218",166,329,344,532,451,"1,359","1,132","1,793","1,684","1,495"
2021년03월_남_60~69세,"11,042",871,"1,755",622,976,307,444,408,525,550,"1,059",775,"1,092","1,018",640
2021년03월_남_70~79세,"6,191",608,829,405,469,236,300,286,375,361,580,396,504,501,341
2021년03월_남_80~89세,"2,875",311,332,237,230,103,163,119,188,186,275,197,192,205,137
2021년03월_남_90~99세,294,32,42,25,23,11,11,13,25,25,22,20,15,11,19
2021년03월_남_100세 이상,8,0,0,0,2,1,0,0,0,1,1,0,0,2,1
2021년03월_여_총인구수,"77,907","4,246","13,386","2,639","3,975","1,205","1,784","1,719","2,502","2,546","7,647","5,038","11,508","10,929","8,783"
2021년03월_여_연령구간인구수,"77,907","4,246","13,386","2,639","3,975","1,205","1,784","1,719","2,502","2,546","7,647","5,038","11,508","10,929","8,783"
2021년03월_여_0~9세,"7,493",144,"1,889",80,196,22,62,49,86,95,724,573,"1,232","1,356",985
2021년03월_여_10~19세,"7,420",259,"1,219",135,223,43,90,90,146,146,857,477,"1,216","1,240","1,279"
2021년03월_여_20~29세,"6,689",271,970,166,290,56,112,87,159,159,589,351,"1,479","1,058",942
2021년03월_여_30~39세,"9,619",264,"2,328",127,337,48,86,94,114,140,775,663,"1,822","1,674","1,147"
2021년03월_여_40~49세,"11,666",440,"2,074",216,422,73,138,141,208,240,"1,203",752,"2,014","1,932","1,813"
2021년03월_여_50~59세,"11,378",649,"1,781",398,695,171,275,292,429,379,"1,123",715,"1,666","1,521","1,284"
2021년03월_여_60~69세,"10,516",929,"1,504",604,805,310,404,415,541,539,"1,064",644,"1,052","1,058",647
2021년03월_여_70~79세,"7,029",686,867,444,539,260,307,273,393,456,724,466,638,601,375
2021년03월_여_80~89세,"5,179",508,663,387,396,188,252,231,359,345,500,338,329,413,270
2021년03월_여_90~99세,876,88,88,79,69,32,57,46,65,46,85,55,59,67,40
2021년03월_여_100세 이상,42,8,3,3,3,2,1,1,2,1,3,4,1,9,1
