카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년08월_계_총인구수,"50,153","18,340","3,772","4,445",784,"3,284","3,466","4,305","2,379","2,087",230,"2,560",987,"2,697",817
2020년08월_계_연령구간인구수,"50,153","18,340","3,772","4,445",784,"3,284","3,466","4,305","2,379","2,087",230,"2,560",987,"2,697",817
2020년08월_계_0~9세,"3,240","1,480",217,345,46,112,137,206,122,68,10,149,37,269,42
2020년08월_계_10~19세,"3,679","1,775",196,376,52,130,215,264,102,101,10,150,56,219,33
2020년08월_계_20~29세,"3,794","1,826",229,299,40,203,214,274,130,134,9,159,59,163,55
2020년08월_계_30~39세,"4,112","1,860",296,391,76,193,215,266,126,132,6,172,59,260,60
2020년08월_계_40~49세,"6,305","2,740",442,583,119,338,401,437,214,178,31,295,101,336,90
2020년08월_계_50~59세,"8,177","3,127",606,677,127,533,590,627,398,367,35,357,169,421,143
2020년08월_계_60~69세,"8,467","2,754",730,629,162,703,626,715,490,414,35,455,165,445,144
2020년08월_계_70~79세,"7,442","1,807",626,651,124,642,612,890,486,366,48,493,188,352,157
2020년08월_계_80~89세,"4,362",846,378,440,34,378,412,554,276,286,39,299,132,208,80
2020년08월_계_90~99세,551,115,50,53,2,50,43,70,35,40,6,30,21,24,12
2020년08월_계_100세 이상,24,10,2,1,2,2,1,2,0,1,1,1,0,0,1
2020년08월_남_총인구수,"25,208","9,236","1,925","2,219",429,"1,638","1,780","2,090","1,209","1,023",119,"1,261",492,"1,357",430
2020년08월_남_연령구간인구수,"25,208","9,236","1,925","2,219",429,"1,638","1,780","2,090","1,209","1,023",119,"1,261",492,"1,357",430
2020년08월_남_0~9세,"1,672",794,110,164,23,63,61,100,77,30,8,70,18,133,21
2020년08월_남_10~19세,"1,889",904,96,201,28,65,111,134,46,53,5,72,34,117,23
2020년08월_남_20~29세,"2,220","1,048",136,172,28,103,144,160,82,82,9,98,37,91,30
2020년08월_남_30~39세,"2,252",945,182,221,47,129,115,147,67,89,3,98,33,137,39
2020년08월_남_40~49세,"3,691","1,443",298,344,84,211,259,253,144,104,22,197,62,203,67
2020년08월_남_50~59세,"4,504","1,641",341,374,71,304,343,361,233,213,20,203,97,225,78
2020년08월_남_60~69세,"4,209","1,333",380,323,76,343,326,349,240,209,21,217,88,235,69
2020년08월_남_70~79세,"3,278",828,264,274,62,302,266,379,218,147,20,201,81,158,78
2020년08월_남_80~89세,"1,392",279,111,137,10,112,145,195,94,86,11,97,37,54,24
2020년08월_남_90~99세,98,20,7,9,0,6,10,12,8,9,0,7,5,4,1
2020년08월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년08월_여_총인구수,"24,945","9,104","1,847","2,226",355,"1,646","1,686","2,215","1,170","1,064",111,"1,299",495,"1,340",387
2020년08월_여_연령구간인구수,"24,945","9,104","1,847","2,226",355,"1,646","1,686","2,215","1,170","1,064",111,"1,299",495,"1,340",387
2020년08월_여_0~9세,"1,568",686,107,181,23,49,76,106,45,38,2,79,19,136,21
2020년08월_여_10~19세,"1,790",871,100,175,24,65,104,130,56,48,5,78,22,102,10
2020년08월_여_20~29세,"1,574",778,93,127,12,100,70,114,48,52,0,61,22,72,25
2020년08월_여_30~39세,"1,860",915,114,170,29,64,100,119,59,43,3,74,26,123,21
2020년08월_여_40~49세,"2,614","1,297",144,239,35,127,142,184,70,74,9,98,39,133,23
2020년08월_여_50~59세,"3,673","1,486",265,303,56,229,247,266,165,154,15,154,72,196,65
2020년08월_여_60~69세,"4,258","1,421",350,306,86,360,300,366,250,205,14,238,77,210,75
2020년08월_여_70~79세,"4,164",979,362,377,62,340,346,511,268,219,28,292,107,194,79
2020년08월_여_80~89세,"2,970",567,267,303,24,266,267,359,182,200,28,202,95,154,56
2020년08월_여_90~99세,453,95,43,44,2,44,33,58,27,31,6,23,16,20,11
2020년08월_여_100세 이상,21,9,2,1,2,2,1,2,0,0,1,0,0,0,1
