카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년10월_계_총인구수,"440,832","5,021","23,553","4,270","19,512","20,473","9,625","11,218","9,095","8,631","18,634","7,612","28,674","6,782","36,267","37,536","22,431","25,159","36,645","17,203","27,025","29,172","12,179","24,115"
2020년10월_계_연령구간인구수,"440,832","5,021","23,553","4,270","19,512","20,473","9,625","11,218","9,095","8,631","18,634","7,612","28,674","6,782","36,267","37,536","22,431","25,159","36,645","17,203","27,025","29,172","12,179","24,115"
2020년10월_계_0~9세,"34,439",341,"2,409",176,"2,291","1,780",270,602,297,305,"1,248",184,"2,247",316,"3,554","4,609","1,397","1,660","2,748",980,"1,728","2,405",652,"2,240"
2020년10월_계_10~19세,"43,712",368,"2,063",220,"2,266","2,288",486,919,480,490,"1,183",369,"3,045",441,"3,953","3,158","1,783","2,557","5,122","1,614","2,546","4,500",633,"3,228"
2020년10월_계_20~29세,"62,064",568,"2,860",492,"2,153","2,447","1,042","1,703","2,483","1,278","2,899","2,298","4,127",751,"4,121","4,030","3,821","3,767","5,435","2,473","4,325","4,180","1,386","3,425"
2020년10월_계_30~39세,"54,476",685,"3,691",462,"2,865","2,422",749,"1,200","1,127","1,038","2,230","1,011","3,588",829,"4,875","6,552","2,681","2,794","3,525","1,658","3,104","2,933","1,604","2,853"
2020년10월_계_40~49세,"72,994",725,"4,064",489,"3,726","3,506","1,168","1,503","1,086","1,038","2,676",826,"4,666",911,"7,008","6,435","3,223","4,041","6,922","2,573","3,888","6,133","1,633","4,754"
2020년10월_계_50~59세,"78,172",803,"3,284",931,"2,792","3,490","1,958","2,305","1,293","1,585","2,982","1,206","5,101","1,262","6,056","5,946","4,246","4,739","7,203","3,578","5,467","5,355","2,431","4,159"
2020년10월_계_60~69세,"53,299",796,"2,662",882,"1,890","2,365","1,991","1,689","1,205","1,569","2,724","1,018","3,570","1,262","4,009","4,166","3,015","3,266","3,229","2,570","3,493","1,919","2,199","1,810"
2020년10월_계_70~79세,"28,181",501,"1,616",424,"1,037","1,472","1,319",889,753,925,"1,771",481,"1,533",691,"1,952","1,888","1,480","1,655","1,613","1,144","1,598","1,122","1,241","1,076"
2020년10월_계_80~89세,"12,042",202,781,163,435,642,594,362,333,368,800,198,686,292,662,669,698,602,755,557,796,586,354,507
2020년10월_계_90~99세,"1,357",27,111,29,52,56,43,44,35,35,105,20,104,26,75,79,85,76,91,53,74,38,38,61
2020년10월_계_100세 이상,96,5,12,2,5,5,5,2,3,0,16,1,7,1,2,4,2,2,2,3,6,1,8,2
2020년10월_남_총인구수,"219,603","2,439","11,335","2,285","9,428","9,910","4,774","5,520","4,710","4,502","9,415","4,168","14,195","3,383","18,496","18,733","11,267","12,325","18,123","8,623","13,477","14,189","6,351","11,955"
2020년10월_남_연령구간인구수,"219,603","2,439","11,335","2,285","9,428","9,910","4,774","5,520","4,710","4,502","9,415","4,168","14,195","3,383","18,496","18,733","11,267","12,325","18,123","8,623","13,477","14,189","6,351","11,955"
2020년10월_남_0~9세,"17,633",166,"1,181",94,"1,154",929,139,304,150,162,617,98,"1,150",168,"1,875","2,366",701,862,"1,376",494,904,"1,249",326,"1,168"
2020년10월_남_10~19세,"22,700",178,"1,031",131,"1,152","1,159",258,471,250,273,601,192,"1,581",229,"2,032","1,604",970,"1,349","2,709",828,"1,380","2,322",319,"1,681"
2020년10월_남_20~29세,"33,758",291,"1,384",285,"1,107","1,309",610,957,"1,353",744,"1,754","1,407","2,307",440,"2,192","2,169","2,039","1,975","2,928","1,383","2,349","2,234",770,"1,771"
2020년10월_남_30~39세,"28,459",360,"1,822",268,"1,341","1,196",447,658,686,637,"1,251",628,"1,839",468,"2,488","3,334","1,483","1,475","1,771",925,"1,669","1,388",920,"1,405"
2020년10월_남_40~49세,"35,806",394,"2,025",289,"1,794","1,630",657,716,627,580,"1,399",465,"2,201",487,"3,584","3,315","1,605","1,967","3,175","1,238","1,794","2,677",914,"2,273"
2020년10월_남_50~59세,"38,750",422,"1,611",485,"1,374","1,710",998,"1,081",645,809,"1,480",592,"2,418",603,"3,178","2,849","2,054","2,249","3,576","1,775","2,624","2,747","1,286","2,184"
2020년10월_남_60~69세,"25,946",341,"1,282",473,876,"1,115",943,810,556,722,"1,270",501,"1,761",587,"1,995","2,063","1,501","1,508","1,663","1,283","1,781",963,"1,082",870
2020년10월_남_70~79세,"12,068",218,681,196,443,631,510,390,312,423,739,205,679,292,905,814,638,710,661,510,687,403,583,438
2020년10월_남_80~89세,"4,184",61,288,53,168,219,202,118,121,148,279,75,247,105,234,209,258,217,245,177,272,197,138,153
