카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020년01월_계_총인구수,"351,168","118,704","35,364","3,431","13,268","8,592","11,211","34,254","22,469","9,249","29,107","20,207","31,166","14,146"
2020년01월_계_연령구간인구수,"351,168","118,704","35,364","3,431","13,268","8,592","11,211","34,254","22,469","9,249","29,107","20,207","31,166","14,146"
2020년01월_계_0~9세,"36,210","16,551","5,086",93,603,215,423,"2,889","1,510",801,"2,686","1,544","2,680","1,129"
2020년01월_계_10~19세,"34,264","12,053","2,682",114,931,542,620,"4,476","1,921","1,073","3,365","1,798","3,376","1,313"
2020년01월_계_20~29세,"41,435","14,488","3,532",194,"1,421",948,"1,439","4,704","3,276","1,053","3,326","2,234","3,216","1,604"
2020년01월_계_30~39세,"51,997","22,207","7,047",207,"1,185",638,"1,223","3,712","3,175","1,184","3,695","2,500","3,530","1,694"
2020년01월_계_40~49세,"60,311","21,030","6,024",297,"1,776","1,025","1,458","6,500","3,652","1,713","5,553","3,397","5,622","2,264"
2020년01월_계_50~59세,"58,044","16,473","4,853",657,"2,905","2,004","2,448","6,066","4,649","1,569","4,842","3,839","5,084","2,655"
2020년01월_계_60~69세,"39,731","9,918","3,738",912,"2,427","1,827","2,187","3,187","2,691","1,079","3,350","2,643","3,867","1,905"
2020년01월_계_70~79세,"20,043","4,173","1,738",614,"1,365",858,972,"1,895","1,103",524,"1,619","1,517","2,595","1,070"
2020년01월_계_80~89세,"8,083","1,587",583,295,572,445,382,758,422,228,581,675,"1,095",460
2020년01월_계_90~99세,995,217,79,46,75,83,50,66,67,24,81,58,97,52
2020년01월_계_100세 이상,55,7,2,2,8,7,9,1,3,1,9,2,4,0
2020년01월_남_총인구수,"176,291","58,768","17,928","1,771","6,745","4,544","5,958","16,600","11,766","4,652","15,060","10,083","15,284","7,132"
2020년01월_남_연령구간인구수,"176,291","58,768","17,928","1,771","6,745","4,544","5,958","16,600","11,766","4,652","15,060","10,083","15,284","7,132"
2020년01월_남_0~9세,"18,522","8,463","2,630",53,294,108,220,"1,473",769,411,"1,379",768,"1,363",591
2020년01월_남_10~19세,"17,618","6,193","1,346",55,468,297,347,"2,346","1,022",488,"1,734",920,"1,718",684
2020년01월_남_20~29세,"22,169","7,196","1,918",117,827,575,863,"2,468","1,887",569,"1,886","1,231","1,744",888
2020년01월_남_30~39세,"26,642","10,995","3,567",133,671,386,727,"1,777","1,822",638,"1,948","1,303","1,780",895
2020년01월_남_40~49세,"30,606","10,525","3,231",178,960,545,833,"2,980","1,903",874,"2,910","1,706","2,828","1,133"
2020년01월_남_50~59세,"29,378","8,098","2,384",359,"1,483","1,070","1,261","3,027","2,342",827,"2,604","1,992","2,572","1,359"
2020년01월_남_60~69세,"19,508","4,874","1,794",465,"1,247",987,"1,113","1,439","1,420",545,"1,653","1,300","1,737",934
2020년01월_남_70~79세,"8,890","1,885",854,303,590,413,457,800,462,234,728,621,"1,082",461
2020년01월_남_80~89세,"2,739",500,188,98,187,146,121,275,118,65,205,227,431,178
2020년01월_남_90~99세,211,38,16,10,15,17,15,15,19,1,13,15,28,9
2020년01월_남_100세 이상,8,1,0,0,3,0,1,0,2,0,0,0,1,0
2020년01월_여_총인구수,"174,877","59,936","17,436","1,660","6,523","4,048","5,253","17,654","10,703","4,597","14,047","10,124","15,882","7,014"
2020년01월_여_연령구간인구수,"174,877","59,936","17,436","1,660","6,523","4,048","5,253","17,654","10,703","4,597","14,047","10,124","15,882","7,014"
2020년01월_여_0~9세,"17,688","8,088","2,456",40,309,107,203,"1,416",741,390,"1,307",776,"1,317",538
2020년01월_여_10~19세,"16,646","5,860","1,336",59,463,245,273,"2,130",899,585,"1,631",878,"1,658",629
2020년01월_여_20~29세,"19,266","7,292","1,614",77,594,373,576,"2,236","1,389",484,"1,440","1,003","1,472",716
2020년01월_여_30~39세,"25,355","11,212","3,480",74,514,252,496,"1,935","1,353",546,"1,747","1,197","1,750",799
2020년01월_여_40~49세,"29,705","10,505","2,793",119,816,480,625,"3,520","1,749",839,"2,643","1,691","2,794","1,131"
2020년01월_여_50~59세,"28,666","8,375","2,469",298,"1,422",934,"1,187","3,039","2,307",742,"2,238","1,847","2,512","1,296"
2020년01월_여_60~69세,"20,223","5,044","1,944",447,"1,180",840,"1,074","1,748","1,271",534,"1,697","1,343","2,130",971
2020년01월_여_70~79세,"11,153","2,288",884,311,775,445,515,"1,095",641,290,891,896,"1,513",609
2020년01월_여_80~89세,"5,344","1,087",395,197,385,299,261,483,304,163,376,448,664,282
2020년01월_여_90~99세,784,179,63,36,60,66,35,51,48,23,68,43,69,43
2020년01월_여_100세 이상,47,6,2,2,5,7,8,1,1,1,9,2,3,0
