,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년11월_계_총인구수,"347,795","8,218","4,134","7,943","2,239","1,930","2,634","1,609","1,521","1,485","3,268","21,108","4,758","1,631","4,024","1,073","2,235","27,618","10,810","11,302","14,315","19,873","24,899","11,849","26,914","27,840","11,837","12,186","21,324","26,768","30,450"
2020년11월_계_연령구간인구수,"347,795","8,218","4,134","7,943","2,239","1,930","2,634","1,609","1,521","1,485","3,268","21,108","4,758","1,631","4,024","1,073","2,235","27,618","10,810","11,302","14,315","19,873","24,899","11,849","26,914","27,840","11,837","12,186","21,324","26,768","30,450"
2020년11월_계_0~9세,"28,478",631,378,896,44,49,92,28,33,39,61,"2,196",243,20,137,28,61,"1,566",458,339,625,"1,032","1,408",779,"3,420","2,160",660,684,"2,504","2,399","5,508"
2020년11월_계_10~19세,"35,215",661,462,473,116,56,187,49,51,76,148,"2,791",415,58,201,44,105,"2,517",724,689,"1,086","1,611","2,545","1,070","4,037","3,521","1,117","1,290","3,003","2,631","3,481"
2020년11월_계_20~29세,"45,066",800,410,"1,007",157,130,232,76,72,105,206,"2,263",446,85,348,103,141,"4,237","1,449","1,084","1,828","2,958","3,801","1,531","3,353","4,150","1,674","1,629","2,349","5,153","3,289"
2020년11월_계_30~39세,"41,726",922,424,"1,511",128,121,181,67,80,71,179,"2,466",390,61,219,57,107,"2,688","1,239",870,"1,363","2,126","2,574","1,412","3,753","3,047","1,143","1,081","2,599","4,115","6,732"
2020년11월_계_40~49세,"54,312","1,056",670,"1,102",188,156,294,107,154,156,275,"3,781",659,120,432,98,217,"3,955","1,575","1,410","1,930","2,851","3,756","1,765","5,254","4,746","1,629","1,804","4,091","4,131","5,950"
2020년11월_계_50~59세,"57,891","1,431",682,"1,221",386,347,500,287,230,253,593,"3,386",881,292,774,195,420,"4,575","1,833","1,989","2,661","3,677","5,078","2,120","4,026","5,184","2,110","2,367","3,230","3,950","3,213"
2020년11월_계_60~69세,"45,381","1,361",565,978,455,480,506,416,353,297,696,"2,386",810,380,945,237,494,"3,981","1,867","2,395","2,502","3,129","3,481","1,847","1,829","2,818","1,942","1,895","2,126","2,622","1,588"
2020년11월_계_70~79세,"25,557",812,324,458,417,292,360,315,308,253,590,"1,171",540,323,577,160,358,"2,718","1,099","1,728","1,568","1,769","1,550",956,837,"1,382","1,025",996,969,"1,220",482
