,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년03월_계_총인구수,"25,976","11,019","1,316","1,532","2,568","2,746","2,305","1,511","2,979"
2020년03월_계_연령구간인구수,"25,976","11,019","1,316","1,532","2,568","2,746","2,305","1,511","2,979"
2020년03월_계_0~9세,"1,207",709,43,52,54,129,70,59,91
2020년03월_계_10~19세,"1,938","1,120",76,72,154,183,115,65,153
2020년03월_계_20~29세,"2,083","1,102",87,90,163,207,119,106,209
2020년03월_계_30~39세,"1,796",946,60,78,127,189,142,104,150
2020년03월_계_40~49세,"3,070","1,510",157,158,245,347,187,172,294
2020년03월_계_50~59세,"4,732","1,953",253,286,591,458,389,229,573
2020년03월_계_60~69세,"4,444","1,625",263,281,506,480,436,273,580
2020년03월_계_70~79세,"3,899","1,251",207,310,389,418,477,293,554
2020년03월_계_80~89세,"2,444",690,149,184,288,290,322,182,339
2020년03월_계_90~99세,344,107,21,19,48,41,46,28,34
2020년03월_계_100세 이상,19,6,0,2,3,4,2,0,2
2020년03월_남_총인구수,"12,647","5,346",661,755,"1,256","1,367","1,085",734,"1,443"
2020년03월_남_연령구간인구수,"12,647","5,346",661,755,"1,256","1,367","1,085",734,"1,443"
2020년03월_남_0~9세,602,338,23,26,30,66,38,31,50
2020년03월_남_10~19세,"1,028",601,42,33,77,102,63,39,71
2020년03월_남_20~29세,"1,105",576,48,46,97,111,55,55,117
2020년03월_남_30~39세,971,472,32,40,79,114,84,63,87
2020년03월_남_40~49세,"1,695",770,90,107,140,196,112,102,178
2020년03월_남_50~59세,"2,609","1,010",152,175,324,271,227,130,320
2020년03월_남_60~69세,"2,164",788,134,137,248,232,207,131,287
2020년03월_남_70~79세,"1,592",529,85,121,151,172,194,115,225
2020년03월_남_80~89세,805,236,52,65,96,94,97,63,102
2020년03월_남_90~99세,73,25,3,5,14,8,8,5,5
2020년03월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년03월_여_총인구수,"13,329","5,673",655,777,"1,312","1,379","1,220",777,"1,536"
2020년03월_여_연령구간인구수,"13,329","5,673",655,777,"1,312","1,379","1,220",777,"1,536"
2020년03월_여_0~9세,605,371,20,26,24,63,32,28,41
2020년03월_여_10~19세,910,519,34,39,77,81,52,26,82
2020년03월_여_20~29세,978,526,39,44,66,96,64,51,92
2020년03월_여_30~39세,825,474,28,38,48,75,58,41,63
2020년03월_여_40~49세,"1,375",740,67,51,105,151,75,70,116
2020년03월_여_50~59세,"2,123",943,101,111,267,187,162,99,253
2020년03월_여_60~69세,"2,280",837,129,144,258,248,229,142,293
2020년03월_여_70~79세,"2,307",722,122,189,238,246,283,178,329
2020년03월_여_80~89세,"1,639",454,97,119,192,196,225,119,237
2020년03월_여_90~99세,271,82,18,14,34,33,38,23,29
2020년03월_여_100세 이상,16,5,0,2,3,3,2,0,1
