카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년05월_계_총인구수,"28,766","10,487","5,324","2,475","2,067","3,249","1,916","1,518","1,730"
2021년05월_계_연령구간인구수,"28,766","10,487","5,324","2,475","2,067","3,249","1,916","1,518","1,730"
2021년05월_계_0~9세,"1,149",625,247,59,53,71,42,21,31
2021년05월_계_10~19세,"1,917",919,403,101,135,171,67,32,89
2021년05월_계_20~29세,"2,131","1,084",434,120,98,133,84,71,107
2021년05월_계_30~39세,"1,925","1,001",397,90,77,135,74,72,79
2021년05월_계_40~49세,"3,191","1,458",669,196,174,306,139,119,130
2021년05월_계_50~59세,"5,449","1,914",958,498,396,665,394,281,343
2021년05월_계_60~69세,"6,637","1,892","1,064",684,569,875,591,474,488
2021년05월_계_70~79세,"3,868",991,735,420,357,537,311,255,262
2021년05월_계_80~89세,"2,185",525,372,257,183,313,191,171,173
2021년05월_계_90~99세,294,73,44,46,22,42,23,21,23
2021년05월_계_100세 이상,20,5,1,4,3,1,0,1,5
2021년05월_남_총인구수,"14,562","5,246","2,766","1,232","1,104","1,554","1,044",772,844
2021년05월_남_연령구간인구수,"14,562","5,246","2,766","1,232","1,104","1,554","1,044",772,844
2021년05월_남_0~9세,599,324,133,26,33,35,22,9,17
2021년05월_남_10~19세,"1,020",460,226,56,88,93,46,14,37
2021년05월_남_20~29세,"1,247",611,270,57,57,86,63,38,65
2021년05월_남_30~39세,"1,027",517,227,51,42,69,39,43,39
2021년05월_남_40~49세,"1,761",764,385,110,107,156,88,75,76
2021년05월_남_50~59세,"2,914","1,025",526,280,208,329,210,157,179
2021년05월_남_60~69세,"3,405",925,533,354,297,428,341,263,264
2021년05월_남_70~79세,"1,739",424,317,191,194,236,152,115,110
2021년05월_남_80~89세,768,178,138,93,72,113,74,51,49
2021년05월_남_90~99세,75,16,10,12,6,8,9,7,7
2021년05월_남_100세 이상,7,2,1,2,0,1,0,0,1
2021년05월_여_총인구수,"14,204","5,241","2,558","1,243",963,"1,695",872,746,886
2021년05월_여_연령구간인구수,"14,204","5,241","2,558","1,243",963,"1,695",872,746,886
2021년05월_여_0~9세,550,301,114,33,20,36,20,12,14
2021년05월_여_10~19세,897,459,177,45,47,78,21,18,52
2021년05월_여_20~29세,884,473,164,63,41,47,21,33,42
2021년05월_여_30~39세,898,484,170,39,35,66,35,29,40
2021년05월_여_40~49세,"1,430",694,284,86,67,150,51,44,54
2021년05월_여_50~59세,"2,535",889,432,218,188,336,184,124,164
2021년05월_여_60~69세,"3,232",967,531,330,272,447,250,211,224
2021년05월_여_70~79세,"2,129",567,418,229,163,301,159,140,152
2021년05월_여_80~89세,"1,417",347,234,164,111,200,117,120,124
2021년05월_여_90~99세,219,57,34,34,16,34,14,14,16
2021년05월_여_100세 이상,13,3,0,2,3,0,0,1,4
