,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년12월_계_총인구수,"9,668,465","149,384","125,240","230,040","293,556","346,682","342,837","394,702","437,153","308,055","325,257","523,037","479,835","312,173","371,890","454,251","580,185","404,408","231,733","379,480","391,220","495,060","425,126","539,231","667,960","459,970"
2020년12월_계_연령구간인구수,"9,668,465","149,384","125,240","230,040","293,556","346,682","342,837","394,702","437,153","308,055","325,257","523,037","479,835","312,173","371,890","454,251","580,185","404,408","231,733","379,480","391,220","495,060","425,126","539,231","667,960","459,970"
2020년12월_계_0~9세,"623,745","7,527","6,836","13,496","20,449","19,572","20,788","23,064","28,822","15,714","18,775","33,182","29,704","20,175","24,899","31,552","39,560","28,199","12,548","25,836","24,564","22,372","33,851","36,766","50,744","34,750"
2020년12월_계_10~19세,"781,866","11,013","6,773","15,609","19,815","25,931","23,647","26,759","37,145","22,027","25,627","53,235","38,676","23,622","28,372","50,872","44,694","30,189","14,669","24,278","27,821","28,600","45,329","59,134","59,068","38,961"
2020년12월_계_20~29세,"1,460,411","23,416","18,586","33,485","45,043","62,940","56,331","56,112","66,972","42,944","43,412","73,182","67,058","50,356","61,904","59,774","86,991","55,415","37,127","59,076","66,545","109,135","55,091","73,940","94,119","61,457"
2020년12월_계_30~39세,"1,475,106","19,943","20,107","38,069","48,905","55,983","50,175","58,124","59,843","38,757","40,993","64,740","68,502","45,109","64,486","57,820","99,062","63,147","35,481","69,245","62,096","86,781","63,224","81,838","110,590","72,086"
2020년12월_계_40~49세,"1,528,182","22,231","18,011","35,698","45,020","52,482","50,630","57,883","69,839","46,718","48,535","86,240","76,628","47,487","60,995","78,993","90,888","63,203","32,903","56,438","58,912","68,484","77,355","99,266","109,299","74,044"
2020년12월_계_50~59세,"1,523,556","25,459","20,702","37,070","47,248","54,541","53,262","69,528","69,381","52,642","57,020","87,828","77,274","49,367","54,255","76,495","86,196","63,330","40,292","56,931","58,343","68,052","63,197","80,350","102,566","72,227"
2020년12월_계_60~69세,"1,243,954","19,948","17,551","28,840","36,534","42,460","46,393","58,222","54,897","45,892","49,740","67,804","64,438","38,558","39,559","57,551","76,340","55,983","33,119","47,072","49,162","59,243","47,797","59,423","84,184","63,244"
2020년12월_계_70~79세,"704,076","12,500","10,733","17,203","20,586","22,428","28,195","31,445","33,568","30,087","27,706","37,536","39,121","24,304","24,309","28,593","38,915","31,804","18,059","27,380","29,755","37,176","27,434","34,167","40,440","30,632"
2020년12월_계_80~89세,"278,094","5,978","4,836","8,572","8,520","8,850","11,521","11,758","14,229","11,516","11,603","16,494","15,897","11,246","11,096","10,721","14,778","11,443","6,479","11,339","11,895","13,141","9,787","11,813","14,132","10,450"
2020년12월_계_90~99세,"42,683","1,093",900,"1,627","1,185","1,277","1,582","1,601","2,073","1,509","1,671","2,508","2,112","1,651","1,669","1,693","2,522","1,516",879,"1,598","1,814","1,753","1,829","2,238","2,519","1,864"
2020년12월_계_100세 이상,"6,792",276,205,371,251,218,313,206,384,249,175,288,425,298,346,187,239,179,177,287,313,323,232,296,299,255
2020년12월_남_총인구수,"4,701,723","72,635","61,222","110,722","143,387","167,310","169,769","195,165","210,810","150,143","158,620","252,383","230,279","149,360","175,150","222,824","280,034","199,673","117,226","187,647","189,152","248,339","203,359","257,999","322,299","226,216"
2020년12월_남_연령구간인구수,"4,701,723","72,635","61,222","110,722","143,387","167,310","169,769","195,165","210,810","150,143","158,620","252,383","230,279","149,360","175,150","222,824","280,034","199,673","117,226","187,647","189,152","248,339","203,359","257,999","322,299","226,216"
2020년12월_남_0~9세,"320,275","3,803","3,505","6,970","10,469","9,977","10,662","11,921","14,723","8,162","9,720","17,046","15,210","10,267","12,643","16,235","20,222","14,406","6,422","13,165","12,528","11,499","17,490","19,051","26,202","17,977"
2020년12월_남_10~19세,"401,285","5,495","3,408","7,932","9,891","13,219","11,966","13,643","18,918","11,319","13,209","27,624","19,756","11,870","14,366","26,532","22,847","15,594","7,379","12,658","14,308","14,641","23,120","30,859","30,245","20,486"
2020년12월_남_20~29세,"707,669","11,505","8,851","15,925","22,271","29,521","27,978","27,793","32,219","21,044","22,110","37,550","32,284","24,073","27,907","30,426","40,310","27,221","18,715","27,760","32,124","53,168","26,439","35,369","44,784","30,322"
2020년12월_남_30~39세,"737,901","9,910","10,027","19,032","24,032","27,696","25,917","29,956","29,773","20,357","20,973","32,242","33,907","22,383","30,503","28,469","50,274","32,215","19,664","35,573","31,422","47,937","29,140","37,501","53,058","35,940"
2020년12월_남_40~49세,"756,950","10,834","9,222","17,529","22,575","25,883","26,124","29,951","34,424","23,936","24,038","41,036","37,846","23,456","29,649","37,832","45,542","32,410","17,269","29,030","29,511","36,558","36,364","46,145","52,639","37,147"
2020년12월_남_50~59세,"748,582","12,784","10,508","18,344","23,582","26,600","26,854","34,267","34,207","25,793","27,161","42,599","37,204","23,979","26,653","38,021","41,264","31,327","20,213","28,914","27,980","34,068","31,100","40,189","49,788","35,183"
2020년12월_남_60~69세,"587,294","9,903","8,714","13,760","17,809","20,219","22,400","28,254","25,747","21,431","23,727","31,554","29,729","18,100","18,338","27,584","35,409","26,394","16,268","22,876","22,624","27,543","22,041","27,192","39,689","29,989"
2020년12월_남_70~79세,"320,416","5,518","4,839","7,401","9,170","10,314","12,737","14,384","14,662","13,005","12,721","16,226","17,264","10,358","10,243","13,474","18,187","15,102","8,435","12,566","13,332","16,983","12,850","16,123","19,724","14,798"
2020년12월_남_80~89세,"108,339","2,415","1,800","3,219","3,185","3,466","4,574","4,582","5,510","4,611","4,454","5,786","6,400","4,329","4,289","3,777","5,332","4,585","2,573","4,582","4,756","5,459","4,241","4,994","5,501","3,919"
2020년12월_남_90~99세,"11,221",371,283,503,331,361,463,365,531,423,459,635,597,464,477,425,572,379,230,448,476,415,512,519,591,391
2020년12월_남_100세 이상,"1,791",97,65,107,72,54,94,49,96,62,48,85,82,81,82,49,75,40,58,75,91,68,62,57,78,64
2020년12월_여_총인구수,"4,966,742","76,749","64,018","119,318","150,169","179,372","173,068","199,537","226,343","157,912","166,637","270,654","249,556","162,813","196,740","231,427","300,151","204,735","114,507","191,833","202,068","246,721","221,767","281,232","345,661","233,754"
2020년12월_여_연령구간인구수,"4,966,742","76,749","64,018","119,318","150,169","179,372","173,068","199,537","226,343","157,912","166,637","270,654","249,556","162,813","196,740","231,427","300,151","204,735","114,507","191,833","202,068","246,721","221,767","281,232","345,661","233,754"
2020년12월_여_0~9세,"303,470","3,724","3,331","6,526","9,980","9,595","10,126","11,143","14,099","7,552","9,055","16,136","14,494","9,908","12,256","15,317","19,338","13,793","6,126","12,671","12,036","10,873","16,361","17,715","24,542","16,773"
2020년12월_여_10~19세,"380,581","5,518","3,365","7,677","9,924","12,712","11,681","13,116","18,227","10,708","12,418","25,611","18,920","11,752","14,006","24,340","21,847","14,595","7,290","11,620","13,513","13,959","22,209","28,275","28,823","18,475"
2020년12월_여_20~29세,"752,742","11,911","9,735","17,560","22,772","33,419","28,353","28,319","34,753","21,900","21,302","35,632","34,774","26,283","33,997","29,348","46,681","28,194","18,412","31,316","34,421","55,967","28,652","38,571","49,335","31,135"
2020년12월_여_30~39세,"737,205","10,033","10,080","19,037","24,873","28,287","24,258","28,168","30,070","18,400","20,020","32,498","34,595","22,726","33,983","29,351","48,788","30,932","15,817","33,672","30,674","38,844","34,084","44,337","57,532","36,146"
2020년12월_여_40~49세,"771,232","11,397","8,789","18,169","22,445","26,599","24,506","27,932","35,415","22,782","24,497","45,204","38,782","24,031","31,346","41,161","45,346","30,793","15,634","27,408","29,401","31,926","40,991","53,121","56,660","36,897"
2020년12월_여_50~59세,"774,974","12,675","10,194","18,726","23,666","27,941","26,408","35,261","35,174","26,849","29,859","45,229","40,070","25,388","27,602","38,474","44,932","32,003","20,079","28,017","30,363","33,984","32,097","40,161","52,778","37,044"
2020년12월_여_60~69세,"656,660","10,045","8,837","15,080","18,725","22,241","23,993","29,968","29,150","24,461","26,013","36,250","34,709","20,458","21,221","29,967","40,931","29,589","16,851","24,196","26,538","31,700","25,756","32,231","44,495","33,255"
2020년12월_여_70~79세,"383,660","6,982","5,894","9,802","11,416","12,114","15,458","17,061","18,906","17,082","14,985","21,310","21,857","13,946","14,066","15,119","20,728","16,702","9,624","14,814","16,423","20,193","14,584","18,044","20,716","15,834"
2020년12월_여_80~89세,"169,755","3,563","3,036","5,353","5,335","5,384","6,947","7,176","8,719","6,905","7,149","10,708","9,497","6,917","6,807","6,944","9,446","6,858","3,906","6,757","7,139","7,682","5,546","6,819","8,631","6,531"
2020년12월_여_90~99세,"31,462",722,617,"1,124",854,916,"1,119","1,236","1,542","1,086","1,212","1,873","1,515","1,187","1,192","1,268","1,950","1,137",649,"1,150","1,338","1,338","1,317","1,719","1,928","1,473"
2020년12월_여_100세 이상,"5,001",179,140,264,179,164,219,157,288,187,127,203,343,217,264,138,164,139,119,212,222,255,170,239,221,191
