카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년12월_계_총인구수,"31,274","8,274","3,338","1,785","3,685","1,856","3,076","2,785","2,783","3,692"
2021년12월_계_연령구간인구수,"31,274","8,274","3,338","1,785","3,685","1,856","3,076","2,785","2,783","3,692"
2021년12월_계_0~9세,"1,210",480,118,54,112,50,81,98,85,132
2021년12월_계_10~19세,"1,994",782,174,60,195,79,235,118,130,221
2021년12월_계_20~29세,"2,334",750,182,108,240,127,238,174,230,285
2021년12월_계_30~39세,"1,838",618,146,102,200,81,156,168,174,193
2021년12월_계_40~49세,"3,264","1,100",332,150,346,163,262,240,276,395
2021년12월_계_50~59세,"5,354","1,374",554,295,600,338,575,463,514,641
2021년12월_계_60~69세,"6,197","1,322",685,417,803,388,589,666,599,728
2021년12월_계_70~79세,"4,907","1,024",645,320,621,312,493,451,415,626
2021년12월_계_80~89세,"3,628",718,446,240,486,275,382,352,318,411
2021년12월_계_90~99세,533,105,55,39,80,42,62,55,40,55
2021년12월_계_100세 이상,15,1,1,0,2,1,3,0,2,5
2021년12월_남_총인구수,"15,730","4,083","1,684",881,"1,846",909,"1,596","1,377","1,412","1,942"
2021년12월_남_연령구간인구수,"15,730","4,083","1,684",881,"1,846",909,"1,596","1,377","1,412","1,942"
2021년12월_남_0~9세,626,238,54,31,65,21,45,50,46,76
2021년12월_남_10~19세,"1,077",425,88,26,105,45,137,62,66,123
2021년12월_남_20~29세,"1,366",422,108,58,145,82,148,96,127,180
2021년12월_남_30~39세,987,301,84,55,110,52,96,88,87,114
2021년12월_남_40~49세,"1,934",588,223,110,216,98,146,139,153,261
2021년12월_남_50~59세,"3,133",758,332,161,354,198,352,274,305,399
2021년12월_남_60~69세,"3,285",670,369,209,430,207,308,375,331,386
2021년12월_남_70~79세,"2,089",430,262,145,262,122,227,191,182,268
2021년12월_남_80~89세,"1,113",232,152,74,144,73,125,96,104,113
2021년12월_남_90~99세,120,19,12,12,15,11,12,6,11,22
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"15,544","4,191","1,654",904,"1,839",947,"1,480","1,408","1,371","1,750"
2021년12월_여_연령구간인구수,"15,544","4,191","1,654",904,"1,839",947,"1,480","1,408","1,371","1,750"
2021년12월_여_0~9세,584,242,64,23,47,29,36,48,39,56
2021년12월_여_10~19세,917,357,86,34,90,34,98,56,64,98
2021년12월_여_20~29세,968,328,74,50,95,45,90,78,103,105
2021년12월_여_30~39세,851,317,62,47,90,29,60,80,87,79
2021년12월_여_40~49세,"1,330",512,109,40,130,65,116,101,123,134
2021년12월_여_50~59세,"2,221",616,222,134,246,140,223,189,209,242
2021년12월_여_60~69세,"2,912",652,316,208,373,181,281,291,268,342
2021년12월_여_70~79세,"2,818",594,383,175,359,190,266,260,233,358
2021년12월_여_80~89세,"2,515",486,294,166,342,202,257,256,214,298
2021년12월_여_90~99세,413,86,43,27,65,31,50,49,29,33
2021년12월_여_100세 이상,15,1,1,0,2,1,3,0,2,5
