,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020년08월_계_총인구수,"62,649","39,155",935,425,"1,809","1,034","1,799","3,259","2,883","1,458",995,"1,598","1,637","2,192","3,470"
2020년08월_계_연령구간인구수,"62,649","39,155",935,425,"1,809","1,034","1,799","3,259","2,883","1,458",995,"1,598","1,637","2,192","3,470"
2020년08월_계_0~9세,"3,564","2,949",14,12,37,26,42,119,88,32,18,35,40,48,104
2020년08월_계_10~19세,"5,805","4,779",43,14,78,22,52,208,134,56,36,60,68,69,186
2020년08월_계_20~29세,"6,760","5,093",64,9,117,55,100,305,216,80,82,82,114,147,296
2020년08월_계_30~39세,"4,815","3,559",48,22,88,33,87,226,188,56,54,61,65,129,199
2020년08월_계_40~49세,"8,462","6,391",103,40,123,66,146,344,282,113,73,129,129,180,343
2020년08월_계_50~59세,"11,300","6,927",161,67,328,203,324,574,564,254,206,303,287,411,691
2020년08월_계_60~69세,"9,185","4,431",189,92,357,190,360,649,605,320,201,327,320,459,685
2020년08월_계_70~79세,"7,508","3,177",188,109,354,200,361,505,432,314,185,357,341,435,550
2020년08월_계_80~89세,"4,587","1,632",114,51,290,215,278,287,320,206,122,212,226,264,370
2020년08월_계_90~99세,631,205,11,9,37,23,46,42,53,25,16,31,44,48,41
2020년08월_계_100세 이상,32,12,0,0,0,1,3,0,1,2,2,1,3,2,5
2020년08월_남_총인구수,"30,993","19,273",480,200,923,502,868,"1,606","1,427",759,515,798,764,"1,112","1,766"
2020년08월_남_연령구간인구수,"30,993","19,273",480,200,923,502,868,"1,606","1,427",759,515,798,764,"1,112","1,766"
2020년08월_남_0~9세,"1,815","1,517",5,6,20,13,19,59,37,15,8,23,17,27,49
2020년08월_남_10~19세,"3,029","2,482",25,9,45,10,23,98,72,32,18,30,33,40,112
2020년08월_남_20~29세,"3,658","2,710",38,4,56,31,52,184,123,51,53,55,63,80,158
2020년08월_남_30~39세,"2,443","1,735",34,11,57,14,48,121,111,33,32,30,43,73,101
2020년08월_남_40~49세,"4,417","3,126",64,26,84,53,91,192,174,76,49,91,71,117,203
2020년08월_남_50~59세,"6,174","3,583",102,43,212,123,206,318,309,152,116,192,166,245,407
2020년08월_남_60~69세,"4,790","2,198",93,43,209,112,196,336,322,184,112,178,174,252,381
2020년08월_남_70~79세,"3,105","1,317",82,39,149,82,147,204,194,133,78,135,129,180,236
2020년08월_남_80~89세,"1,417",557,37,17,81,59,74,87,76,74,43,57,61,84,110
2020년08월_남_90~99세,143,47,0,2,10,5,11,7,9,9,6,7,7,14,9
2020년08월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020년08월_여_총인구수,"31,656","19,882",455,225,886,532,931,"1,653","1,456",699,480,800,873,"1,080","1,704"
2020년08월_여_연령구간인구수,"31,656","19,882",455,225,886,532,931,"1,653","1,456",699,480,800,873,"1,080","1,704"
2020년08월_여_0~9세,"1,749","1,432",9,6,17,13,23,60,51,17,10,12,23,21,55
2020년08월_여_10~19세,"2,776","2,297",18,5,33,12,29,110,62,24,18,30,35,29,74
2020년08월_여_20~29세,"3,102","2,383",26,5,61,24,48,121,93,29,29,27,51,67,138
2020년08월_여_30~39세,"2,372","1,824",14,11,31,19,39,105,77,23,22,31,22,56,98
2020년08월_여_40~49세,"4,045","3,265",39,14,39,13,55,152,108,37,24,38,58,63,140
2020년08월_여_50~59세,"5,126","3,344",59,24,116,80,118,256,255,102,90,111,121,166,284
2020년08월_여_60~69세,"4,395","2,233",96,49,148,78,164,313,283,136,89,149,146,207,304
2020년08월_여_70~79세,"4,403","1,860",106,70,205,118,214,301,238,181,107,222,212,255,314
2020년08월_여_80~89세,"3,170","1,075",77,34,209,156,204,200,244,132,79,155,165,180,260
2020년08월_여_90~99세,488,158,11,7,27,18,35,35,44,16,10,24,37,34,32
2020년08월_여_100세 이상,30,11,0,0,0,1,2,0,1,2,2,1,3,2,5
