,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년06월_계_총인구수,"30,548","9,915","2,111","2,240","3,577","1,507","1,906","2,292","2,725","2,184","2,091"
2021년06월_계_연령구간인구수,"30,548","9,915","2,111","2,240","3,577","1,507","1,906","2,292","2,725","2,184","2,091"
2021년06월_계_0~9세,"1,209",618,51,71,141,39,47,70,75,48,49
2021년06월_계_10~19세,"2,004",976,88,83,260,84,101,104,102,108,98
2021년06월_계_20~29세,"2,532","1,207",134,155,333,80,109,128,167,115,104
2021년06월_계_30~39세,"1,980",887,95,104,259,66,102,95,137,117,118
2021년06월_계_40~49세,"3,029","1,235",169,217,395,126,162,191,202,172,160
2021년06월_계_50~59세,"5,100","1,649",346,419,608,295,299,357,464,310,353
2021년06월_계_60~69세,"6,409","1,615",485,535,704,344,460,546,631,555,534
2021년06월_계_70~79세,"4,469",994,368,341,501,238,333,449,484,403,358
2021년06월_계_80~89세,"3,348",629,336,278,331,203,256,316,415,306,278
2021년06월_계_90~99세,459,103,39,36,45,31,36,35,48,49,37
2021년06월_계_100세 이상,9,2,0,1,0,1,1,1,0,1,2
2021년06월_남_총인구수,"15,510","4,996","1,061","1,174","1,872",796,980,"1,155","1,354","1,098","1,024"
2021년06월_남_연령구간인구수,"15,510","4,996","1,061","1,174","1,872",796,980,"1,155","1,354","1,098","1,024"
2021년06월_남_0~9세,610,317,26,38,68,25,19,34,37,25,21
2021년06월_남_10~19세,"1,055",491,55,45,145,51,53,49,61,50,55
2021년06월_남_20~29세,"1,478",693,80,91,210,49,65,61,93,73,63
2021년06월_남_30~39세,"1,120",460,56,65,157,36,64,59,85,71,67
2021년06월_남_40~49세,"1,779",659,96,137,227,78,110,135,121,112,104
2021년06월_남_50~59세,"2,799",870,187,240,331,176,178,209,262,161,185
2021년06월_남_60~69세,"3,297",784,262,283,371,190,243,276,332,282,274
2021년06월_남_70~79세,"2,049",477,167,170,223,106,152,196,209,193,156
2021년06월_남_80~89세,"1,198",218,122,96,120,76,85,127,145,116,93
2021년06월_남_90~99세,122,26,10,9,20,8,10,9,9,15,6
2021년06월_남_100세 이상,3,1,0,0,0,1,1,0,0,0,0
2021년06월_여_총인구수,"15,038","4,919","1,050","1,066","1,705",711,926,"1,137","1,371","1,086","1,067"
2021년06월_여_연령구간인구수,"15,038","4,919","1,050","1,066","1,705",711,926,"1,137","1,371","1,086","1,067"
2021년06월_여_0~9세,599,301,25,33,73,14,28,36,38,23,28
2021년06월_여_10~19세,949,485,33,38,115,33,48,55,41,58,43
2021년06월_여_20~29세,"1,054",514,54,64,123,31,44,67,74,42,41
2021년06월_여_30~39세,860,427,39,39,102,30,38,36,52,46,51
2021년06월_여_40~49세,"1,250",576,73,80,168,48,52,56,81,60,56
2021년06월_여_50~59세,"2,301",779,159,179,277,119,121,148,202,149,168
2021년06월_여_60~69세,"3,112",831,223,252,333,154,217,270,299,273,260
2021년06월_여_70~79세,"2,420",517,201,171,278,132,181,253,275,210,202
2021년06월_여_80~89세,"2,150",411,214,182,211,127,171,189,270,190,185
2021년06월_여_90~99세,337,77,29,27,25,23,26,26,39,34,31
2021년06월_여_100세 이상,6,1,0,1,0,0,0,1,0,1,2
