카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년05월_계_총인구수,"227,749","36,188","19,923","59,268","31,751","16,221","64,398"
2020년05월_계_연령구간인구수,"227,749","36,188","19,923","59,268","31,751","16,221","64,398"
2020년05월_계_0~9세,"24,541","4,179",957,"7,290","4,112","1,478","6,525"
2020년05월_계_10~19세,"24,851","4,244","1,229","6,689","3,287","2,011","7,391"
2020년05월_계_20~29세,"30,909","4,506","3,715","6,878","4,092","2,206","9,512"
2020년05월_계_30~39세,"39,553","5,810","4,853","9,922","6,131","2,473","10,364"
2020년05월_계_40~49세,"42,500","6,768","3,618","11,029","5,937","3,112","12,036"
2020년05월_계_50~59세,"32,767","5,354","2,796","8,238","4,188","2,467","9,724"
2020년05월_계_60~69세,"18,778","3,002","1,630","5,294","2,460","1,371","5,021"
2020년05월_계_70~79세,"9,479","1,559",778,"2,667","1,064",737,"2,674"
2020년05월_계_80~89세,"3,846",671,308,"1,118",409,332,"1,008"
2020년05월_계_90~99세,477,86,32,130,65,29,135
2020년05월_계_100세 이상,48,9,7,13,6,5,8
2020년05월_남_총인구수,"117,796","18,141","11,691","29,901","16,333","8,378","33,352"
2020년05월_남_연령구간인구수,"117,796","18,141","11,691","29,901","16,333","8,378","33,352"
2020년05월_남_0~9세,"12,542","2,144",480,"3,718","2,107",780,"3,313"
2020년05월_남_10~19세,"12,733","2,089",634,"3,376","1,674","1,045","3,915"
2020년05월_남_20~29세,"16,683","2,368","2,100","3,644","2,186","1,204","5,181"
2020년05월_남_30~39세,"21,329","2,980","3,123","5,106","3,227","1,346","5,547"
2020년05월_남_40~49세,"22,496","3,436","2,229","5,828","3,109","1,595","6,299"
2020년05월_남_50~59세,"17,077","2,741","1,747","4,103","2,117","1,306","5,063"
2020년05월_남_60~69세,"9,263","1,475",878,"2,543","1,234",656,"2,477"
2020년05월_남_70~79세,"4,162",641,367,"1,170",516,324,"1,144"
2020년05월_남_80~89세,"1,399",249,125,381,152,113,379
2020년05월_남_90~99세,98,14,6,29,10,6,33
2020년05월_남_100세 이상,14,4,2,3,1,3,1
2020년05월_여_총인구수,"109,953","18,047","8,232","29,367","15,418","7,843","31,046"
2020년05월_여_연령구간인구수,"109,953","18,047","8,232","29,367","15,418","7,843","31,046"
2020년05월_여_0~9세,"11,999","2,035",477,"3,572","2,005",698,"3,212"
2020년05월_여_10~19세,"12,118","2,155",595,"3,313","1,613",966,"3,476"
2020년05월_여_20~29세,"14,226","2,138","1,615","3,234","1,906","1,002","4,331"
2020년05월_여_30~39세,"18,224","2,830","1,730","4,816","2,904","1,127","4,817"
2020년05월_여_40~49세,"20,004","3,332","1,389","5,201","2,828","1,517","5,737"
2020년05월_여_50~59세,"15,690","2,613","1,049","4,135","2,071","1,161","4,661"
2020년05월_여_60~69세,"9,515","1,527",752,"2,751","1,226",715,"2,544"
2020년05월_여_70~79세,"5,317",918,411,"1,497",548,413,"1,530"
2020년05월_여_80~89세,"2,447",422,183,737,257,219,629
2020년05월_여_90~99세,379,72,26,101,55,23,102
2020년05월_여_100세 이상,34,5,5,10,5,2,7
