,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년09월_계_총인구수,"279,207","6,799","7,726","7,033","2,273","1,518","1,911","2,628","3,036","2,965","3,305","5,239","4,317","4,454","2,591","1,554","3,309","4,749","6,948","22,370","9,310","11,475","38,682","8,401","22,907","14,065","24,798","15,725","6,579","32,540"
2021년09월_계_연령구간인구수,"279,207","6,799","7,726","7,033","2,273","1,518","1,911","2,628","3,036","2,965","3,305","5,239","4,317","4,454","2,591","1,554","3,309","4,749","6,948","22,370","9,310","11,475","38,682","8,401","22,907","14,065","24,798","15,725","6,579","32,540"
2021년09월_계_0~9세,"17,883",320,482,257,59,18,35,66,108,78,169,338,83,160,60,25,87,288,283,"1,550",414,442,"3,525",810,"1,382","1,164","2,049",576,509,"2,546"
2021년09월_계_10~19세,"27,240",565,605,469,125,57,95,135,134,144,156,334,178,259,96,76,112,326,398,"2,160",679,898,"4,384",956,"2,630","1,959","3,253","1,164",639,"4,254"
2021년09월_계_20~29세,"35,394",577,658,627,166,88,121,174,204,137,302,603,263,400,221,84,360,467,887,"2,424","1,351","1,268","4,606",897,"3,221","2,305","3,508","4,233",732,"4,510"
2021년09월_계_30~39세,"27,563",486,712,503,113,62,74,140,193,142,261,481,198,317,154,74,297,466,749,"2,329",875,940,"4,378","1,082","2,297","1,530","2,909","1,473",786,"3,542"
2021년09월_계_40~49세,"40,623",776,999,728,212,120,174,213,301,253,324,570,383,477,235,127,378,690,789,"3,364","1,240","1,410","6,284","1,391","3,447","2,611","4,714","1,648","1,031","5,734"
2021년09월_계_50~59세,"48,476","1,171","1,314","1,306",410,241,341,366,526,480,532,860,724,809,530,230,524,916,"1,115","3,985","1,822","1,849","6,283","1,268","4,371","2,562","4,602","2,222","1,089","6,028"
2021년09월_계_60~69세,"42,194","1,412","1,492","1,435",480,388,475,618,673,743,660,"1,072","1,029",938,564,373,741,882,"1,316","3,608","1,652","2,150","5,135","1,120","3,481","1,075","2,269","2,089",915,"3,409"
2021년09월_계_70~79세,"24,894",892,871,994,405,287,335,526,530,572,517,613,823,587,395,317,538,485,913,"1,951",870,"1,714","2,651",600,"1,370",586,"1,006","1,456",510,"1,580"
2021년09월_계_80~89세,"12,782",517,507,602,246,214,214,329,323,359,337,324,526,422,272,211,221,205,436,882,362,709,"1,244",243,597,231,432,715,284,818
2021년09월_계_90~99세,"2,086",81,84,104,54,42,46,61,43,54,47,44,106,84,60,35,47,24,60,112,45,92,187,32,109,41,54,139,81,118
2021년09월_계_100세 이상,72,2,2,8,3,1,1,0,1,3,0,0,4,1,4,2,4,0,2,5,0,3,5,2,2,1,2,10,3,1
2021년09월_남_총인구수,"139,079","3,336","3,827","3,550","1,131",769,966,"1,315","1,603","1,464","1,676","2,740","2,220","2,306","1,354",764,"1,759","2,523","3,566","10,992","4,733","5,897","18,687","4,164","11,294","6,878","12,117","7,901","3,405","16,142"
2021년09월_남_연령구간인구수,"139,079","3,336","3,827","3,550","1,131",769,966,"1,315","1,603","1,464","1,676","2,740","2,220","2,306","1,354",764,"1,759","2,523","3,566","10,992","4,733","5,897","18,687","4,164","11,294","6,878","12,117","7,901","3,405","16,142"
2021년09월_남_0~9세,"9,185",168,241,141,27,4,21,33,47,31,76,174,54,84,37,13,51,159,156,770,239,229,"1,828",396,712,591,"1,077",295,261,"1,270"
2021년09월_남_10~19세,"13,971",267,300,245,59,40,46,62,85,68,82,167,103,149,56,42,69,154,211,"1,132",376,550,"2,167",509,"1,349","1,018","1,654",541,324,"2,146"
2021년09월_남_20~29세,"19,265",330,356,353,96,46,71,106,123,85,175,398,149,247,135,52,196,263,445,"1,334",715,733,"2,367",480,"1,776","1,203","1,863","2,299",423,"2,446"
2021년09월_남_30~39세,"14,391",254,389,280,68,39,41,89,107,96,161,266,126,167,99,39,186,243,445,"1,215",492,530,"2,103",520,"1,170",756,"1,429",870,434,"1,777"
2021년09월_남_40~49세,"20,729",428,534,406,121,81,116,136,185,150,200,313,258,292,157,82,231,386,449,"1,743",679,785,"3,105",724,"1,645","1,172","2,197",892,537,"2,725"
2021년09월_남_50~59세,"24,728",614,678,717,232,144,199,208,321,265,304,458,399,464,303,125,273,509,625,"1,989",890,967,"2,976",647,"2,089","1,295","2,273","1,114",572,"3,078"
2021년09월_남_60~69세,"20,892",704,739,731,267,193,252,322,371,377,319,546,549,485,293,190,385,473,611,"1,702",813,996,"2,475",532,"1,704",527,"1,081",999,481,"1,775"
2021년09월_남_70~79세,"11,213",385,394,444,174,136,147,235,241,259,256,283,373,277,176,140,259,257,441,819,397,774,"1,187",263,647,227,411,659,255,697
2021년09월_남_80~89세,"4,235",171,177,211,75,77,65,109,115,122,95,119,171,119,86,74,96,76,165,265,123,307,426,86,182,82,121,210,100,210
2021년09월_남_90~99세,456,15,17,20,12,9,8,15,8,11,8,16,37,22,11,7,13,3,18,23,9,24,52,6,20,7,10,21,17,17
2021년09월_남_100세 이상,14,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,1,1,1,1
2021년09월_여_총인구수,"140,128","3,463","3,899","3,483","1,142",749,945,"1,313","1,433","1,501","1,629","2,499","2,097","2,148","1,237",790,"1,550","2,226","3,382","11,378","4,577","5,578","19,995","4,237","11,613","7,187","12,681","7,824","3,174","16,398"
2021년09월_여_연령구간인구수,"140,128","3,463","3,899","3,483","1,142",749,945,"1,313","1,433","1,501","1,629","2,499","2,097","2,148","1,237",790,"1,550","2,226","3,382","11,378","4,577","5,578","19,995","4,237","11,613","7,187","12,681","7,824","3,174","16,398"
2021년09월_여_0~9세,"8,698",152,241,116,32,14,14,33,61,47,93,164,29,76,23,12,36,129,127,780,175,213,"1,697",414,670,573,972,281,248,"1,276"
2021년09월_여_10~19세,"13,269",298,305,224,66,17,49,73,49,76,74,167,75,110,40,34,43,172,187,"1,028",303,348,"2,217",447,"1,281",941,"1,599",623,315,"2,108"
2021년09월_여_20~29세,"16,129",247,302,274,70,42,50,68,81,52,127,205,114,153,86,32,164,204,442,"1,090",636,535,"2,239",417,"1,445","1,102","1,645","1,934",309,"2,064"
2021년09월_여_30~39세,"13,172",232,323,223,45,23,33,51,86,46,100,215,72,150,55,35,111,223,304,"1,114",383,410,"2,275",562,"1,127",774,"1,480",603,352,"1,765"
2021년09월_여_40~49세,"19,894",348,465,322,91,39,58,77,116,103,124,257,125,185,78,45,147,304,340,"1,621",561,625,"3,179",667,"1,802","1,439","2,517",756,494,"3,009"
2021년09월_여_50~59세,"23,748",557,636,589,178,97,142,158,205,215,228,402,325,345,227,105,251,407,490,"1,996",932,882,"3,307",621,"2,282","1,267","2,329","1,108",517,"2,950"
2021년09월_여_60~69세,"21,302",708,753,704,213,195,223,296,302,366,341,526,480,453,271,183,356,409,705,"1,906",839,"1,154","2,660",588,"1,777",548,"1,188","1,090",434,"1,634"
2021년09월_여_70~79세,"13,681",507,477,550,231,151,188,291,289,313,261,330,450,310,219,177,279,228,472,"1,132",473,940,"1,464",337,723,359,595,797,255,883
2021년09월_여_80~89세,"8,547",346,330,391,171,137,149,220,208,237,242,205,355,303,186,137,125,129,271,617,239,402,818,157,415,149,311,505,184,608
2021년09월_여_90~99세,"1,630",66,67,84,42,33,38,46,35,43,39,28,69,62,49,28,34,21,42,89,36,68,135,26,89,34,44,118,64,101
2021년09월_여_100세 이상,58,2,0,6,3,1,1,0,1,3,0,0,3,1,3,2,4,0,2,5,0,1,4,1,2,1,1,9,2,0
