,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년03월_계_총인구수,"211,252","5,899","28,085","10,930","8,809","13,063","22,197","13,671","15,442","23,390","13,275","28,802","27,689"
2021년03월_계_연령구간인구수,"211,252","5,899","28,085","10,930","8,809","13,063","22,197","13,671","15,442","23,390","13,275","28,802","27,689"
2021년03월_계_0~9세,"12,059",242,"1,553",276,497,699,"1,061",513,951,"1,428",733,"1,865","2,241"
2021년03월_계_10~19세,"14,887",292,"1,999",454,646,917,"1,065",681,"1,096","1,849","1,059","2,246","2,583"
2021년03월_계_20~29세,"28,630",647,"3,548",852,"1,040","1,696","4,163","1,676","2,110","4,089","1,765","3,419","3,625"
2021년03월_계_30~39세,"24,812",568,"3,220",793,994,"1,450","3,250","1,587","1,799","3,009","1,496","3,385","3,261"
2021년03월_계_40~49세,"29,113",704,"3,753","1,274","1,202","1,714","2,707","1,757","2,009","3,418","1,785","4,315","4,475"
2021년03월_계_50~59세,"40,469","1,266","5,473","2,184","1,771","2,625","4,179","2,822","3,089","3,912","2,444","5,338","5,366"
2021년03월_계_60~69세,"37,336","1,251","5,292","2,545","1,544","2,524","3,696","2,770","2,791","3,368","2,395","5,165","3,995"
2021년03월_계_70~79세,"17,267",672,"2,357","1,712",809,"1,058","1,578","1,370","1,157","1,647","1,099","2,229","1,579"
2021년03월_계_80~89세,"5,989",231,786,764,283,334,449,437,393,604,453,755,500
2021년03월_계_90~99세,647,22,87,73,23,44,45,55,46,62,46,82,62
2021년03월_계_100세 이상,43,4,17,3,0,2,4,3,1,4,0,3,2
2021년03월_남_총인구수,"106,717","3,158","14,083","5,234","4,509","6,600","11,520","7,246","7,906","11,694","6,516","14,409","13,842"
2021년03월_남_연령구간인구수,"106,717","3,158","14,083","5,234","4,509","6,600","11,520","7,246","7,906","11,694","6,516","14,409","13,842"
2021년03월_남_0~9세,"6,154",134,773,140,260,360,538,262,495,703,378,964,"1,147"
2021년03월_남_10~19세,"7,768",158,"1,042",238,337,473,568,366,581,946,546,"1,193","1,320"
2021년03월_남_20~29세,"15,303",381,"1,945",495,606,912,"2,030",898,"1,144","2,092",926,"1,879","1,995"
2021년03월_남_30~39세,"13,368",305,"1,736",441,539,761,"1,815",939,973,"1,612",816,"1,784","1,647"
2021년03월_남_40~49세,"15,337",408,"1,937",770,637,913,"1,498","1,024","1,024","1,791",916,"2,220","2,199"
2021년03월_남_50~59세,"20,167",719,"2,657","1,152",938,"1,257","2,193","1,516","1,516","1,872","1,110","2,586","2,651"
2021년03월_남_60~69세,"18,511",662,"2,569","1,155",740,"1,271","1,927","1,425","1,446","1,679","1,148","2,526","1,963"
2021년03월_남_70~79세,"7,985",308,"1,126",630,355,529,776,635,574,780,506,"1,003",763
2021년03월_남_80~89세,"2,009",80,281,200,93,118,171,173,147,207,159,229,151
2021년03월_남_90~99세,111,3,17,13,4,5,3,7,6,11,11,25,6
2021년03월_남_100세 이상,4,0,0,0,0,1,1,1,0,1,0,0,0
2021년03월_여_총인구수,"104,535","2,741","14,002","5,696","4,300","6,463","10,677","6,425","7,536","11,696","6,759","14,393","13,847"
2021년03월_여_연령구간인구수,"104,535","2,741","14,002","5,696","4,300","6,463","10,677","6,425","7,536","11,696","6,759","14,393","13,847"
2021년03월_여_0~9세,"5,905",108,780,136,237,339,523,251,456,725,355,901,"1,094"
2021년03월_여_10~19세,"7,119",134,957,216,309,444,497,315,515,903,513,"1,053","1,263"
2021년03월_여_20~29세,"13,327",266,"1,603",357,434,784,"2,133",778,966,"1,997",839,"1,540","1,630"
2021년03월_여_30~39세,"11,444",263,"1,484",352,455,689,"1,435",648,826,"1,397",680,"1,601","1,614"
2021년03월_여_40~49세,"13,776",296,"1,816",504,565,801,"1,209",733,985,"1,627",869,"2,095","2,276"
2021년03월_여_50~59세,"20,302",547,"2,816","1,032",833,"1,368","1,986","1,306","1,573","2,040","1,334","2,752","2,715"
2021년03월_여_60~69세,"18,825",589,"2,723","1,390",804,"1,253","1,769","1,345","1,345","1,689","1,247","2,639","2,032"
2021년03월_여_70~79세,"9,282",364,"1,231","1,082",454,529,802,735,583,867,593,"1,226",816
2021년03월_여_80~89세,"3,980",151,505,564,190,216,278,264,246,397,294,526,349
2021년03월_여_90~99세,536,19,70,60,19,39,42,48,40,51,35,57,56
2021년03월_여_100세 이상,39,4,17,3,0,1,3,2,1,3,0,3,2
