,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년10월_계_총인구수,"24,897","8,443","2,733","2,891","4,322","6,508"
2020년10월_계_연령구간인구수,"24,897","8,443","2,733","2,891","4,322","6,508"
2020년10월_계_0~9세,"1,816",719,56,131,313,597
2020년10월_계_10~19세,"1,810",772,149,277,155,457
2020년10월_계_20~29세,"3,925","1,200",272,270,"1,155","1,028"
2020년10월_계_30~39세,"2,870","1,026",141,250,543,910
2020년10월_계_40~49세,"2,752","1,163",217,370,335,667
2020년10월_계_50~59세,"3,969","1,333",600,539,528,969
2020년10월_계_60~69세,"3,742","1,049",612,496,606,979
2020년10월_계_70~79세,"2,426",738,406,323,394,565
2020년10월_계_80~89세,"1,350",388,231,203,247,281
2020년10월_계_90~99세,222,52,48,27,44,51
2020년10월_계_100세 이상,15,3,1,5,2,4
2020년10월_남_총인구수,"13,503","4,406","1,453","1,502","2,632","3,510"
2020년10월_남_연령구간인구수,"13,503","4,406","1,453","1,502","2,632","3,510"
2020년10월_남_0~9세,913,359,31,70,147,306
2020년10월_남_10~19세,917,406,69,142,85,215
2020년10월_남_20~29세,"2,740",733,206,149,937,715
2020년10월_남_30~39세,"1,682",577,83,125,371,526
2020년10월_남_40~49세,"1,496",605,104,212,202,373
2020년10월_남_50~59세,"2,143",721,339,305,283,495
2020년10월_남_60~69세,"1,999",553,337,269,334,506
2020년10월_남_70~79세,"1,068",301,187,152,174,254
2020년10월_남_80~89세,479,136,83,69,89,102
2020년10월_남_90~99세,59,14,13,7,9,16
2020년10월_남_100세 이상,7,1,1,2,1,2
2020년10월_여_총인구수,"11,394","4,037","1,280","1,389","1,690","2,998"
2020년10월_여_연령구간인구수,"11,394","4,037","1,280","1,389","1,690","2,998"
2020년10월_여_0~9세,903,360,25,61,166,291
2020년10월_여_10~19세,893,366,80,135,70,242
2020년10월_여_20~29세,"1,185",467,66,121,218,313
2020년10월_여_30~39세,"1,188",449,58,125,172,384
2020년10월_여_40~49세,"1,256",558,113,158,133,294
2020년10월_여_50~59세,"1,826",612,261,234,245,474
2020년10월_여_60~69세,"1,743",496,275,227,272,473
2020년10월_여_70~79세,"1,358",437,219,171,220,311
2020년10월_여_80~89세,871,252,148,134,158,179
2020년10월_여_90~99세,163,38,35,20,35,35
2020년10월_여_100세 이상,8,2,0,3,1,2
