,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년11월_계_총인구수,"284,121","7,548","19,649","1,442","2,578","1,076","3,773","2,500",959,"17,161","3,424","3,549","2,695","3,278","8,540","9,314","11,588","14,601","20,872","4,411","11,981","4,340","34,625","48,845","22,437","22,935"
2021년11월_계_연령구간인구수,"284,121","7,548","19,649","1,442","2,578","1,076","3,773","2,500",959,"17,161","3,424","3,549","2,695","3,278","8,540","9,314","11,588","14,601","20,872","4,411","11,981","4,340","34,625","48,845","22,437","22,935"
2021년11월_계_0~9세,"20,869",318,"2,029",23,99,19,98,66,13,"1,303",71,98,79,212,890,704,482,"1,229","1,698",313,376,126,"2,281","4,216","1,912","2,214"
2021년11월_계_10~19세,"26,465",436,"2,467",58,135,28,175,134,18,"1,700",151,163,113,194,636,757,814,"1,395","1,897",368,634,223,"4,176","5,679","1,869","2,245"
2021년11월_계_20~29세,"37,412",708,"1,932",106,230,50,232,172,33,"2,102",219,901,339,410,"1,007","1,173","1,833","2,123","2,582",516,"2,808",952,"5,034","6,318","2,795","2,837"
2021년11월_계_30~39세,"34,282",660,"2,298",89,195,52,225,112,37,"2,268",237,412,291,417,"1,428","1,142","1,354","2,061","2,705",453,"1,335",569,"3,590","6,021","3,262","3,069"
2021년11월_계_40~49세,"41,833",830,"3,577",103,243,84,333,202,56,"2,806",340,372,335,427,"1,133","1,326","1,471","2,103","3,038",646,"1,365",449,"5,623","8,096","3,355","3,520"
2021년11월_계_50~59세,"46,725","1,389","3,042",232,487,191,655,444,193,"2,788",650,487,458,530,"1,193","1,610","1,878","2,303","3,386",732,"1,775",657,"6,192","8,264","3,696","3,493"
2021년11월_계_60~69세,"41,560","1,564","2,647",444,645,305,"1,010",715,305,"2,434",930,527,499,515,"1,114","1,367","1,984","1,791","3,055",714,"1,784",687,"4,274","5,963","3,276","3,011"
2021년11월_계_70~79세,"20,419",893,978,201,287,193,562,363,188,"1,026",480,357,323,338,650,742,"1,038",924,"1,483",385,"1,119",377,"2,061","2,489","1,441","1,521"
2021년11월_계_80~89세,"12,540",646,562,170,218,128,400,251,103,626,292,207,218,194,425,421,635,576,893,246,694,264,"1,227","1,567",694,883
