카테고리,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년01월_계_총인구수,"499,869","25,116","16,109","30,747","29,563","16,836","33,275","34,693","15,450","26,720","18,722","23,143","18,508","23,701","22,920","21,683","16,249","17,529","23,519","25,020","32,044","28,322"
2020년01월_계_연령구간인구수,"499,869","25,116","16,109","30,747","29,563","16,836","33,275","34,693","15,450","26,720","18,722","23,143","18,508","23,701","22,920","21,683","16,249","17,529","23,519","25,020","32,044","28,322"
2020년01월_계_0~9세,"24,804","1,369","1,483","2,210","1,292",803,"1,268","2,402",464,"1,327","1,126",770,697,939,890,427,"1,314",762,798,"1,022","1,959","1,482"
2020년01월_계_10~19세,"30,494","1,580","1,212","3,112","1,460",865,"1,718","2,675",703,"1,711",895,926,915,"1,145","1,269",505,"1,546",881,"1,042","1,747","2,519","2,068"
2020년01월_계_20~29세,"107,649","4,647","1,958","3,872","7,434","5,266","10,465","5,558","4,346","5,841","3,907","6,343","4,329","5,713","5,567","8,219","1,751","3,921","6,196","3,167","4,943","4,206"
2020년01월_계_30~39세,"88,627","4,332","2,696","4,091","6,102","3,492","6,316","5,685","2,988","5,135","3,896","4,758","3,280","4,674","4,044","5,657","2,076","3,332","4,711","2,926","4,575","3,861"
2020년01월_계_40~49세,"70,776","3,484","2,657","5,356","3,792","2,062","3,940","5,491","1,796","3,797","2,415","2,844","2,421","3,246","3,134","2,420","3,105","2,309","3,613","3,718","4,932","4,244"
2020년01월_계_50~59세,"69,477","3,584","2,374","4,806","3,570","1,675","3,697","4,999","1,912","3,577","2,617","2,921","2,502","3,140","3,307","1,754","2,605","2,465","3,135","4,528","5,192","5,117"
2020년01월_계_60~69세,"57,657","3,239","1,925","3,746","3,134","1,349","3,118","4,217","1,647","2,858","2,159","2,497","2,220","2,664","2,492","1,449","2,075","2,133","2,189","4,082","4,540","3,924"
2020년01월_계_70~79세,"36,348","2,097","1,204","2,500","2,068",948,"2,035","2,691","1,153","1,798","1,289","1,512","1,545","1,553","1,612",916,"1,280","1,204","1,278","2,655","2,502","2,508"
2020년01월_계_80~89세,"12,140",681,521,907,612,324,622,847,393,593,359,511,511,528,526,281,419,452,488,994,774,797
2020년01월_계_90~99세,"1,588",93,57,118,83,43,75,111,39,75,56,52,76,81,65,40,65,61,57,153,86,102
2020년01월_계_100세 이상,309,10,22,29,16,9,21,17,9,8,3,9,12,18,14,15,13,9,12,28,22,13
2020년01월_남_총인구수,"250,931","12,280","7,910","14,901","14,392","8,480","16,011","17,013","7,433","13,109","9,001","11,857","9,278","13,077","11,456","11,110","8,012","8,892","14,183","12,566","15,692","14,278"
2020년01월_남_연령구간인구수,"250,931","12,280","7,910","14,901","14,392","8,480","16,011","17,013","7,433","13,109","9,001","11,857","9,278","13,077","11,456","11,110","8,012","8,892","14,183","12,566","15,692","14,278"
2020년01월_남_0~9세,"12,776",708,778,"1,159",654,417,614,"1,285",256,690,582,420,343,471,470,216,656,377,396,554,980,750
2020년01월_남_10~19세,"15,703",808,638,"1,649",740,404,851,"1,360",349,877,424,489,461,606,699,243,795,462,564,918,"1,249","1,117"
2020년01월_남_20~29세,"52,698","2,256","1,032","1,927","3,356","2,533","4,594","2,684","1,842","2,784","1,762","3,198","2,194","3,246","2,614","3,897",909,"1,753","3,741","1,710","2,459","2,207"
