카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년02월_계_총인구수,"655,447","339,281","7,837","4,447","13,009","5,086","6,678","9,045","15,045","19,854","39,989","12,920","45,878","12,464","14,233","22,938","11,544","10,746","15,359","34,915","37,294","316,166","14,831","18,973","11,713","32,155","20,262","7,561","10,281","7,992","9,968","14,873","21,043","59,340","26,747","12,244","30,200","17,983",0
2020년02월_계_연령구간인구수,"655,447","339,281","7,837","4,447","13,009","5,086","6,678","9,045","15,045","19,854","39,989","12,920","45,878","12,464","14,233","22,938","11,544","10,746","15,359","34,915","37,294","316,166","14,831","18,973","11,713","32,155","20,262","7,561","10,281","7,992","9,968","14,873","21,043","59,340","26,747","12,244","30,200","17,983",0
2020년02월_계_0~9세,"55,888","25,524",348,116,669,196,335,372,"1,043","1,517","3,249",657,"4,212",818,755,"1,733",719,576,"1,107","3,752","3,350","30,364",732,"1,595",619,"2,889","2,169",224,494,362,698,949,"1,651","8,090","2,279",872,"3,710","3,031",0
2020년02월_계_10~19세,"73,815","37,699",496,211,884,384,491,713,"1,377","2,769","5,129",932,"5,536","1,241","1,395","2,792","1,002","1,028","1,689","4,637","4,993","36,116","1,174","2,481",793,"4,308","1,636",402,699,576,833,"1,388","2,700","8,469","3,266","1,045","3,112","3,234",0
2020년02월_계_20~29세,"91,899","48,907",965,416,"1,481",538,741,"1,059","2,391","3,171","6,083","1,371","5,815","1,789","2,226","3,210","1,549","1,566","2,164","5,506","6,866","42,992","1,795","2,431","1,619","4,561","3,110","2,065","1,575",891,"1,370","2,071","2,830","7,658","3,950","1,541","3,902","1,623",0
2020년02월_계_30~39세,"82,690","40,275",794,440,"1,442",441,606,838,"1,767","2,395","4,876","1,383","5,377","1,317","1,429","2,267","1,246","1,144","1,774","4,577","6,162","42,415","1,358","2,026","1,389","4,124","3,455",930,"1,148",799,"1,299","2,064","2,190","9,258","3,064","1,673","5,201","2,437",0
2020년02월_계_40~49세,"108,523","54,783",967,566,"1,777",740,846,"1,267","2,046","3,655","7,104","1,806","7,632","1,818","1,888","3,776","1,624","1,500","2,263","6,215","7,293","53,740","1,959","3,222","1,553","6,178","3,098",888,"1,315","1,161","1,495","2,614","3,325","11,470","4,281","1,832","5,126","4,223",0
2020년02월_계_50~59세,"105,695","57,046","1,372",747,"2,140",829,"1,121","1,610","2,636","3,276","6,816","2,346","7,561","2,366","2,777","4,307","1,903","1,913","2,633","5,397","5,296","48,649","2,479","2,881","1,941","4,924","2,814","1,126","1,677","1,543","1,718","2,635","3,681","7,986","4,651","2,163","4,362","2,068",0
2020년02월_계_60~69세,"73,159","40,366","1,397",896,"2,158",877,"1,253","1,601","2,096","1,797","3,646","2,111","5,559","1,741","2,234","2,626","1,789","1,656","2,037","2,933","1,959","32,793","2,302","2,208","1,861","2,657","2,048",936,"1,659","1,364","1,449","1,720","2,664","3,800","2,936","1,595","2,754",840,0
2020년02월_계_70~79세,"42,119","22,766",984,677,"1,548",702,825,"1,090","1,104",839,"2,000","1,500","2,767",942,"1,061","1,363","1,179",956,"1,100","1,226",903,"19,353","1,955","1,483","1,342","1,704","1,305",659,"1,204",908,725,919,"1,292","1,702","1,542",934,"1,334",345,0
2020년02월_계_80~89세,"18,910","10,354",451,317,785,330,400,437,515,375,971,705,"1,245",368,416,743,461,351,502,570,412,"8,556",950,565,531,715,535,294,459,345,338,458,628,770,689,524,606,149,0
2020년02월_계_90~99세,"2,582","1,475",53,56,110,48,55,52,67,57,111,107,166,61,51,119,68,53,89,98,54,"1,107",119,71,59,90,73,36,49,39,41,54,79,134,88,57,85,33,0
2020년02월_계_100세 이상,167,86,10,5,15,1,5,6,3,3,4,2,8,3,1,2,4,3,1,4,6,81,8,10,6,5,19,1,2,4,2,1,3,3,1,8,8,0,0
2020년02월_남_총인구수,"322,798","165,374","3,952","2,221","6,321","2,541","3,316","4,389","7,262","9,884","19,581","6,211","22,191","6,059","6,867","11,158","5,555","5,114","7,287","16,936","18,529","157,424","7,300","9,154","5,872","15,759","10,247","4,039","5,089","4,332","5,011","7,680","10,164","29,431","13,060","6,291","15,248","8,747",0
2020년02월_남_연령구간인구수,"322,798","165,374","3,952","2,221","6,321","2,541","3,316","4,389","7,262","9,884","19,581","6,211","22,191","6,059","6,867","11,158","5,555","5,114","7,287","16,936","18,529","157,424","7,300","9,154","5,872","15,759","10,247","4,039","5,089","4,332","5,011","7,680","10,164","29,431","13,060","6,291","15,248","8,747",0
2020년02월_남_0~9세,"28,627","13,172",195,64,346,109,175,200,552,769,"1,662",372,"2,168",420,372,871,382,293,574,"1,955","1,693","15,455",376,760,319,"1,439","1,110",110,262,193,338,466,827,"4,161","1,155",438,"1,964","1,537",0
2020년02월_남_10~19세,"38,159","19,544",243,116,469,209,268,352,742,"1,436","2,612",485,"2,858",645,684,"1,479",537,521,860,"2,437","2,591","18,615",642,"1,296",399,"2,200",867,198,360,304,420,704,"1,343","4,357","1,695",560,"1,600","1,670",0
2020년02월_남_20~29세,"48,383","25,430",533,208,775,280,376,563,"1,193","1,643","3,180",733,"3,042",956,"1,222","1,770",827,812,"1,130","2,755","3,432","22,953",954,"1,289",859,"2,374","1,687","1,178",838,521,718,"1,093","1,573","4,042","2,044",861,"2,057",865,0
2020년02월_남_30~39세,"41,722","20,408",438,261,735,250,329,459,904,"1,220","2,436",755,"2,636",687,748,"1,110",631,589,892,"2,209","3,119","21,314",733,964,775,"2,042","1,771",550,631,486,712,"1,137","1,059","4,413","1,519",908,"2,646",968,0
2020년02월_남_40~49세,"53,167","26,223",521,343,943,408,456,689,933,"1,702","3,321",950,"3,605",847,865,"1,714",814,717,"1,060","2,887","3,448","26,944","1,041","1,532",838,"2,947","1,686",535,712,732,784,"1,373","1,543","5,546","2,002",995,"2,629","2,049",0
2020년02월_남_50~59세,"51,752","27,411",695,381,"1,028",449,563,790,"1,212","1,664","3,338","1,122","3,586","1,115","1,237","2,061",862,868,"1,126","2,558","2,756","24,341","1,218","1,385",970,"2,492","1,353",588,813,853,841,"1,441","1,765","4,025","2,242","1,142","2,159","1,054",0
2020년02월_남_60~69세,"34,906","19,104",646,422,992,420,619,696,993,896,"1,767",969,"2,632",826,"1,087","1,298",816,736,932,"1,413",944,"15,802","1,073","1,004",855,"1,260",952,445,726,699,706,868,"1,288","1,875","1,457",814,"1,374",406,0
2020년02월_남_70~79세,"18,715","10,121",484,289,694,296,376,484,509,402,861,590,"1,222",423,509,593,500,441,505,541,402,"8,594",820,681,609,744,594,293,536,414,351,418,541,743,700,403,594,153,0
2020년02월_남_80~89세,"6,750","3,626",181,123,308,110,144,147,204,139,374,212,407,129,135,230,172,123,189,161,138,"3,124",401,230,233,241,203,129,196,120,130,169,208,240,224,159,205,36,0
2020년02월_남_90~99세,588,319,15,11,29,10,9,7,19,13,30,22,35,9,8,32,13,14,19,19,5,269,40,13,15,19,20,12,15,9,10,11,16,28,22,11,19,9,0
2020년02월_남_100세 이상,29,16,1,3,2,0,1,2,1,0,0,1,0,2,0,0,1,0,0,1,1,13,2,0,0,1,4,1,0,1,1,0,1,1,0,0,1,0,0
2020년02월_여_총인구수,"332,649","173,907","3,885","2,226","6,688","2,545","3,362","4,656","7,783","9,970","20,408","6,709","23,687","6,405","7,366","11,780","5,989","5,632","8,072","17,979","18,765","158,742","7,531","9,819","5,841","16,396","10,015","3,522","5,192","3,660","4,957","7,193","10,879","29,909","13,687","5,953","14,952","9,236",0
2020년02월_여_연령구간인구수,"332,649","173,907","3,885","2,226","6,688","2,545","3,362","4,656","7,783","9,970","20,408","6,709","23,687","6,405","7,366","11,780","5,989","5,632","8,072","17,979","18,765","158,742","7,531","9,819","5,841","16,396","10,015","3,522","5,192","3,660","4,957","7,193","10,879","29,909","13,687","5,953","14,952","9,236",0
2020년02월_여_0~9세,"27,261","12,352",153,52,323,87,160,172,491,748,"1,587",285,"2,044",398,383,862,337,283,533,"1,797","1,657","14,909",356,835,300,"1,450","1,059",114,232,169,360,483,824,"3,929","1,124",434,"1,746","1,494",0
2020년02월_여_10~19세,"35,656","18,155",253,95,415,175,223,361,635,"1,333","2,517",447,"2,678",596,711,"1,313",465,507,829,"2,200","2,402","17,501",532,"1,185",394,"2,108",769,204,339,272,413,684,"1,357","4,112","1,571",485,"1,512","1,564",0
2020년02월_여_20~29세,"43,516","23,477",432,208,706,258,365,496,"1,198","1,528","2,903",638,"2,773",833,"1,004","1,440",722,754,"1,034","2,751","3,434","20,039",841,"1,142",760,"2,187","1,423",887,737,370,652,978,"1,257","3,616","1,906",680,"1,845",758,0
2020년02월_여_30~39세,"40,968","19,867",356,179,707,191,277,379,863,"1,175","2,440",628,"2,741",630,681,"1,157",615,555,882,"2,368","3,043","21,101",625,"1,062",614,"2,082","1,684",380,517,313,587,927,"1,131","4,845","1,545",765,"2,555","1,469",0
2020년02월_여_40~49세,"55,356","28,560",446,223,834,332,390,578,"1,113","1,953","3,783",856,"4,027",971,"1,023","2,062",810,783,"1,203","3,328","3,845","26,796",918,"1,690",715,"3,231","1,412",353,603,429,711,"1,241","1,782","5,924","2,279",837,"2,497","2,174",0
2020년02월_여_50~59세,"53,943","29,635",677,366,"1,112",380,558,820,"1,424","1,612","3,478","1,224","3,975","1,251","1,540","2,246","1,041","1,045","1,507","2,839","2,540","24,308","1,261","1,496",971,"2,432","1,461",538,864,690,877,"1,194","1,916","3,961","2,409","1,021","2,203","1,014",0
2020년02월_여_60~69세,"38,253","21,262",751,474,"1,166",457,634,905,"1,103",901,"1,879","1,142","2,927",915,"1,147","1,328",973,920,"1,105","1,520","1,015","16,991","1,229","1,204","1,006","1,397","1,096",491,933,665,743,852,"1,376","1,925","1,479",781,"1,380",434,0
2020년02월_여_70~79세,"23,404","12,645",500,388,854,406,449,606,595,437,"1,139",910,"1,545",519,552,770,679,515,595,685,501,"10,759","1,135",802,733,960,711,366,668,494,374,501,751,959,842,531,740,192,0
2020년02월_여_80~89세,"12,160","6,728",270,194,477,220,256,290,311,236,597,493,838,239,281,513,289,228,313,409,274,"5,432",549,335,298,474,332,165,263,225,208,289,420,530,465,365,401,113,0
2020년02월_여_90~99세,"1,994","1,156",38,45,81,38,46,45,48,44,81,85,131,52,43,87,55,39,70,79,49,838,79,58,44,71,53,24,34,30,31,43,63,106,66,46,66,24,0
2020년02월_여_100세 이상,138,70,9,2,13,1,4,4,2,3,4,1,8,1,1,2,3,3,1,3,5,68,6,10,6,4,15,0,2,3,1,1,2,2,1,8,7,0,0
