카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년11월_계_총인구수,"27,805","10,314","1,562","2,022","1,744","1,739","1,429","1,982","2,197","1,303","1,145","2,368"
2020년11월_계_연령구간인구수,"27,805","10,314","1,562","2,022","1,744","1,739","1,429","1,982","2,197","1,303","1,145","2,368"
2020년11월_계_0~9세,"1,520",872,64,71,64,45,59,69,120,39,50,67
2020년11월_계_10~19세,"2,221","1,332",95,92,96,71,71,117,141,38,49,119
2020년11월_계_20~29세,"2,085","1,026",102,108,90,103,79,128,132,101,80,136
2020년11월_계_30~39세,"2,000","1,019",98,103,109,105,100,99,121,75,68,103
2020년11월_계_40~49세,"3,346","1,652",150,210,190,143,118,186,214,126,122,235
2020년11월_계_50~59세,"4,497","1,528",272,337,266,316,249,364,407,202,155,401
2020년11월_계_60~69세,"4,794","1,310",297,395,332,407,277,430,423,251,211,461
2020년11월_계_70~79세,"4,191",965,259,401,328,288,252,343,392,260,214,489
2020년11월_계_80~89세,"2,749",520,197,265,239,232,205,213,209,183,181,305
2020년11월_계_90~99세,374,85,23,37,28,27,18,33,35,24,14,50
2020년11월_계_100세 이상,28,5,5,3,2,2,1,0,3,4,1,2
2020년11월_남_총인구수,"13,520","4,989",753,988,862,856,703,979,"1,050",639,538,"1,163"
2020년11월_남_연령구간인구수,"13,520","4,989",753,988,862,856,703,979,"1,050",639,538,"1,163"
2020년11월_남_0~9세,778,456,33,35,31,23,32,31,62,11,30,34
2020년11월_남_10~19세,"1,149",681,48,45,52,40,38,68,72,22,25,58
2020년11월_남_20~29세,"1,143",545,61,57,54,56,44,71,78,63,34,80
2020년11월_남_30~39세,977,452,42,60,69,65,49,53,49,43,35,60
2020년11월_남_40~49세,"1,903",862,82,145,116,94,76,111,115,77,80,145
2020년11월_남_50~59세,"2,444",808,163,178,154,165,147,182,219,121,87,220
2020년11월_남_60~69세,"2,434",616,152,226,167,231,137,233,219,123,103,227
2020년11월_남_70~79세,"1,707",383,112,151,139,109,106,146,161,105,90,205
2020년11월_남_80~89세,888,167,55,85,72,65,71,73,63,64,54,119
2020년11월_남_90~99세,97,19,5,6,8,8,3,11,12,10,0,15
2020년11월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2020년11월_여_총인구수,"14,285","5,325",809,"1,034",882,883,726,"1,003","1,147",664,607,"1,205"
2020년11월_여_연령구간인구수,"14,285","5,325",809,"1,034",882,883,726,"1,003","1,147",664,607,"1,205"
2020년11월_여_0~9세,742,416,31,36,33,22,27,38,58,28,20,33
2020년11월_여_10~19세,"1,072",651,47,47,44,31,33,49,69,16,24,61
2020년11월_여_20~29세,942,481,41,51,36,47,35,57,54,38,46,56
2020년11월_여_30~39세,"1,023",567,56,43,40,40,51,46,72,32,33,43
2020년11월_여_40~49세,"1,443",790,68,65,74,49,42,75,99,49,42,90
2020년11월_여_50~59세,"2,053",720,109,159,112,151,102,182,188,81,68,181
2020년11월_여_60~69세,"2,360",694,145,169,165,176,140,197,204,128,108,234
2020년11월_여_70~79세,"2,484",582,147,250,189,179,146,197,231,155,124,284
2020년11월_여_80~89세,"1,861",353,142,180,167,167,134,140,146,119,127,186
2020년11월_여_90~99세,277,66,18,31,20,19,15,22,23,14,14,35
2020년11월_여_100세 이상,28,5,5,3,2,2,1,0,3,4,1,2
