카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년06월_계_총인구수,"51,665","22,936","3,336","2,848","2,528","2,562","2,872","2,159","3,255","3,083","6,086"
2020년06월_계_연령구간인구수,"51,665","22,936","3,336","2,848","2,528","2,562","2,872","2,159","3,255","3,083","6,086"
2020년06월_계_0~9세,"2,696","1,740",89,78,69,132,88,63,78,81,278
2020년06월_계_10~19세,"4,372","2,494",166,107,85,139,411,184,221,147,418
2020년06월_계_20~29세,"4,021","2,191",229,181,112,139,164,99,197,216,493
2020년06월_계_30~39세,"3,930","2,264",213,170,122,158,130,89,142,190,452
2020년06월_계_40~49세,"6,342","3,579",300,242,197,253,244,180,339,300,708
2020년06월_계_50~59세,"9,197","3,759",626,508,444,437,448,441,633,630,"1,271"
2020년06월_계_60~69세,"9,515","3,293",718,712,594,574,558,448,683,711,"1,224"
2020년06월_계_70~79세,"6,822","2,366",540,452,464,419,444,375,578,473,711
2020년06월_계_80~89세,"4,211","1,101",382,354,395,287,351,246,344,287,464
2020년06월_계_90~99세,527,133,70,44,44,24,33,31,37,46,65
2020년06월_계_100세 이상,32,16,3,0,2,0,1,3,3,2,2
2020년06월_남_총인구수,"26,034","11,281","1,712","1,492","1,261","1,282","1,449","1,109","1,643","1,630","3,175"
2020년06월_남_연령구간인구수,"26,034","11,281","1,712","1,492","1,261","1,282","1,449","1,109","1,643","1,630","3,175"
2020년06월_남_0~9세,"1,378",862,56,43,33,63,50,34,47,44,146
2020년06월_남_10~19세,"2,287","1,283",97,67,40,75,204,96,122,85,218
2020년06월_남_20~29세,"2,307","1,228",138,113,63,85,104,67,102,128,279
2020년06월_남_30~39세,"2,067","1,155",120,99,71,80,62,41,76,98,265
2020년06월_남_40~49세,"3,532","1,869",171,157,139,154,152,113,202,184,391
2020년06월_남_50~59세,"5,042","1,918",362,293,267,257,256,257,363,361,708
2020년06월_남_60~69세,"4,819","1,549",372,384,301,287,296,246,344,380,660
2020년06월_남_70~79세,"3,057","1,001",245,215,211,185,202,161,263,234,340
2020년06월_남_80~89세,"1,411",384,134,108,127,92,116,87,114,102,147
2020년06월_남_90~99세,125,28,16,13,9,4,7,7,8,13,20
2020년06월_남_100세 이상,9,4,1,0,0,0,0,0,2,1,1
2020년06월_여_총인구수,"25,631","11,655","1,624","1,356","1,267","1,280","1,423","1,050","1,612","1,453","2,911"
2020년06월_여_연령구간인구수,"25,631","11,655","1,624","1,356","1,267","1,280","1,423","1,050","1,612","1,453","2,911"
2020년06월_여_0~9세,"1,318",878,33,35,36,69,38,29,31,37,132
2020년06월_여_10~19세,"2,085","1,211",69,40,45,64,207,88,99,62,200
2020년06월_여_20~29세,"1,714",963,91,68,49,54,60,32,95,88,214
2020년06월_여_30~39세,"1,863","1,109",93,71,51,78,68,48,66,92,187
2020년06월_여_40~49세,"2,810","1,710",129,85,58,99,92,67,137,116,317
2020년06월_여_50~59세,"4,155","1,841",264,215,177,180,192,184,270,269,563
2020년06월_여_60~69세,"4,696","1,744",346,328,293,287,262,202,339,331,564
2020년06월_여_70~79세,"3,765","1,365",295,237,253,234,242,214,315,239,371
2020년06월_여_80~89세,"2,800",717,248,246,268,195,235,159,230,185,317
2020년06월_여_90~99세,402,105,54,31,35,20,26,24,29,33,45
2020년06월_여_100세 이상,23,12,2,0,2,0,1,3,1,1,1
