카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년02월_계_총인구수,"43,479","13,293","3,816","1,652","3,925","2,404","3,670","2,659","3,516","2,912","5,632"
2020년02월_계_연령구간인구수,"43,479","13,293","3,816","1,652","3,925","2,404","3,670","2,659","3,516","2,912","5,632"
2020년02월_계_0~9세,"1,655",912,82,37,126,96,80,51,81,54,136
2020년02월_계_10~19세,"3,161","1,537",195,112,195,186,250,90,174,124,298
2020년02월_계_20~29세,"3,302","1,473",259,98,208,194,211,145,223,167,324
2020년02월_계_30~39세,"2,631","1,190",177,77,223,142,163,111,166,121,261
2020년02월_계_40~49세,"4,799","1,982",359,147,401,267,354,224,328,226,511
2020년02월_계_50~59세,"7,526","2,235",679,316,660,504,593,431,588,494,"1,026"
2020년02월_계_60~69세,"7,964","1,852",747,308,821,488,713,530,661,639,"1,205"
2020년02월_계_70~79세,"6,842","1,263",714,280,702,317,706,538,672,558,"1,092"
2020년02월_계_80~89세,"4,768",715,518,246,490,178,513,474,520,435,679
2020년02월_계_90~99세,813,133,85,31,96,31,83,64,101,91,98
2020년02월_계_100세 이상,18,1,1,0,3,1,4,1,2,3,2
2020년02월_남_총인구수,"20,911","6,525","1,822",793,"1,889","1,235","1,717","1,255","1,639","1,383","2,653"
2020년02월_남_연령구간인구수,"20,911","6,525","1,822",793,"1,889","1,235","1,717","1,255","1,639","1,383","2,653"
2020년02월_남_0~9세,888,477,40,21,76,47,53,27,42,29,76
2020년02월_남_10~19세,"1,702",828,108,57,116,99,117,57,103,63,154
2020년02월_남_20~29세,"1,973",875,156,63,116,130,124,96,121,106,186
2020년02월_남_30~39세,"1,392",589,94,41,122,82,91,68,91,68,146
2020년02월_남_40~49세,"2,599",958,205,80,224,150,205,135,196,131,315
2020년02월_남_50~59세,"3,981","1,125",381,178,360,273,324,248,304,264,524
2020년02월_남_60~69세,"3,877",878,354,148,407,243,336,256,322,328,605
2020년02월_남_70~79세,"2,943",556,307,121,309,154,310,226,287,243,430
2020년02월_남_80~89세,"1,411",220,155,79,144,53,136,133,151,137,203
2020년02월_남_90~99세,144,19,22,5,14,4,21,9,22,14,14
2020년02월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년02월_여_총인구수,"22,568","6,768","1,994",859,"2,036","1,169","1,953","1,404","1,877","1,529","2,979"
2020년02월_여_연령구간인구수,"22,568","6,768","1,994",859,"2,036","1,169","1,953","1,404","1,877","1,529","2,979"
2020년02월_여_0~9세,767,435,42,16,50,49,27,24,39,25,60
2020년02월_여_10~19세,"1,459",709,87,55,79,87,133,33,71,61,144
2020년02월_여_20~29세,"1,329",598,103,35,92,64,87,49,102,61,138
2020년02월_여_30~39세,"1,239",601,83,36,101,60,72,43,75,53,115
2020년02월_여_40~49세,"2,200","1,024",154,67,177,117,149,89,132,95,196
2020년02월_여_50~59세,"3,545","1,110",298,138,300,231,269,183,284,230,502
2020년02월_여_60~69세,"4,087",974,393,160,414,245,377,274,339,311,600
2020년02월_여_70~79세,"3,899",707,407,159,393,163,396,312,385,315,662
2020년02월_여_80~89세,"3,357",495,363,167,346,125,377,341,369,298,476
2020년02월_여_90~99세,669,114,63,26,82,27,62,55,79,77,84
2020년02월_여_100세 이상,17,1,1,0,2,1,4,1,2,3,2
