카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년01월_계_총인구수,"27,131","9,497","1,727","1,192","1,049","1,601","1,626","1,436","1,855",768,"2,946","1,030","1,199","1,205"
2020년01월_계_연령구간인구수,"27,131","9,497","1,727","1,192","1,049","1,601","1,626","1,436","1,855",768,"2,946","1,030","1,199","1,205"
2020년01월_계_0~9세,"1,148",732,35,29,32,36,39,32,33,16,102,26,16,20
2020년01월_계_10~19세,"1,609",901,67,42,33,74,65,47,60,30,180,42,38,30
2020년01월_계_20~29세,"2,139",981,102,82,72,150,122,84,129,30,218,52,51,66
2020년01월_계_30~39세,"1,915","1,006",106,68,57,77,102,50,104,27,158,60,47,53
2020년01월_계_40~49세,"2,978","1,518",145,81,83,140,145,122,148,53,315,75,70,83
2020년01월_계_50~59세,"4,787","1,573",341,228,180,292,305,275,341,122,535,154,218,223
2020년01월_계_60~69세,"5,102","1,338",383,277,217,327,357,310,439,199,538,229,242,246
2020년01월_계_70~79세,"4,067",874,273,202,195,274,246,279,357,150,543,199,244,231
2020년01월_계_80~89세,"2,970",504,240,158,158,201,215,212,216,121,313,171,244,217
2020년01월_계_90~99세,409,67,34,25,21,30,30,25,27,20,44,22,29,35
2020년01월_계_100세 이상,7,3,1,0,1,0,0,0,1,0,0,0,0,1
2020년01월_남_총인구수,"13,223","4,662",857,576,508,775,793,690,939,357,"1,414",530,559,563
2020년01월_남_연령구간인구수,"13,223","4,662",857,576,508,775,793,690,939,357,"1,414",530,559,563
2020년01월_남_0~9세,589,382,15,16,14,17,17,14,17,10,52,17,9,9
2020년01월_남_10~19세,870,473,41,25,22,42,31,22,30,20,97,28,24,15
2020년01월_남_20~29세,"1,188",528,53,46,43,87,65,42,79,18,132,27,36,32
2020년01월_남_30~39세,"1,013",472,64,40,34,36,64,33,55,14,95,44,25,37
2020년01월_남_40~49세,"1,735",818,94,52,51,83,88,73,98,37,191,57,42,51
2020년01월_남_50~59세,"2,617",840,191,113,101,167,174,160,180,61,286,88,122,134
2020년01월_남_60~69세,"2,621",630,215,149,118,172,195,166,240,105,255,132,121,123
2020년01월_남_70~79세,"1,646",369,108,80,78,102,95,112,165,49,221,80,99,88
2020년01월_남_80~89세,855,135,66,49,42,64,56,60,69,39,79,54,77,65
2020년01월_남_90~99세,88,15,10,6,5,5,8,8,5,4,6,3,4,9
2020년01월_남_100세 이상,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년01월_여_총인구수,"13,908","4,835",870,616,541,826,833,746,916,411,"1,532",500,640,642
2020년01월_여_연령구간인구수,"13,908","4,835",870,616,541,826,833,746,916,411,"1,532",500,640,642
2020년01월_여_0~9세,559,350,20,13,18,19,22,18,16,6,50,9,7,11
2020년01월_여_10~19세,739,428,26,17,11,32,34,25,30,10,83,14,14,15
2020년01월_여_20~29세,951,453,49,36,29,63,57,42,50,12,86,25,15,34
2020년01월_여_30~39세,902,534,42,28,23,41,38,17,49,13,63,16,22,16
2020년01월_여_40~49세,"1,243",700,51,29,32,57,57,49,50,16,124,18,28,32
2020년01월_여_50~59세,"2,170",733,150,115,79,125,131,115,161,61,249,66,96,89
2020년01월_여_60~69세,"2,481",708,168,128,99,155,162,144,199,94,283,97,121,123
2020년01월_여_70~79세,"2,421",505,165,122,117,172,151,167,192,101,322,119,145,143
2020년01월_여_80~89세,"2,115",369,174,109,116,137,159,152,147,82,234,117,167,152
2020년01월_여_90~99세,321,52,24,19,16,25,22,17,22,16,38,19,25,26
2020년01월_여_100세 이상,6,3,1,0,1,0,0,0,0,0,0,0,0,1
