카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 장단면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년11월_계_총인구수,"481,629","48,440","13,656","10,435","29,745","9,579","13,448","11,289","3,867","7,456",723,"22,190","32,788","27,702","49,942","51,360","62,715","86,294"
2021년11월_계_연령구간인구수,"481,629","48,440","13,656","10,435","29,745","9,579","13,448","11,289","3,867","7,456",723,"22,190","32,788","27,702","49,942","51,360","62,715","86,294"
2021년11월_계_0~9세,"43,450","4,646",599,306,"1,617",154,617,434,80,540,26,"1,028","3,025","2,150","5,041","5,041","8,539","9,607"
2021년11월_계_10~19세,"50,154","4,865",846,660,"2,708",261,958,608,178,509,43,"1,445","4,194","2,716","5,927","6,267","7,813","10,156"
2021년11월_계_20~29세,"59,328","5,619","1,569","1,288","3,582","2,547","1,519","1,213",443,970,56,"3,436","4,121","3,855","5,959","6,437","6,294","10,420"
2021년11월_계_30~39세,"68,389","7,480","1,399",875,"2,887","2,003","1,474","1,001",231,880,56,"2,898","4,254","3,558","7,426","7,515","11,009","13,443"
2021년11월_계_40~49세,"82,572","7,546","1,745","1,104","4,352","1,041","2,054","1,262",338,788,80,"3,154","5,866","4,329","9,255","9,781","12,674","17,203"
2021년11월_계_50~59세,"76,693","7,068","2,599","2,028","5,864","1,354","2,650","2,298",727,"1,125",142,"4,164","5,348","4,933","7,869","7,862","7,951","12,711"
2021년11월_계_60~69세,"54,594","5,686","2,522","2,144","4,814","1,230","2,208","2,364",859,"1,308",135,"3,313","3,165","3,397","4,744","4,873","4,602","7,230"
2021년11월_계_70~79세,"28,850","3,383","1,365","1,232","2,428",588,"1,135","1,227",565,855,115,"1,740","1,776","1,730","2,331","2,317","2,501","3,562"
2021년11월_계_80~89세,"15,312","1,902",869,694,"1,314",341,716,734,368,406,61,878,916,900,"1,194","1,107","1,162","1,750"
2021년11월_계_90~99세,"2,217",237,139,103,168,59,109,143,76,70,9,131,122,133,192,154,166,206
2021년11월_계_100세 이상,70,8,4,1,11,1,8,5,2,5,0,3,1,1,4,6,4,6
2021년11월_남_총인구수,"244,290","24,838","7,266","5,579","15,118","6,427","7,289","6,171","2,054","4,065",375,"11,862","15,984","14,206","25,193","25,155","30,578","42,130"
2021년11월_남_연령구간인구수,"244,290","24,838","7,266","5,579","15,118","6,427","7,289","6,171","2,054","4,065",375,"11,862","15,984","14,206","25,193","25,155","30,578","42,130"
2021년11월_남_0~9세,"22,157","2,340",319,160,830,73,324,224,47,270,13,533,"1,540","1,075","2,565","2,570","4,363","4,911"
2021년11월_남_10~19세,"25,695","2,505",424,353,"1,355",147,495,330,96,295,18,763,"2,165","1,440","3,095","3,106","3,917","5,191"
2021년11월_남_20~29세,"31,863","3,163",957,810,"1,947","1,846",891,760,292,637,29,"1,963","2,072","2,120","3,110","3,144","3,013","5,109"
2021년11월_남_30~39세,"35,997","4,113",789,501,"1,570","1,624",883,605,141,509,28,"1,722","2,130","1,915","3,798","3,729","5,402","6,538"
2021년11월_남_40~49세,"42,327","4,049","1,006",638,"2,251",772,"1,152",745,196,449,48,"1,752","2,804","2,239","4,603","4,821","6,323","8,479"
2021년11월_남_50~59세,"40,053","3,692","1,476","1,116","3,059",853,"1,505","1,301",423,614,79,"2,324","2,721","2,544","4,145","3,918","3,995","6,288"
