,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년12월_계_총인구수,"30,626","9,886","1,414","1,812","2,515","8,295","1,902","1,548","3,254"
2021년12월_계_연령구간인구수,"30,626","9,886","1,414","1,812","2,515","8,295","1,902","1,548","3,254"
2021년12월_계_0~9세,"1,316",574,31,41,65,445,40,29,91
2021년12월_계_10~19세,"1,908",858,41,47,65,728,32,42,95
2021년12월_계_20~29세,"2,302",904,79,99,179,720,100,69,152
2021년12월_계_30~39세,"2,055",746,64,105,156,676,101,68,139
2021년12월_계_40~49세,"3,550","1,405",85,135,234,"1,178",132,118,263
2021년12월_계_50~59세,"5,716","1,869",236,317,507,"1,574",389,273,551
2021년12월_계_60~69세,"6,588","1,742",395,465,644,"1,590",516,358,878
2021년12월_계_70~79세,"4,118","1,106",230,322,376,869,331,323,561
2021년12월_계_80~89세,"2,722",614,229,250,247,462,222,246,452
2021년12월_계_90~99세,347,67,23,31,42,53,38,22,71
2021년12월_계_100세 이상,4,1,1,0,0,0,1,0,1
2021년12월_남_총인구수,"15,741","4,988",711,918,"1,372","4,308","1,026",799,"1,619"
2021년12월_남_연령구간인구수,"15,741","4,988",711,918,"1,372","4,308","1,026",799,"1,619"
2021년12월_남_0~9세,688,307,17,22,29,231,24,14,44
2021년12월_남_10~19세,"1,018",468,22,27,31,381,19,18,52
2021년12월_남_20~29세,"1,343",533,47,57,110,406,57,47,86
2021년12월_남_30~39세,"1,116",376,34,60,91,366,68,45,76
2021년12월_남_40~49세,"1,999",732,52,87,155,642,87,79,165
2021년12월_남_50~59세,"3,247","1,024",130,184,308,874,246,167,314
2021년12월_남_60~69세,"3,496",868,225,243,365,830,294,192,479
2021년12월_남_70~79세,"1,849",468,100,151,183,395,155,150,247
2021년12월_남_80~89세,900,198,75,76,89,168,67,84,143
2021년12월_남_90~99세,84,14,9,11,11,15,8,3,13
2021년12월_남_100세 이상,1,0,0,0,0,0,1,0,0
2021년12월_여_총인구수,"14,885","4,898",703,894,"1,143","3,987",876,749,"1,635"
2021년12월_여_연령구간인구수,"14,885","4,898",703,894,"1,143","3,987",876,749,"1,635"
2021년12월_여_0~9세,628,267,14,19,36,214,16,15,47
2021년12월_여_10~19세,890,390,19,20,34,347,13,24,43
2021년12월_여_20~29세,959,371,32,42,69,314,43,22,66
2021년12월_여_30~39세,939,370,30,45,65,310,33,23,63
2021년12월_여_40~49세,"1,551",673,33,48,79,536,45,39,98
2021년12월_여_50~59세,"2,469",845,106,133,199,700,143,106,237
2021년12월_여_60~69세,"3,092",874,170,222,279,760,222,166,399
2021년12월_여_70~79세,"2,269",638,130,171,193,474,176,173,314
2021년12월_여_80~89세,"1,822",416,154,174,158,294,155,162,309
2021년12월_여_90~99세,263,53,14,20,31,38,30,19,58
2021년12월_여_100세 이상,3,1,1,0,0,0,0,0,1
