카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년02월_계_총인구수,"520,366","22,134","27,281","30,396","37,421","39,424","27,188","22,479","24,739","27,334","20,595","35,144","38,878","20,425","26,939","24,550","33,259","22,749","20,959","18,472"
2021년02월_계_연령구간인구수,"520,366","22,134","27,281","30,396","37,421","39,424","27,188","22,479","24,739","27,334","20,595","35,144","38,878","20,425","26,939","24,550","33,259","22,749","20,959","18,472"
2021년02월_계_0~9세,"32,549","1,163","1,741","2,199","2,084","2,857","1,153","1,468","1,535","1,996","1,171","2,017","2,316",967,"1,382","1,088","2,403","2,393","1,333","1,283"
2021년02월_계_10~19세,"52,527","1,692","2,124","2,129","2,630","4,344","3,104","2,795","4,508","5,687","2,284","3,153","3,336","1,848","2,097","2,041","3,005","2,012","2,109","1,629"
2021년02월_계_20~29세,"72,344","3,800","3,195","3,551","6,658","6,613","4,553","3,074","3,197","2,949","2,592","4,282","5,267","3,293","3,237","3,432","4,599","2,690","2,728","2,634"
2021년02월_계_30~39세,"64,110","2,637","3,196","4,561","5,340","5,156","2,723","2,524","1,884","2,001","1,967","4,239","4,844","2,310","2,924","2,619","4,824","4,697","2,795","2,869"
2021년02월_계_40~49세,"85,459","3,403","4,288","4,637","5,421","6,484","4,182","4,009","5,033","6,578","3,495","5,798","5,706","3,038","3,978","3,679","5,498","3,868","3,440","2,924"
2021년02월_계_50~59세,"87,682","3,523","4,603","4,782","5,798","6,069","4,945","3,906","4,560","4,457","3,615","5,681","6,972","3,953","4,757","4,521","5,696","3,040","3,598","3,206"
2021년02월_계_60~69세,"68,587","3,092","4,399","4,633","5,455","4,545","3,608","2,542","2,280","2,105","2,651","4,843","5,980","2,886","4,388","3,730","4,028","2,267","2,795","2,360"
2021년02월_계_70~79세,"37,582","1,960","2,514","2,607","2,790","2,224","1,827","1,375","1,093",982,"1,913","3,335","2,928","1,433","2,775","2,309","1,986","1,168","1,384",979
2021년02월_계_80~89세,"16,677",734,"1,036","1,127","1,055",978,954,684,559,495,772,"1,561","1,260",588,"1,230",950,"1,007",524,656,507
2021년02월_계_90~99세,"2,559",112,170,155,173,141,130,98,77,70,123,220,218,95,138,154,205,86,117,77
2021년02월_계_100세 이상,290,18,15,15,17,13,9,4,13,14,12,15,51,14,33,27,8,4,4,4
2021년02월_남_총인구수,"250,929","11,381","13,151","14,509","18,214","19,201","13,070","10,716","12,129","13,307","9,953","16,162","18,868","10,085","13,399","11,925","15,418","10,946","9,953","8,542"
2021년02월_남_연령구간인구수,"250,929","11,381","13,151","14,509","18,214","19,201","13,070","10,716","12,129","13,307","9,953","16,162","18,868","10,085","13,399","11,925","15,418","10,946","9,953","8,542"
2021년02월_남_0~9세,"16,724",588,876,"1,118","1,061","1,487",613,765,818,"1,068",594,"1,005","1,193",478,705,552,"1,239","1,246",673,645
2021년02월_남_10~19세,"27,268",914,"1,101","1,117","1,328","2,213","1,732","1,433","2,277","3,000","1,270","1,528","1,737",952,"1,147","1,035","1,561","1,008","1,096",819
2021년02월_남_20~29세,"37,042","2,182","1,702","1,752","3,300","3,272","2,430","1,563","1,680","1,527","1,347","2,182","2,677","1,644","1,735","1,814","2,219","1,340","1,425","1,251"
2021년02월_남_30~39세,"31,926","1,445","1,610","2,287","2,719","2,565","1,355","1,200",896,858,999,"2,043","2,427","1,206","1,549","1,383","2,268","2,301","1,418","1,397"
