,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021년04월_계_총인구수,"43,235","7,235","18,557","8,782","8,661"
2021년04월_계_연령구간인구수,"43,235","7,235","18,557","8,782","8,661"
2021년04월_계_0~9세,"3,928",620,"1,235","1,334",739
2021년04월_계_10~19세,"6,277",911,"2,341","1,951","1,074"
2021년04월_계_20~29세,"4,906",760,"2,359",800,987
2021년04월_계_30~39세,"4,691",710,"1,737","1,351",893
2021년04월_계_40~49세,"8,373","1,190","3,160","2,484","1,539"
2021년04월_계_50~59세,"7,029","1,322","3,499",704,"1,504"
2021년04월_계_60~69세,"4,641","1,049","2,293",79,"1,220"
2021년04월_계_70~79세,"2,074",433,"1,115",57,469
2021년04월_계_80~89세,"1,129",193,713,20,203
2021년04월_계_90~99세,184,46,103,2,33
2021년04월_계_100세 이상,3,1,2,0,0
2021년04월_남_총인구수,"21,539","3,546","9,084","4,569","4,340"
2021년04월_남_연령구간인구수,"21,539","3,546","9,084","4,569","4,340"
2021년04월_남_0~9세,"1,988",324,629,669,366
2021년04월_남_10~19세,"3,303",457,"1,254","1,023",569
2021년04월_남_20~29세,"2,722",402,"1,277",468,575
2021년04월_남_30~39세,"2,333",336,884,669,444
2021년04월_남_40~49세,"4,077",559,"1,513","1,278",727
2021년04월_남_50~59세,"3,526",664,"1,699",423,740
2021년04월_남_60~69세,"2,256",527,"1,112",18,599
2021년04월_남_70~79세,928,207,475,14,232
2021년04월_남_80~89세,366,64,218,6,78
2021년04월_남_90~99세,40,6,23,1,10
2021년04월_남_100세 이상,0,0,0,0,0
2021년04월_여_총인구수,"21,696","3,689","9,473","4,213","4,321"
2021년04월_여_연령구간인구수,"21,696","3,689","9,473","4,213","4,321"
2021년04월_여_0~9세,"1,940",296,606,665,373
2021년04월_여_10~19세,"2,974",454,"1,087",928,505
2021년04월_여_20~29세,"2,184",358,"1,082",332,412
2021년04월_여_30~39세,"2,358",374,853,682,449
2021년04월_여_40~49세,"4,296",631,"1,647","1,206",812
2021년04월_여_50~59세,"3,503",658,"1,800",281,764
2021년04월_여_60~69세,"2,385",522,"1,181",61,621
2021년04월_여_70~79세,"1,146",226,640,43,237
2021년04월_여_80~89세,763,129,495,14,125
2021년04월_여_90~99세,144,40,80,1,23
2021년04월_여_100세 이상,3,1,2,0,0
