카테고리,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년02월_계_총인구수,"481,349","22,645","15,220","18,579","16,906","16,543","12,838","25,904","19,124","12,579","24,293","21,995","25,229","11,060","15,408","22,414","41,126","15,879","51,239","3,855","17,367","37,241","13,323","20,582"
2020년02월_계_연령구간인구수,"481,349","22,645","15,220","18,579","16,906","16,543","12,838","25,904","19,124","12,579","24,293","21,995","25,229","11,060","15,408","22,414","41,126","15,879","51,239","3,855","17,367","37,241","13,323","20,582"
2020년02월_계_0~9세,"40,115","2,240",738,958,"1,199","1,071",721,"1,578","1,288",929,"2,088","1,267","1,600",440,831,"1,965","5,680","1,327","6,628",114,"1,680","3,438","1,071","1,264"
2020년02월_계_10~19세,"51,580","3,097","1,128","1,538","1,594","1,324",661,"2,447","1,369","1,181","2,734","1,855","2,212",624,"1,386","2,874","4,605","1,713","6,426",161,"3,477","4,696","1,470","3,008"
2020년02월_계_20~29세,"73,603","2,830","2,411","2,587","2,238","2,219","2,549","5,040","4,189","1,709","3,172","4,188","5,497","2,650","2,000","2,999","4,934","2,803","6,863",303,"1,682","5,622","2,379","2,739"
2020년02월_계_30~39세,"67,758","2,832","1,624","1,978","1,842","2,094","2,228","4,212","3,613","1,615","2,936","3,492","4,248","1,837","1,601","2,712","6,884","2,115","8,705",301,"1,546","5,471","2,073","1,799"
2020년02월_계_40~49세,"80,333","4,298","1,879","2,639","2,446","2,437","1,732","4,427","2,905","1,958","4,170","3,286","3,944","1,600","2,107","3,660","7,564","2,464","9,602",423,"4,029","6,830","2,308","3,625"
2020년02월_계_50~59세,"78,295","3,420","2,738","3,297","3,302","3,036","1,931","4,244","2,569","2,018","3,929","3,572","4,106","1,884","3,004","4,146","5,685","2,843","7,159",723,"2,427","6,361","2,223","3,678"
2020년02월_계_60~69세,"52,090","2,290","2,596","3,107","2,467","2,441","1,668","2,337","1,857","1,764","3,017","2,726","2,315","1,233","2,421","2,694","3,570","1,436","3,386",753,"1,315","3,131","1,116","2,450"
2020년02월_계_70~79세,"24,885","1,142","1,447","1,671","1,178","1,332",906,"1,038",924,949,"1,554","1,123",860,525,"1,253",851,"1,486",756,"1,622",590,813,"1,102",446,"1,317"
2020년02월_계_80~89세,"11,009",426,583,707,555,508,394,520,357,393,615,418,404,227,681,452,604,361,737,393,343,518,201,612
2020년02월_계_90~99세,"1,593",67,72,92,82,77,43,58,50,59,71,59,43,37,122,60,110,60,100,90,53,68,35,85
2020년02월_계_100세 이상,88,3,4,5,3,4,5,3,3,4,7,9,0,3,2,1,4,1,11,4,2,4,1,5
2020년02월_남_총인구수,"236,972","11,167","7,660","9,395","8,278","8,438","6,089","12,530","9,334","6,108","11,783","11,254","12,513","5,942","7,345","11,012","20,249","7,613","25,077","1,972","8,555","18,050","6,674","9,934"
2020년02월_남_연령구간인구수,"236,972","11,167","7,660","9,395","8,278","8,438","6,089","12,530","9,334","6,108","11,783","11,254","12,513","5,942","7,345","11,012","20,249","7,613","25,077","1,972","8,555","18,050","6,674","9,934"
2020년02월_남_0~9세,"20,616","1,142",379,524,621,580,392,824,657,468,"1,069",704,808,230,407,974,"2,858",706,"3,420",63,853,"1,749",557,631
2020년02월_남_10~19세,"26,687","1,569",555,805,822,692,335,"1,311",706,607,"1,342",995,"1,034",335,727,"1,551","2,383",871,"3,283",83,"1,824","2,470",749,"1,638"
2020년02월_남_20~29세,"37,525","1,446","1,327","1,435","1,214","1,215","1,134","2,344","1,928",861,"1,692","2,221","2,765","1,438","1,056","1,647","2,491","1,333","3,411",174,888,"2,779","1,269","1,457"
2020년02월_남_30~39세,"34,444","1,392",909,"1,096",941,"1,136","1,154","2,103","1,895",818,"1,474","2,003","2,260","1,082",827,"1,292","3,307","1,056","4,273",182,662,"2,614","1,103",865
2020년02월_남_40~49세,"38,937","2,082","1,004","1,396","1,184","1,285",899,"2,149","1,508",948,"1,979","1,633","1,996",897,979,"1,697","3,844","1,125","4,543",263,"1,811","3,045","1,101","1,569"
2020년02월_남_50~59세,"37,880","1,690","1,346","1,604","1,522","1,518",886,"2,002","1,201",969,"1,859","1,672","1,980",986,"1,421","1,893","2,689","1,329","3,577",389,"1,313","3,126","1,048","1,860"
2020년02월_남_60~69세,"25,263","1,104","1,219","1,461","1,234","1,189",749,"1,150",878,829,"1,372","1,305","1,112",624,"1,197","1,404","1,754",732,"1,592",408,660,"1,590",579,"1,121"
2020년02월_남_70~79세,"11,356",572,679,772,523,602,391,455,412,441,746,563,420,256,516,390,686,315,736,268,384,481,188,560
2020년02월_남_80~89세,"3,879",152,224,280,199,201,138,179,138,156,226,149,130,85,187,151,210,129,223,125,139,175,72,211
2020년02월_남_90~99세,368,17,17,21,17,20,10,13,11,11,21,7,8,8,27,13,27,17,15,17,20,21,8,22
2020년02월_남_100세 이상,17,1,1,1,1,0,1,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020년02월_여_총인구수,"244,377","11,478","7,560","9,184","8,628","8,105","6,749","13,374","9,790","6,471","12,510","10,741","12,716","5,118","8,063","11,402","20,877","8,266","26,162","1,883","8,812","19,191","6,649","10,648"
2020년02월_여_연령구간인구수,"244,377","11,478","7,560","9,184","8,628","8,105","6,749","13,374","9,790","6,471","12,510","10,741","12,716","5,118","8,063","11,402","20,877","8,266","26,162","1,883","8,812","19,191","6,649","10,648"
2020년02월_여_0~9세,"19,499","1,098",359,434,578,491,329,754,631,461,"1,019",563,792,210,424,991,"2,822",621,"3,208",51,827,"1,689",514,633
2020년02월_여_10~19세,"24,893","1,528",573,733,772,632,326,"1,136",663,574,"1,392",860,"1,178",289,659,"1,323","2,222",842,"3,143",78,"1,653","2,226",721,"1,370"
2020년02월_여_20~29세,"36,078","1,384","1,084","1,152","1,024","1,004","1,415","2,696","2,261",848,"1,480","1,967","2,732","1,212",944,"1,352","2,443","1,470","3,452",129,794,"2,843","1,110","1,282"
2020년02월_여_30~39세,"33,314","1,440",715,882,901,958,"1,074","2,109","1,718",797,"1,462","1,489","1,988",755,774,"1,420","3,577","1,059","4,432",119,884,"2,857",970,934
2020년02월_여_40~49세,"41,396","2,216",875,"1,243","1,262","1,152",833,"2,278","1,397","1,010","2,191","1,653","1,948",703,"1,128","1,963","3,720","1,339","5,059",160,"2,218","3,785","1,207","2,056"
2020년02월_여_50~59세,"40,415","1,730","1,392","1,693","1,780","1,518","1,045","2,242","1,368","1,049","2,070","1,900","2,126",898,"1,583","2,253","2,996","1,514","3,582",334,"1,114","3,235","1,175","1,818"
2020년02월_여_60~69세,"26,827","1,186","1,377","1,646","1,233","1,252",919,"1,187",979,935,"1,645","1,421","1,203",609,"1,224","1,290","1,816",704,"1,794",345,655,"1,541",537,"1,329"
2020년02월_여_70~79세,"13,529",570,768,899,655,730,515,583,512,508,808,560,440,269,737,461,800,441,886,322,429,621,258,757
2020년02월_여_80~89세,"7,130",274,359,427,356,307,256,341,219,237,389,269,274,142,494,301,394,232,514,268,204,343,129,401
2020년02월_여_90~99세,"1,225",50,55,71,65,57,33,45,39,48,50,52,35,29,95,47,83,43,85,73,33,47,27,63
2020년02월_여_100세 이상,71,2,3,4,2,4,4,3,3,4,4,7,0,2,1,1,4,1,7,4,1,4,1,5
