카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년09월_계_총인구수,"46,178","15,129","2,752","3,108","1,211","3,642","1,884","2,660","2,589","1,817","2,427","4,594","4,365"
2021년09월_계_연령구간인구수,"46,178","15,129","2,752","3,108","1,211","3,642","1,884","2,660","2,589","1,817","2,427","4,594","4,365"
2021년09월_계_0~9세,"2,242","1,117",124,98,28,124,50,57,82,62,98,209,193
2021년09월_계_10~19세,"2,977","1,250",103,162,49,247,107,98,112,73,121,311,344
2021년09월_계_20~29세,"4,539","1,728",213,257,83,289,154,496,198,148,169,416,388
2021년09월_계_30~39세,"3,576","1,575",197,208,66,239,108,136,178,109,172,297,291
2021년09월_계_40~49세,"5,135","2,043",289,296,101,333,170,201,239,174,235,551,503
2021년09월_계_50~59세,"8,192","2,456",509,585,245,683,391,418,449,320,445,875,816
2021년09월_계_60~69세,"8,688","2,284",589,703,290,749,411,513,533,410,523,903,780
2021년09월_계_70~79세,"6,178","1,594",433,488,177,551,278,396,425,311,398,556,571
2021년09월_계_80~89세,"4,016",924,249,271,146,385,185,299,316,184,235,404,418
2021년09월_계_90~99세,610,151,46,37,24,40,29,45,53,24,29,71,61
2021년09월_계_100세 이상,25,7,0,3,2,2,1,1,4,2,2,1,0
2021년09월_남_총인구수,"23,432","7,630","1,406","1,570",608,"1,848",981,"1,475","1,317",907,"1,222","2,303","2,165"
2021년09월_남_연령구간인구수,"23,432","7,630","1,406","1,570",608,"1,848",981,"1,475","1,317",907,"1,222","2,303","2,165"
2021년09월_남_0~9세,"1,099",531,60,43,9,69,24,27,39,38,47,114,98
2021년09월_남_10~19세,"1,546",667,55,84,24,115,66,50,59,33,59,173,161
2021년09월_남_20~29세,"2,697",997,115,143,46,171,87,417,108,77,91,223,222
2021년09월_남_30~39세,"1,831",788,106,113,29,125,59,77,104,51,79,157,143
2021년09월_남_40~49세,"2,933","1,111",190,171,59,202,92,115,159,109,138,299,288
2021년09월_남_50~59세,"4,546","1,307",287,317,141,378,220,239,266,173,259,481,478
2021년09월_남_60~69세,"4,535","1,160",301,380,164,403,241,262,261,207,273,474,409
2021년09월_남_70~79세,"2,786",711,186,226,80,242,126,183,203,144,198,247,240
2021년09월_남_80~89세,"1,317",324,96,83,50,132,61,94,107,66,74,113,117
2021년09월_남_90~99세,140,33,10,10,5,11,5,11,11,9,4,22,9
2021년09월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"22,746","7,499","1,346","1,538",603,"1,794",903,"1,185","1,272",910,"1,205","2,291","2,200"
2021년09월_여_연령구간인구수,"22,746","7,499","1,346","1,538",603,"1,794",903,"1,185","1,272",910,"1,205","2,291","2,200"
2021년09월_여_0~9세,"1,143",586,64,55,19,55,26,30,43,24,51,95,95
2021년09월_여_10~19세,"1,431",583,48,78,25,132,41,48,53,40,62,138,183
2021년09월_여_20~29세,"1,842",731,98,114,37,118,67,79,90,71,78,193,166
2021년09월_여_30~39세,"1,745",787,91,95,37,114,49,59,74,58,93,140,148
2021년09월_여_40~49세,"2,202",932,99,125,42,131,78,86,80,65,97,252,215
2021년09월_여_50~59세,"3,646","1,149",222,268,104,305,171,179,183,147,186,394,338
2021년09월_여_60~69세,"4,153","1,124",288,323,126,346,170,251,272,203,250,429,371
2021년09월_여_70~79세,"3,392",883,247,262,97,309,152,213,222,167,200,309,331
2021년09월_여_80~89세,"2,699",600,153,188,96,253,124,205,209,118,161,291,301
2021년09월_여_90~99세,470,118,36,27,19,29,24,34,42,15,25,49,52
2021년09월_여_100세 이상,23,6,0,3,1,2,1,1,4,2,2,1,0
