카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년12월_계_총인구수,"40,482","9,195","11,913","1,118","1,405","1,165","1,201","1,696",886,"3,732","2,782","1,244","3,061","1,084"
2020년12월_계_연령구간인구수,"40,482","9,195","11,913","1,118","1,405","1,165","1,201","1,696",886,"3,732","2,782","1,244","3,061","1,084"
2020년12월_계_0~9세,"1,759",679,521,29,35,28,45,62,20,112,68,48,86,26
2020년12월_계_10~19세,"2,604",842,838,44,62,50,67,78,45,170,125,74,174,35
2020년12월_계_20~29세,"2,988",978,822,67,89,67,62,109,45,238,141,95,193,82
2020년12월_계_30~39세,"2,539",827,751,54,80,55,54,76,28,199,160,83,123,49
2020년12월_계_40~49세,"4,158","1,239","1,264",89,112,92,105,132,85,329,230,126,283,72
2020년12월_계_50~59세,"6,676","1,516","1,926",168,234,184,201,267,161,585,469,201,583,181
2020년12월_계_60~69세,"7,620","1,362","2,279",227,294,220,205,344,180,773,591,264,665,216
2020년12월_계_70~79세,"6,646","1,008","2,015",202,256,220,230,319,182,735,522,202,540,215
2020년12월_계_80~89세,"4,739",660,"1,280",200,216,220,206,268,119,511,399,137,353,170
2020년12월_계_90~99세,714,76,202,38,26,29,25,40,19,79,72,14,58,36
2020년12월_계_100세 이상,39,8,15,0,1,0,1,1,2,1,5,0,3,2
2020년12월_남_총인구수,"19,719","4,513","5,809",540,699,566,579,804,456,"1,790","1,336",595,"1,511",521
2020년12월_남_연령구간인구수,"19,719","4,513","5,809",540,699,566,579,804,456,"1,790","1,336",595,"1,511",521
2020년12월_남_0~9세,925,363,279,14,18,12,26,25,9,61,33,30,42,13
2020년12월_남_10~19세,"1,329",405,441,28,36,28,36,45,22,96,64,29,81,18
2020년12월_남_20~29세,"1,676",535,454,37,46,36,36,63,27,135,86,61,119,41
2020년12월_남_30~39세,"1,367",414,418,33,50,26,32,40,21,105,83,45,69,31
2020년12월_남_40~49세,"2,388",627,726,56,71,57,70,78,55,208,145,74,172,49
2020년12월_남_50~59세,"3,714",810,"1,065",99,140,115,118,142,105,337,284,89,309,101
2020년12월_남_60~69세,"3,837",669,"1,123",128,164,111,108,193,95,376,282,134,345,109
2020년12월_남_70~79세,"2,834",440,849,92,102,105,88,134,81,305,218,90,238,92
2020년12월_남_80~89세,"1,493",234,410,45,69,65,61,73,38,152,124,43,122,57
2020년12월_남_90~99세,150,16,39,8,3,11,4,11,3,15,16,0,14,10
2020년12월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020년12월_여_총인구수,"20,763","4,682","6,104",578,706,599,622,892,430,"1,942","1,446",649,"1,550",563
2020년12월_여_연령구간인구수,"20,763","4,682","6,104",578,706,599,622,892,430,"1,942","1,446",649,"1,550",563
2020년12월_여_0~9세,834,316,242,15,17,16,19,37,11,51,35,18,44,13
2020년12월_여_10~19세,"1,275",437,397,16,26,22,31,33,23,74,61,45,93,17
2020년12월_여_20~29세,"1,312",443,368,30,43,31,26,46,18,103,55,34,74,41
2020년12월_여_30~39세,"1,172",413,333,21,30,29,22,36,7,94,77,38,54,18
2020년12월_여_40~49세,"1,770",612,538,33,41,35,35,54,30,121,85,52,111,23
2020년12월_여_50~59세,"2,962",706,861,69,94,69,83,125,56,248,185,112,274,80
2020년12월_여_60~69세,"3,783",693,"1,156",99,130,109,97,151,85,397,309,130,320,107
2020년12월_여_70~79세,"3,812",568,"1,166",110,154,115,142,185,101,430,304,112,302,123
2020년12월_여_80~89세,"3,246",426,870,155,147,155,145,195,81,359,275,94,231,113
2020년12월_여_90~99세,564,60,163,30,23,18,21,29,16,64,56,14,44,26
2020년12월_여_100세 이상,33,8,10,0,1,0,1,1,2,1,4,0,3,2
