카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년05월_계_총인구수,"115,388","10,819","4,184","9,032","9,411","7,370","5,375","6,902","18,722","29,302","3,622","10,649"
2020년05월_계_연령구간인구수,"115,388","10,819","4,184","9,032","9,411","7,370","5,375","6,902","18,722","29,302","3,622","10,649"
2020년05월_계_0~9세,"5,552",401,194,429,256,380,159,403,"1,093","1,649",195,393
2020년05월_계_10~19세,"7,712",549,262,615,518,440,291,453,"1,454","2,346",204,580
2020년05월_계_20~29세,"12,287","1,043",462,910,829,736,508,633,"2,013","3,541",623,989
2020년05월_계_30~39세,"11,199","1,059",395,837,691,798,432,698,"1,942","3,028",348,971
2020년05월_계_40~49세,"15,663","1,402",545,"1,158","1,184",987,700,"1,021","2,749","4,168",455,"1,294"
2020년05월_계_50~59세,"20,208","1,990",744,"1,584","1,739","1,223",962,"1,118","3,264","5,209",490,"1,885"
2020년05월_계_60~69세,"21,703","2,154",811,"1,691","1,864","1,436","1,054","1,232","3,339","5,092",675,"2,355"
2020년05월_계_70~79세,"14,531","1,513",538,"1,226","1,570",871,908,922,"2,011","2,998",447,"1,527"
2020년05월_계_80~89세,"5,667",618,198,490,662,414,323,351,746,"1,130",154,581
2020년05월_계_90~99세,736,82,26,80,86,56,30,59,97,125,29,66
2020년05월_계_100세 이상,130,8,9,12,12,29,8,12,14,16,2,8
2020년05월_남_총인구수,"56,867","5,388","2,023","4,401","4,713","3,619","2,683","3,356","9,298","14,308","1,900","5,178"
2020년05월_남_연령구간인구수,"56,867","5,388","2,023","4,401","4,713","3,619","2,683","3,356","9,298","14,308","1,900","5,178"
2020년05월_남_0~9세,"2,796",198,103,219,143,183,74,205,548,826,103,194
2020년05월_남_10~19세,"3,987",280,140,336,276,226,151,233,761,"1,185",101,298
2020년05월_남_20~29세,"6,710",542,245,497,432,391,287,324,"1,096","1,960",388,548
2020년05월_남_30~39세,"6,021",574,217,442,408,425,261,361,"1,049","1,559",199,526
2020년05월_남_40~49세,"8,232",782,266,573,684,548,396,535,"1,408","2,075",258,707
2020년05월_남_50~59세,"10,261","1,109",370,783,970,636,517,574,"1,634","2,479",257,932
2020년05월_남_60~69세,"10,371","1,032",361,809,897,672,480,585,"1,579","2,457",332,"1,167"
2020년05월_남_70~79세,"6,305",642,236,528,643,383,371,405,938,"1,343",196,620
2020년05월_남_80~89세,"2,013",220,77,191,243,136,134,119,261,399,54,179
2020년05월_남_90~99세,138,7,4,20,12,15,8,12,18,25,11,6
2020년05월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년05월_여_총인구수,"58,521","5,431","2,161","4,631","4,698","3,751","2,692","3,546","9,424","14,994","1,722","5,471"
2020년05월_여_연령구간인구수,"58,521","5,431","2,161","4,631","4,698","3,751","2,692","3,546","9,424","14,994","1,722","5,471"
2020년05월_여_0~9세,"2,756",203,91,210,113,197,85,198,545,823,92,199
2020년05월_여_10~19세,"3,725",269,122,279,242,214,140,220,693,"1,161",103,282
2020년05월_여_20~29세,"5,577",501,217,413,397,345,221,309,917,"1,581",235,441
2020년05월_여_30~39세,"5,178",485,178,395,283,373,171,337,893,"1,469",149,445
2020년05월_여_40~49세,"7,431",620,279,585,500,439,304,486,"1,341","2,093",197,587
2020년05월_여_50~59세,"9,947",881,374,801,769,587,445,544,"1,630","2,730",233,953
2020년05월_여_60~69세,"11,332","1,122",450,882,967,764,574,647,"1,760","2,635",343,"1,188"
2020년05월_여_70~79세,"8,226",871,302,698,927,488,537,517,"1,073","1,655",251,907
2020년05월_여_80~89세,"3,654",398,121,299,419,278,189,232,485,731,100,402
2020년05월_여_90~99세,598,75,22,60,74,41,22,47,79,100,18,60
2020년05월_여_100세 이상,97,6,5,9,7,25,4,9,8,16,1,7
