카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년02월_계_총인구수,"65,277","18,849","19,976","2,450","6,325","2,903","3,544","5,565","1,985","2,774",906
2020년02월_계_연령구간인구수,"65,277","18,849","19,976","2,450","6,325","2,903","3,544","5,565","1,985","2,774",906
2020년02월_계_0~9세,"4,503","1,404","2,119",66,330,62,73,342,26,65,16
2020년02월_계_10~19세,"6,133","2,027","2,671",139,329,93,147,500,73,127,27
2020년02월_계_20~29세,"5,783","2,090","1,683",164,509,191,259,458,130,240,59
2020년02월_계_30~39세,"6,181","2,012","2,303",150,585,156,158,473,102,189,53
2020년02월_계_40~49세,"9,698","2,959","3,921",236,612,293,321,856,167,264,69
2020년02월_계_50~59세,"11,447","3,381","3,138",434,"1,097",571,636,"1,058",370,580,182
2020년02월_계_60~69세,"10,495","2,597","2,342",546,"1,229",684,792,878,494,678,255
2020년02월_계_70~79세,"6,600","1,444","1,176",404,899,499,675,635,373,355,140
2020년02월_계_80~89세,"3,920",814,537,284,649,315,424,324,231,249,93
2020년02월_계_90~99세,509,118,83,27,84,39,59,41,19,27,12
2020년02월_계_100세 이상,8,3,3,0,2,0,0,0,0,0,0
2020년02월_남_총인구수,"33,043","9,500","10,116","1,202","3,256","1,473","1,749","2,858","1,026","1,404",459
2020년02월_남_연령구간인구수,"33,043","9,500","10,116","1,202","3,256","1,473","1,749","2,858","1,026","1,404",459
2020년02월_남_0~9세,"2,257",725,"1,034",31,162,30,41,182,11,31,10
2020년02월_남_10~19세,"3,269","1,110","1,404",73,184,53,76,236,43,72,18
2020년02월_남_20~29세,"3,317","1,196",931,87,312,117,148,265,80,148,33
2020년02월_남_30~39세,"3,167","1,030","1,083",87,338,100,92,242,62,101,32
2020년02월_남_40~49세,"5,262","1,526","2,027",131,395,189,202,478,112,156,46
2020년02월_남_50~59세,"6,251","1,755","1,705",235,631,338,369,605,223,295,95
2020년02월_남_60~69세,"5,415","1,296","1,196",292,648,349,398,469,260,372,135
2020년02월_남_70~79세,"2,842",600,557,176,375,198,277,279,155,163,62
2020년02월_남_80~89세,"1,153",232,159,85,187,90,135,97,78,63,27
2020년02월_남_90~99세,107,30,19,5,22,9,11,5,2,3,1
2020년02월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년02월_여_총인구수,"32,234","9,349","9,860","1,248","3,069","1,430","1,795","2,707",959,"1,370",447
2020년02월_여_연령구간인구수,"32,234","9,349","9,860","1,248","3,069","1,430","1,795","2,707",959,"1,370",447
2020년02월_여_0~9세,"2,246",679,"1,085",35,168,32,32,160,15,34,6
2020년02월_여_10~19세,"2,864",917,"1,267",66,145,40,71,264,30,55,9
2020년02월_여_20~29세,"2,466",894,752,77,197,74,111,193,50,92,26
2020년02월_여_30~39세,"3,014",982,"1,220",63,247,56,66,231,40,88,21
2020년02월_여_40~49세,"4,436","1,433","1,894",105,217,104,119,378,55,108,23
2020년02월_여_50~59세,"5,196","1,626","1,433",199,466,233,267,453,147,285,87
2020년02월_여_60~69세,"5,080","1,301","1,146",254,581,335,394,409,234,306,120
2020년02월_여_70~79세,"3,758",844,619,228,524,301,398,356,218,192,78
2020년02월_여_80~89세,"2,767",582,378,199,462,225,289,227,153,186,66
2020년02월_여_90~99세,402,88,64,22,62,30,48,36,17,24,11
2020년02월_여_100세 이상,5,3,2,0,0,0,0,0,0,0,0
