카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년02월_계_총인구수,"90,210","30,340","4,297","20,060","5,364","5,316","3,706","3,249","11,062","3,767","3,049"
2020년02월_계_연령구간인구수,"90,210","30,340","4,297","20,060","5,364","5,316","3,706","3,249","11,062","3,767","3,049"
2020년02월_계_0~9세,"6,805","2,915",188,"1,691",223,330,135,105,910,186,122
2020년02월_계_10~19세,"8,969","3,285",283,"2,760",379,453,192,182,"1,017",203,215
2020년02월_계_20~29세,"9,372","3,379",623,"2,204",493,513,282,195,"1,151",293,239
2020년02월_계_30~39세,"9,454","3,713",342,"2,161",437,485,269,210,"1,273",331,233
2020년02월_계_40~49세,"14,805","5,184",587,"3,941",747,779,472,426,"1,789",505,375
2020년02월_계_50~59세,"15,630","5,026",762,"3,541",977,999,611,514,"1,961",662,577
2020년02월_계_60~69세,"13,079","4,084",728,"2,051","1,060",856,801,697,"1,532",678,592
2020년02월_계_70~79세,"7,999","1,862",489,"1,167",710,643,625,607,899,561,436
2020년02월_계_80~89세,"3,599",781,256,479,293,234,277,274,479,301,225
2020년02월_계_90~99세,469,110,38,65,42,18,38,34,49,42,33
2020년02월_계_100세 이상,29,1,1,0,3,6,4,5,2,5,2
2020년02월_남_총인구수,"45,676","15,078","2,346","10,340","2,619","2,699","1,859","1,601","5,673","1,882","1,579"
2020년02월_남_연령구간인구수,"45,676","15,078","2,346","10,340","2,619","2,699","1,859","1,601","5,673","1,882","1,579"
2020년02월_남_0~9세,"3,496","1,490",90,875,123,168,67,60,471,90,62
2020년02월_남_10~19세,"4,692","1,658",155,"1,497",191,241,104,97,529,107,113
2020년02월_남_20~29세,"5,472","1,937",442,"1,288",271,288,167,104,655,171,149
2020년02월_남_30~39세,"4,955","1,874",200,"1,112",235,272,164,122,670,174,132
2020년02월_남_40~49세,"7,760","2,576",331,"1,955",413,444,289,261,963,299,229
2020년02월_남_50~59세,"8,015","2,402",432,"1,884",460,525,312,279,"1,040",343,338
2020년02월_남_60~69세,"6,303","1,986",352,"1,001",506,386,355,320,762,334,301
2020년02월_남_70~79세,"3,590",862,231,533,311,280,292,235,421,247,178
2020년02월_남_80~89세,"1,285",268,105,182,99,89,97,111,157,106,71
2020년02월_남_90~99세,99,25,7,13,8,5,11,12,5,8,5
2020년02월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년02월_여_총인구수,"44,534","15,262","1,951","9,720","2,745","2,617","1,847","1,648","5,389","1,885","1,470"
2020년02월_여_연령구간인구수,"44,534","15,262","1,951","9,720","2,745","2,617","1,847","1,648","5,389","1,885","1,470"
2020년02월_여_0~9세,"3,309","1,425",98,816,100,162,68,45,439,96,60
2020년02월_여_10~19세,"4,277","1,627",128,"1,263",188,212,88,85,488,96,102
2020년02월_여_20~29세,"3,900","1,442",181,916,222,225,115,91,496,122,90
2020년02월_여_30~39세,"4,499","1,839",142,"1,049",202,213,105,88,603,157,101
2020년02월_여_40~49세,"7,045","2,608",256,"1,986",334,335,183,165,826,206,146
2020년02월_여_50~59세,"7,615","2,624",330,"1,657",517,474,299,235,921,319,239
2020년02월_여_60~69세,"6,776","2,098",376,"1,050",554,470,446,377,770,344,291
2020년02월_여_70~79세,"4,409","1,000",258,634,399,363,333,372,478,314,258
2020년02월_여_80~89세,"2,314",513,151,297,194,145,180,163,322,195,154
2020년02월_여_90~99세,370,85,31,52,34,13,27,22,44,34,28
2020년02월_여_100세 이상,20,1,0,0,1,5,3,5,2,2,1
