,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년07월_계_총인구수,"23,437","8,272","2,296","3,792","2,048","2,043","2,428","1,205","1,353"
2020년07월_계_연령구간인구수,"23,437","8,272","2,296","3,792","2,048","2,043","2,428","1,205","1,353"
2020년07월_계_0~9세,714,444,36,92,42,23,44,16,17
2020년07월_계_10~19세,991,593,52,132,53,48,66,24,23
2020년07월_계_20~29세,"1,546",721,112,271,138,114,103,28,59
2020년07월_계_30~39세,"1,389",676,109,190,101,86,115,55,57
2020년07월_계_40~49세,"2,216","1,113",146,314,152,152,179,77,83
2020년07월_계_50~59세,"4,355","1,508",452,723,413,364,414,218,263
2020년07월_계_60~69세,"5,240","1,453",530,944,506,510,598,311,388
2020년07월_계_70~79세,"4,064","1,063",457,689,362,410,523,270,290
2020년07월_계_80~89세,"2,588",615,356,398,242,303,345,181,148
2020년07월_계_90~99세,319,79,44,38,39,30,39,25,25
2020년07월_계_100세 이상,15,7,2,1,0,3,2,0,0
2020년07월_남_총인구수,"11,961","4,289","1,165","1,942","1,042","1,025","1,176",610,712
2020년07월_남_연령구간인구수,"11,961","4,289","1,165","1,942","1,042","1,025","1,176",610,712
2020년07월_남_0~9세,383,244,16,51,25,13,13,10,11
2020년07월_남_10~19세,542,335,29,58,33,24,36,12,15
2020년07월_남_20~29세,932,431,65,169,85,66,61,20,35
2020년07월_남_30~39세,787,363,62,99,65,55,66,39,38
2020년07월_남_40~49세,"1,305",605,94,198,86,103,116,52,51
2020년07월_남_50~59세,"2,452",833,259,403,239,201,231,136,150
2020년07월_남_60~69세,"2,744",748,282,513,255,266,292,160,228
2020년07월_남_70~79세,"1,861",494,213,317,159,187,236,120,135
2020년07월_남_80~89세,889,217,135,128,86,102,118,55,48
2020년07월_남_90~99세,65,18,10,6,9,8,7,6,1
2020년07월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년07월_여_총인구수,"11,476","3,983","1,131","1,850","1,006","1,018","1,252",595,641
2020년07월_여_연령구간인구수,"11,476","3,983","1,131","1,850","1,006","1,018","1,252",595,641
2020년07월_여_0~9세,331,200,20,41,17,10,31,6,6
2020년07월_여_10~19세,449,258,23,74,20,24,30,12,8
2020년07월_여_20~29세,614,290,47,102,53,48,42,8,24
2020년07월_여_30~39세,602,313,47,91,36,31,49,16,19
2020년07월_여_40~49세,911,508,52,116,66,49,63,25,32
2020년07월_여_50~59세,"1,903",675,193,320,174,163,183,82,113
2020년07월_여_60~69세,"2,496",705,248,431,251,244,306,151,160
2020년07월_여_70~79세,"2,203",569,244,372,203,223,287,150,155
2020년07월_여_80~89세,"1,699",398,221,270,156,201,227,126,100
2020년07월_여_90~99세,254,61,34,32,30,22,32,19,24
2020년07월_여_100세 이상,14,6,2,1,0,3,2,0,0
