카테고리,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년09월_계_총인구수,"498,574","24,665","15,782","30,444","29,474","17,229","35,047","34,208","15,581","26,403","18,455","23,091","18,470","23,935","22,939","21,979","15,960","17,613","23,784","24,445","31,438","27,632"
2020년09월_계_연령구간인구수,"498,574","24,665","15,782","30,444","29,474","17,229","35,047","34,208","15,581","26,403","18,455","23,091","18,470","23,935","22,939","21,979","15,960","17,613","23,784","24,445","31,438","27,632"
2020년09월_계_0~9세,"23,180","1,259","1,359","2,097","1,219",750,"1,293","2,206",452,"1,221","1,049",705,637,862,832,388,"1,271",692,747,978,"1,822","1,341"
2020년09월_계_10~19세,"29,284","1,509","1,162","2,964","1,430",877,"1,724","2,639",627,"1,637",820,889,890,"1,147","1,183",504,"1,450",860,"1,011","1,614","2,391","1,956"
2020년09월_계_20~29세,"109,815","4,671","1,901","3,994","7,490","5,569","11,208","5,569","4,535","5,852","3,929","6,530","4,440","5,740","5,803","8,465","1,756","4,074","6,265","3,051","4,869","4,104"
2020년09월_계_30~39세,"87,705","4,121","2,652","4,008","6,104","3,573","6,718","5,459","3,027","5,013","3,731","4,636","3,275","4,756","3,968","5,642","1,929","3,331","4,851","2,808","4,363","3,740"
2020년09월_계_40~49세,"69,332","3,475","2,545","5,121","3,697","2,041","4,066","5,314","1,774","3,680","2,335","2,829","2,354","3,304","3,064","2,465","3,034","2,284","3,594","3,522","4,798","4,036"
2020년09월_계_50~59세,"68,515","3,440","2,333","4,811","3,507","1,696","3,858","4,955","1,857","3,533","2,567","2,836","2,453","3,155","3,246","1,756","2,604","2,383","3,180","4,387","5,036","4,922"
2020년09월_계_60~69세,"58,814","3,267","1,981","3,848","3,149","1,357","3,252","4,298","1,676","2,913","2,251","2,530","2,216","2,741","2,563","1,447","2,107","2,190","2,238","4,136","4,601","4,053"
2020년09월_계_70~79세,"37,055","2,119","1,221","2,511","2,116",969,"2,135","2,711","1,158","1,839","1,317","1,525","1,570","1,576","1,642",956,"1,294","1,255","1,328","2,697","2,604","2,512"
2020년09월_계_80~89세,"12,843",697,536,926,648,340,680,925,422,627,393,548,545,558,559,293,436,472,498,"1,051",840,849
2020년09월_계_90~99세,"1,716",98,69,134,97,47,93,115,44,80,60,54,77,76,64,48,66,63,60,173,94,104
2020년09월_계_100세 이상,315,9,23,30,17,10,20,17,9,8,3,9,13,20,15,15,13,9,12,28,20,15
2020년09월_남_총인구수,"250,084","12,106","7,725","14,742","14,311","8,701","16,811","16,739","7,428","12,874","8,917","11,877","9,235","13,136","11,483","11,427","7,862","8,898","14,371","12,226","15,372","13,843"
2020년09월_남_연령구간인구수,"250,084","12,106","7,725","14,742","14,311","8,701","16,811","16,739","7,428","12,874","8,917","11,877","9,235","13,136","11,483","11,427","7,862","8,898","14,371","12,226","15,372","13,843"
2020년09월_남_0~9세,"11,901",644,709,"1,104",616,394,631,"1,176",251,637,557,358,302,438,441,189,649,343,377,512,915,658
2020년09월_남_10~19세,"14,963",787,605,"1,573",705,418,856,"1,333",298,855,384,466,439,580,639,252,734,438,514,850,"1,183","1,054"
2020년09월_남_20~29세,"53,531","2,243","1,001","1,977","3,378","2,684","4,896","2,666","1,858","2,761","1,766","3,315","2,253","3,206","2,739","4,085",900,"1,847","3,775","1,643","2,411","2,127"
2020년09월_남_30~39세,"48,353","2,248","1,324","1,996","3,257","1,981","3,557","2,811","1,660","2,620","1,980","2,695","1,861","2,917","2,235","3,224",961,"1,863","3,275","1,576","2,259","2,053"
2020년09월_남_40~49세,"37,010","1,784","1,303","2,546","1,928","1,086","2,124","2,751",952,"1,850","1,210","1,545","1,266","2,005","1,583","1,421","1,524","1,218","2,434","1,891","2,465","2,124"
2020년09월_남_50~59세,"34,186","1,626","1,130","2,333","1,697",882,"1,921","2,396",935,"1,729","1,179","1,362","1,196","1,676","1,614",977,"1,307","1,271","1,986","2,188","2,402","2,379"
2020년09월_남_60~69세,"27,360","1,500",895,"1,744","1,460",654,"1,500","1,961",777,"1,318","1,012","1,156",978,"1,306","1,215",683,987,"1,072","1,160","1,918","2,125","1,939"
2020년09월_남_70~79세,"17,008",971,533,"1,081",968,450,999,"1,229",518,809,624,723,713,752,743,453,608,613,606,"1,190","1,262","1,163"
2020년09월_남_80~89세,"5,291",280,200,342,275,136,292,388,165,268,194,243,209,243,256,130,168,216,228,410,321,327
2020년09월_남_90~99세,413,22,22,42,21,14,28,22,13,25,11,13,13,11,13,12,18,17,13,43,23,17
2020년09월_남_100세 이상,68,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,0,3,5,6,2
2020년09월_여_총인구수,"248,490","12,559","8,057","15,702","15,163","8,528","18,236","17,469","8,153","13,529","9,538","11,214","9,235","10,799","11,456","10,552","8,098","8,715","9,413","12,219","16,066","13,789"
2020년09월_여_연령구간인구수,"248,490","12,559","8,057","15,702","15,163","8,528","18,236","17,469","8,153","13,529","9,538","11,214","9,235","10,799","11,456","10,552","8,098","8,715","9,413","12,219","16,066","13,789"
2020년09월_여_0~9세,"11,279",615,650,993,603,356,662,"1,030",201,584,492,347,335,424,391,199,622,349,370,466,907,683
2020년09월_여_10~19세,"14,321",722,557,"1,391",725,459,868,"1,306",329,782,436,423,451,567,544,252,716,422,497,764,"1,208",902
2020년09월_여_20~29세,"56,284","2,428",900,"2,017","4,112","2,885","6,312","2,903","2,677","3,091","2,163","3,215","2,187","2,534","3,064","4,380",856,"2,227","2,490","1,408","2,458","1,977"
2020년09월_여_30~39세,"39,352","1,873","1,328","2,012","2,847","1,592","3,161","2,648","1,367","2,393","1,751","1,941","1,414","1,839","1,733","2,418",968,"1,468","1,576","1,232","2,104","1,687"
2020년09월_여_40~49세,"32,322","1,691","1,242","2,575","1,769",955,"1,942","2,563",822,"1,830","1,125","1,284","1,088","1,299","1,481","1,044","1,510","1,066","1,160","1,631","2,333","1,912"
2020년09월_여_50~59세,"34,329","1,814","1,203","2,478","1,810",814,"1,937","2,559",922,"1,804","1,388","1,474","1,257","1,479","1,632",779,"1,297","1,112","1,194","2,199","2,634","2,543"
2020년09월_여_60~69세,"31,454","1,767","1,086","2,104","1,689",703,"1,752","2,337",899,"1,595","1,239","1,374","1,238","1,435","1,348",764,"1,120","1,118","1,078","2,218","2,476","2,114"
2020년09월_여_70~79세,"20,047","1,148",688,"1,430","1,148",519,"1,136","1,482",640,"1,030",693,802,857,824,899,503,686,642,722,"1,507","1,342","1,349"
2020년09월_여_80~89세,"7,552",417,336,584,373,204,388,537,257,359,199,305,336,315,303,163,268,256,270,641,519,522
2020년09월_여_90~99세,"1,303",76,47,92,76,33,65,93,31,55,49,41,64,65,51,36,48,46,47,130,71,87
2020년09월_여_100세 이상,247,8,20,26,11,8,13,11,8,6,3,8,8,18,10,14,7,9,9,23,14,13
