,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년10월_계_총인구수,"218,949","37,526","40,295","39,131","16,575","29,932","35,266","10,095","10,129"
2020년10월_계_연령구간인구수,"218,949","37,526","40,295","39,131","16,575","29,932","35,266","10,095","10,129"
2020년10월_계_0~9세,"25,444","4,724","5,493","3,802","2,717","2,719","4,453",760,776
2020년10월_계_10~19세,"23,641","3,942","4,654","6,315","1,302","2,284","3,591",758,795
2020년10월_계_20~29세,"27,959","4,296","4,569","4,973","1,236","4,797","5,018","1,748","1,322"
2020년10월_계_30~39세,"34,511","5,919","6,779","4,030","3,561","4,920","6,224","1,627","1,451"
2020년10월_계_40~49세,"38,525","6,698","7,438","8,545","2,751","4,397","5,703","1,447","1,546"
2020년10월_계_50~59세,"38,719","6,270","6,370","7,085","2,194","6,396","6,405","2,049","1,950"
2020년10월_계_60~69세,"19,379","3,566","3,207","2,568","1,738","3,040","2,573","1,157","1,530"
2020년10월_계_70~79세,"7,328","1,484","1,194","1,238",668,945,852,392,555
2020년10월_계_80~89세,"2,974",537,513,501,345,377,385,133,183
2020년10월_계_90~99세,448,85,77,71,58,56,62,23,16
2020년10월_계_100세 이상,21,5,1,3,5,1,0,1,5
2020년10월_남_총인구수,"113,337","19,141","20,622","19,916","8,473","15,982","17,995","5,786","5,422"
2020년10월_남_연령구간인구수,"113,337","19,141","20,622","19,916","8,473","15,982","17,995","5,786","5,422"
2020년10월_남_0~9세,"13,048","2,404","2,853","1,962","1,344","1,427","2,292",380,386
2020년10월_남_10~19세,"12,352","2,024","2,435","3,334",654,"1,212","1,848",408,437
2020년10월_남_20~29세,"15,764","2,367","2,494","2,756",679,"2,715","2,752","1,191",810
2020년10월_남_30~39세,"17,933","2,977","3,405","1,923","1,795","2,830","3,178",992,833
2020년10월_남_40~49세,"19,689","3,483","3,847","4,031","1,549","2,331","2,743",825,880
2020년10월_남_50~59세,"20,021","3,185","3,233","3,854","1,097","3,264","3,277","1,134",977
2020년10월_남_60~69세,"10,184","1,858","1,631","1,349",923,"1,632","1,384",618,789
2020년10월_남_70~79세,"3,396",675,560,538,319,454,412,202,236
2020년10월_남_80~89세,879,154,154,154,103,108,103,32,71
2020년10월_남_90~99세,67,13,10,15,10,8,6,4,1
2020년10월_남_100세 이상,4,1,0,0,0,1,0,0,2
2020년10월_여_총인구수,"105,612","18,385","19,673","19,215","8,102","13,950","17,271","4,309","4,707"
2020년10월_여_연령구간인구수,"105,612","18,385","19,673","19,215","8,102","13,950","17,271","4,309","4,707"
2020년10월_여_0~9세,"12,396","2,320","2,640","1,840","1,373","1,292","2,161",380,390
2020년10월_여_10~19세,"11,289","1,918","2,219","2,981",648,"1,072","1,743",350,358
2020년10월_여_20~29세,"12,195","1,929","2,075","2,217",557,"2,082","2,266",557,512
2020년10월_여_30~39세,"16,578","2,942","3,374","2,107","1,766","2,090","3,046",635,618
2020년10월_여_40~49세,"18,836","3,215","3,591","4,514","1,202","2,066","2,960",622,666
2020년10월_여_50~59세,"18,698","3,085","3,137","3,231","1,097","3,132","3,128",915,973
2020년10월_여_60~69세,"9,195","1,708","1,576","1,219",815,"1,408","1,189",539,741
2020년10월_여_70~79세,"3,932",809,634,700,349,491,440,190,319
2020년10월_여_80~89세,"2,095",383,359,347,242,269,282,101,112
2020년10월_여_90~99세,381,72,67,56,48,48,56,19,15
2020년10월_여_100세 이상,17,4,1,3,5,0,0,1,3
