카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년01월_계_총인구수,"101,799","11,037","4,153","3,890","3,270","2,194","3,153","1,226","4,239","5,830","4,445","3,097","29,364","9,879","4,817","6,970","4,235"
2021년01월_계_연령구간인구수,"101,799","11,037","4,153","3,890","3,270","2,194","3,153","1,226","4,239","5,830","4,445","3,097","29,364","9,879","4,817","6,970","4,235"
2021년01월_계_0~9세,"5,645",403,111,103,62,62,69,19,117,249,75,87,"2,552",750,164,567,255
2021년01월_계_10~19세,"6,683",492,136,183,93,79,95,37,152,218,131,86,"2,969",963,275,567,207
2021년01월_계_20~29세,"10,038",966,302,237,196,107,180,73,261,867,269,208,"3,506","1,257",491,711,407
2021년01월_계_30~39세,"9,387",789,288,220,184,94,160,45,229,464,241,202,"3,648","1,125",402,850,446
2021년01월_계_40~49세,"12,607","1,265",369,336,274,170,247,72,382,509,407,257,"4,742","1,489",535,"1,049",504
2021년01월_계_50~59세,"18,213","2,287",754,670,583,396,592,273,715,856,775,555,"5,225","1,714",900,"1,120",798
2021년01월_계_60~69세,"18,798","2,324","1,032",957,786,570,828,298,983,"1,146","1,105",857,"3,822","1,312",981,"1,038",759
2021년01월_계_70~79세,"12,584","1,596",718,707,640,382,602,226,853,917,847,508,"1,836",834,689,706,523
2021년01월_계_80~89세,"6,983",824,386,428,402,295,333,160,486,544,528,300,958,382,340,328,289
2021년01월_계_90~99세,817,87,53,47,50,38,41,22,61,57,64,36,101,48,39,27,46
2021년01월_계_100세 이상,44,4,4,2,0,1,6,1,0,3,3,1,5,5,1,7,1
2021년01월_남_총인구수,"51,699","5,787","2,156","1,908","1,700","1,083","1,617",612,"2,146","3,193","2,286","1,640","14,500","4,932","2,382","3,467","2,290"
2021년01월_남_연령구간인구수,"51,699","5,787","2,156","1,908","1,700","1,083","1,617",612,"2,146","3,193","2,286","1,640","14,500","4,932","2,382","3,467","2,290"
2021년01월_남_0~9세,"2,868",211,58,59,34,39,33,12,58,132,32,46,"1,275",390,81,269,139
2021년01월_남_10~19세,"3,588",289,77,88,52,42,58,19,83,115,68,40,"1,607",482,140,321,107
2021년01월_남_20~29세,"5,935",561,179,151,142,62,109,41,151,686,164,120,"1,974",695,261,389,250
2021년01월_남_30~39세,"5,106",443,182,127,103,54,101,27,129,264,147,125,"1,893",582,232,428,269
2021년01월_남_40~49세,"6,950",745,239,189,167,98,154,45,236,324,245,177,"2,377",786,306,551,311
2021년01월_남_50~59세,"9,735","1,330",407,374,351,214,332,139,401,455,446,339,"2,563",841,489,572,482
2021년01월_남_60~69세,"9,419","1,174",527,472,430,301,431,167,488,610,585,446,"1,768",669,465,498,388
2021년01월_남_70~79세,"5,615",730,349,303,288,172,276,99,390,419,409,234,764,350,295,298,239
2021년01월_남_80~89세,"2,272",281,125,137,119,95,111,57,187,172,178,104,256,129,102,124,95
2021년01월_남_90~99세,197,22,12,7,14,6,11,6,23,15,11,8,22,7,11,12,10
2021년01월_남_100세 이상,14,1,1,1,0,0,1,0,0,1,1,1,1,1,0,5,0
2021년01월_여_총인구수,"50,100","5,250","1,997","1,982","1,570","1,111","1,536",614,"2,093","2,637","2,159","1,457","14,864","4,947","2,435","3,503","1,945"
2021년01월_여_연령구간인구수,"50,100","5,250","1,997","1,982","1,570","1,111","1,536",614,"2,093","2,637","2,159","1,457","14,864","4,947","2,435","3,503","1,945"
2021년01월_여_0~9세,"2,777",192,53,44,28,23,36,7,59,117,43,41,"1,277",360,83,298,116
2021년01월_여_10~19세,"3,095",203,59,95,41,37,37,18,69,103,63,46,"1,362",481,135,246,100
2021년01월_여_20~29세,"4,103",405,123,86,54,45,71,32,110,181,105,88,"1,532",562,230,322,157
2021년01월_여_30~39세,"4,281",346,106,93,81,40,59,18,100,200,94,77,"1,755",543,170,422,177
2021년01월_여_40~49세,"5,657",520,130,147,107,72,93,27,146,185,162,80,"2,365",703,229,498,193
2021년01월_여_50~59세,"8,478",957,347,296,232,182,260,134,314,401,329,216,"2,662",873,411,548,316
2021년01월_여_60~69세,"9,379","1,150",505,485,356,269,397,131,495,536,520,411,"2,054",643,516,540,371
2021년01월_여_70~79세,"6,969",866,369,404,352,210,326,127,463,498,438,274,"1,072",484,394,408,284
2021년01월_여_80~89세,"4,711",543,261,291,283,200,222,103,299,372,350,196,702,253,238,204,194
2021년01월_여_90~99세,620,65,41,40,36,32,30,16,38,42,53,28,79,41,28,15,36
2021년01월_여_100세 이상,30,3,3,1,0,1,5,1,0,2,2,0,4,4,1,2,1
