,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년06월_계_총인구수,"289,162","16,630","26,596","22,524","12,017","13,915","23,617","15,589","15,520","22,880","14,435","26,245","16,750","12,904","16,135","11,045","10,613","11,747"
2021년06월_계_연령구간인구수,"289,162","16,630","26,596","22,524","12,017","13,915","23,617","15,589","15,520","22,880","14,435","26,245","16,750","12,904","16,135","11,045","10,613","11,747"
2021년06월_계_0~9세,"19,842","1,196","2,293","1,176",418,957,"1,763","1,164","1,281","1,706","1,343","2,544","1,017",713,801,579,510,381
2021년06월_계_10~19세,"19,413","1,166","1,567","1,612",769,"1,001","2,074","1,618","1,074","1,423",953,"1,649","1,112",855,860,520,561,599
2021년06월_계_20~29세,"44,374","2,463","4,278","4,246","4,733","2,225","2,936","1,751","1,790","2,820","1,453","2,852","2,603","2,077","2,244","1,974","1,699","2,230"
2021년06월_계_30~39세,"47,706","2,867","4,609","3,225","1,595","2,257","3,585","2,188","2,644","4,101","2,664","4,966","2,860","2,341","2,563","1,930","1,606","1,705"
2021년06월_계_40~49세,"43,988","2,527","3,990","2,974","1,124","2,137","3,930","2,873","2,541","3,665","2,559","4,455","2,409","1,980","2,199","1,464","1,535","1,626"
2021년06월_계_50~59세,"46,514","2,699","4,355","3,665","1,291","2,234","3,917","2,483","2,352","3,644","2,095","3,853","3,098","1,995","3,023","1,775","1,932","2,103"
2021년06월_계_60~69세,"37,132","2,080","3,075","3,051",971,"1,679","2,837","1,730","2,136","2,979","1,812","3,319","2,248","1,671","2,657","1,552","1,669","1,666"
2021년06월_계_70~79세,"20,230","1,130","1,584","1,713",742,968,"1,742","1,153","1,116","1,690","1,047","1,714",960,880,"1,234",830,749,978
2021년06월_계_80~89세,"8,760",440,746,746,327,395,737,554,522,750,450,760,394,355,492,365,310,417
2021년06월_계_90~99세,"1,122",60,98,106,36,57,93,67,62,95,55,126,45,36,57,48,41,40
2021년06월_계_100세 이상,81,2,1,10,11,5,3,8,2,7,4,7,4,1,5,8,1,2
