카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년12월_계_총인구수,"62,377","19,496","9,598","14,021","5,586","9,785","3,891"
2020년12월_계_연령구간인구수,"62,377","19,496","9,598","14,021","5,586","9,785","3,891"
2020년12월_계_0~9세,"3,344","1,158",542,616,154,722,152
2020년12월_계_10~19세,"4,634","1,687",792,998,288,665,204
2020년12월_계_20~29세,"6,212","2,198",875,"1,337",523,"1,043",236
2020년12월_계_30~39세,"5,742","1,925",817,"1,192",370,"1,164",274
2020년12월_계_40~49세,"7,910","2,655","1,132","1,928",576,"1,227",392
2020년12월_계_50~59세,"11,364","3,440","1,733","2,677","1,127","1,667",720
2020년12월_계_60~69세,"12,108","3,265","2,026","2,692","1,396","1,764",965
2020년12월_계_70~79세,"6,833","1,920",986,"1,655",725,979,568
2020년12월_계_80~89세,"3,651","1,087",577,803,374,486,324
2020년12월_계_90~99세,529,145,114,113,48,58,51
2020년12월_계_100세 이상,50,16,4,10,5,10,5
2020년12월_남_총인구수,"32,156","9,921","4,934","7,163","2,934","5,207","1,997"
2020년12월_남_연령구간인구수,"32,156","9,921","4,934","7,163","2,934","5,207","1,997"
2020년12월_남_0~9세,"1,663",584,258,311,77,368,65
2020년12월_남_10~19세,"2,466",919,393,536,160,348,110
2020년12월_남_20~29세,"3,575","1,208",492,755,344,642,134
2020년12월_남_30~39세,"3,114","1,022",451,643,208,640,150
2020년12월_남_40~49세,"4,257","1,418",593,"1,021",326,667,232
2020년12월_남_50~59세,"6,023","1,812",929,"1,423",583,880,396
2020년12월_남_60~69세,"6,251","1,648","1,052","1,358",718,979,496
2020년12월_남_70~79세,"3,226",858,501,767,367,462,271
2020년12월_남_80~89세,"1,417",406,234,314,137,200,126
2020년12월_남_90~99세,144,42,29,30,11,17,15
2020년12월_남_100세 이상,20,4,2,5,3,4,2
2020년12월_여_총인구수,"30,221","9,575","4,664","6,858","2,652","4,578","1,894"
2020년12월_여_연령구간인구수,"30,221","9,575","4,664","6,858","2,652","4,578","1,894"
2020년12월_여_0~9세,"1,681",574,284,305,77,354,87
2020년12월_여_10~19세,"2,168",768,399,462,128,317,94
2020년12월_여_20~29세,"2,637",990,383,582,179,401,102
2020년12월_여_30~39세,"2,628",903,366,549,162,524,124
2020년12월_여_40~49세,"3,653","1,237",539,907,250,560,160
2020년12월_여_50~59세,"5,341","1,628",804,"1,254",544,787,324
2020년12월_여_60~69세,"5,857","1,617",974,"1,334",678,785,469
2020년12월_여_70~79세,"3,607","1,062",485,888,358,517,297
2020년12월_여_80~89세,"2,234",681,343,489,237,286,198
2020년12월_여_90~99세,385,103,85,83,37,41,36
2020년12월_여_100세 이상,30,12,2,5,2,6,3
