카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년02월_계_총인구수,"419,296","15,374","37,156","1,913","1,772","2,309","4,243","25,823","3,278","16,386","3,916","3,403","30,722","2,316","47,813","15,370","17,807","3,398","3,346","6,346","6,778","4,511","4,558","29,260","19,848","49,248","16,185","46,217"
2020년02월_계_연령구간인구수,"419,296","15,374","37,156","1,913","1,772","2,309","4,243","25,823","3,278","16,386","3,916","3,403","30,722","2,316","47,813","15,370","17,807","3,398","3,346","6,346","6,778","4,511","4,558","29,260","19,848","49,248","16,185","46,217"
2020년02월_계_0~9세,"43,126",966,"3,414",43,20,39,73,"5,430",80,916,74,101,"2,552",80,"5,135","1,180",989,167,284,709,930,663,346,"2,808","2,415","5,353","1,034","7,325"
2020년02월_계_10~19세,"46,504","1,220","4,065",72,77,175,170,"2,010",236,"1,350",123,165,"3,782",133,"6,486","1,844","2,177",203,242,499,662,199,376,"3,768","2,706","6,155","1,182","6,427"
2020년02월_계_20~29세,"58,043","1,629","4,974",108,101,156,322,"2,840",281,"2,631",551,333,"4,202",263,"6,081","2,154","2,885",634,465,"1,023",938,721,735,"4,348","2,592","7,138","4,260","5,678"
2020년02월_계_30~39세,"67,784","1,423","4,612",104,79,102,238,"8,020",196,"2,279",553,307,"3,741",185,"6,440","1,796","1,839",517,578,"1,372","1,424","1,197",737,"4,046","3,284","9,266","4,154","9,295"
2020년02월_계_40~49세,"73,740","2,073","5,960",147,153,218,478,"3,874",415,"2,466",727,384,"5,247",293,"9,219","2,654","3,033",467,460,"1,000","1,157",668,776,"5,972","4,031","9,495","2,630","9,743"
2020년02월_계_50~59세,"69,117","3,062","7,673",385,347,416,841,"1,997",666,"3,229",861,730,"6,160",502,"8,314","3,100","4,002",644,664,"1,108","1,063",657,829,"5,371","3,161","6,777","1,692","4,866"
2020년02월_계_60~69세,"36,430","2,507","3,739",453,411,486,896,943,613,"2,358",622,760,"3,341",498,"4,099","1,717","2,017",447,368,417,443,315,448,"1,837","1,074","3,132",807,"1,682"
2020년02월_계_70~79세,"15,599","1,429","1,619",308,299,408,678,396,457,846,279,435,"1,119",235,"1,396",629,614,234,178,155,117,70,227,747,382,"1,285",272,785
2020년02월_계_80~89세,"7,781",913,943,245,247,272,477,273,302,276,98,169,512,114,563,263,224,74,92,57,41,15,71,306,179,566,124,365
2020년02월_계_90~99세,"1,125",147,148,47,37,35,67,40,31,31,25,18,66,12,79,33,24,11,12,6,3,5,13,55,24,79,28,49
2020년02월_계_100세 이상,47,5,9,1,1,2,3,0,1,4,3,1,0,1,1,0,3,0,3,0,0,1,0,2,0,2,2,2
2020년02월_남_총인구수,"215,001","7,627","18,907",951,905,"1,185","2,207","13,552","1,686","8,114","2,156","1,754","15,056","1,207","24,143","7,600","8,962","1,891","1,816","3,427","3,492","2,477","2,421","15,212","10,352","25,314","8,622","23,965"
2020년02월_남_연령구간인구수,"215,001","7,627","18,907",951,905,"1,185","2,207","13,552","1,686","8,114","2,156","1,754","15,056","1,207","24,143","7,600","8,962","1,891","1,816","3,427","3,492","2,477","2,421","15,212","10,352","25,314","8,622","23,965"
2020년02월_남_0~9세,"22,267",478,"1,775",19,10,18,41,"2,770",52,467,37,53,"1,344",42,"2,618",616,530,76,160,382,471,348,168,"1,424","1,240","2,876",521,"3,731"
2020년02월_남_10~19세,"24,329",625,"2,181",40,37,115,87,"1,063",139,677,60,91,"1,916",69,"3,384",978,"1,180",104,129,252,326,97,191,"1,978","1,461","3,218",613,"3,318"
2020년02월_남_20~29세,"31,863",956,"2,857",65,69,92,191,"1,323",150,"1,461",310,205,"2,309",153,"3,395","1,209","1,625",396,261,547,509,420,431,"2,496","1,437","3,758","2,081","3,157"
2020년02월_남_30~39세,"36,025",759,"2,364",64,50,65,157,"4,400",108,"1,263",296,203,"1,873",116,"3,123",900,983,340,345,810,798,697,432,"2,110","1,711","4,862","2,470","4,726"
2020년02월_남_40~49세,"37,155","1,061","2,804",89,103,132,312,"2,140",239,"1,150",429,216,"2,387",163,"4,497","1,191","1,336",272,269,520,579,390,413,"2,937","1,975","4,909","1,485","5,157"
2020년02월_남_50~59세,"35,420","1,526","3,915",219,196,247,503,"1,093",366,"1,504",516,380,"2,924",260,"4,192","1,474","1,912",350,344,593,534,340,421,"2,892","1,741","3,447",895,"2,636"
2020년02월_남_60~69세,"18,568","1,295","2,009",235,215,240,459,501,319,"1,112",339,373,"1,665",255,"2,115",857,"1,060",221,199,224,216,148,219,957,574,"1,558",397,806
2020년02월_남_70~79세,"6,786",637,685,133,140,184,272,169,207,389,136,178,462,107,633,293,267,99,75,81,50,32,114,324,156,526,120,317
2020년02월_남_80~89세,"2,374",266,289,74,74,84,171,81,100,88,31,51,164,42,175,80,66,32,30,17,8,5,28,81,53,145,34,105
2020년02월_남_90~99세,208,24,27,13,11,7,13,12,6,2,2,4,12,0,11,2,3,1,4,1,1,0,4,12,4,15,6,11
2020년02월_남_100세 이상,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020년02월_여_총인구수,"204,295","7,747","18,249",962,867,"1,124","2,036","12,271","1,592","8,272","1,760","1,649","15,666","1,109","23,670","7,770","8,845","1,507","1,530","2,919","3,286","2,034","2,137","14,048","9,496","23,934","7,563","22,252"
2020년02월_여_연령구간인구수,"204,295","7,747","18,249",962,867,"1,124","2,036","12,271","1,592","8,272","1,760","1,649","15,666","1,109","23,670","7,770","8,845","1,507","1,530","2,919","3,286","2,034","2,137","14,048","9,496","23,934","7,563","22,252"
