,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2020년10월_계_80~89세,"24,687","6,291",423,345,304,514,477,423,441,448,463,457,378,294,133,844,79,173,95,"5,606",940,408,191,649,280,764,621,396,346,465,546,"12,790",701,643,252,237,386,866,660,514,889,421,628,408,451,586,766,364,403,478,"1,058",478,"1,215",386
2020년10월_계_90~99세,"4,176",955,56,58,48,63,77,65,52,74,63,76,47,42,33,137,16,32,16,882,138,73,29,104,36,93,86,69,60,86,108,"2,339",127,96,47,39,71,106,121,103,155,78,129,74,91,101,138,62,74,80,205,92,270,80
2020년10월_계_100세 이상,487,208,22,18,9,13,18,17,18,20,15,16,25,3,5,5,0,2,2,185,31,42,30,14,5,22,12,12,10,4,3,94,7,3,2,2,2,6,3,2,4,5,4,6,5,5,9,3,3,3,6,2,12,0
2020년10월_남_총인구수,"466,057","122,555","7,056","9,551","5,828","7,884","7,894","6,929","6,797","6,527","8,095","7,819","6,338","4,915","6,099","22,326","2,536","4,190","1,771","109,376","17,448","7,495","3,599","11,998","5,221","12,195","13,406","7,196","6,584","10,700","13,534","234,126","13,027","8,620","5,219","6,965","9,863","14,552","7,605","7,540","15,633","9,273","12,735","6,808","8,738","8,011","14,422","11,724","12,171","13,419","13,529","8,621","15,125","10,526"
2020년10월_남_연령구간인구수,"466,057","122,555","7,056","9,551","5,828","7,884","7,894","6,929","6,797","6,527","8,095","7,819","6,338","4,915","6,099","22,326","2,536","4,190","1,771","109,376","17,448","7,495","3,599","11,998","5,221","12,195","13,406","7,196","6,584","10,700","13,534","234,126","13,027","8,620","5,219","6,965","9,863","14,552","7,605","7,540","15,633","9,273","12,735","6,808","8,738","8,011","14,422","11,724","12,171","13,419","13,529","8,621","15,125","10,526"
2020년10월_남_0~9세,"35,565","8,108",265,855,211,263,376,324,353,202,384,553,307,317,367,"2,596",271,372,92,"6,894",781,482,217,615,360,695,891,287,295,749,"1,522","20,563","1,050",659,597,536,743,"1,034",509,715,"1,269",743,"1,206",557,680,624,"1,159","1,564","1,483","1,536",960,720,"1,106","1,113"
2020년10월_남_10~19세,"45,226","9,053",376,755,341,402,608,468,609,388,578,686,530,478,238,"1,997",243,253,103,"8,647","1,028",472,231,960,506,"1,057",954,496,507,978,"1,458","27,526","1,576","1,182",984,"1,310",968,"1,612",772,922,"2,201","1,203","1,592","1,007",692,915,"1,025","1,764","1,510","1,612","1,173",830,"1,449","1,227"
2020년10월_남_20~29세,"67,878","18,527","1,104","1,281",919,"1,408","1,286","1,099","1,105",968,"1,208","1,151",873,700,"1,202","2,785",457,678,303,"16,169","2,970",845,481,"1,823",875,"1,936","1,942",973,976,"1,652","1,696","33,182","1,955","1,195",521,936,"1,666","2,136","1,056","1,051","2,267","1,490","1,791",951,"1,412","1,040","2,199","1,147","1,553","1,918","2,022","1,309","2,311","1,256"
2020년10월_남_30~39세,"69,757","19,345","1,058","1,686",860,"1,217","1,196",942,907,862,"1,179","1,151",858,597,"1,559","3,536",497,936,304,"16,634","3,286",990,609,"1,738",698,"1,629","2,192",913,910,"1,542","2,127","33,778","1,827","1,127",385,762,"1,838","2,314","1,489","1,099","2,043","1,217","1,748",620,"1,444",990,"2,907","1,372","1,614","1,770","2,216","1,382","2,196","1,418"
2020년10월_남_40~49세,"77,954","19,950","1,161","1,434",968,"1,178","1,199","1,079","1,091",970,"1,209","1,252","1,157",844,"1,192","4,039",405,536,236,"17,472","2,613","1,280",575,"1,925",833,"1,888","2,209","1,110",998,"1,580","2,461","40,532","2,141","1,672","1,200","1,481","1,543","2,615","1,225","1,314","2,908","1,457","2,150","1,089","1,367","1,264","2,191","2,539","2,297","2,265","2,071","1,430","2,354","1,959"
