카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년08월_계_총인구수,"31,477","10,127","1,441","1,879","2,605","8,475","1,956","1,577","3,417"
2020년08월_계_연령구간인구수,"31,477","10,127","1,441","1,879","2,605","8,475","1,956","1,577","3,417"
2020년08월_계_0~9세,"1,449",603,34,48,65,508,43,28,120
2020년08월_계_10~19세,"2,097",927,49,50,83,797,41,47,103
2020년08월_계_20~29세,"2,521",969,91,121,214,741,129,71,185
2020년08월_계_30~39세,"2,344",835,68,109,171,792,117,66,186
2020년08월_계_40~49세,"3,924","1,578",105,150,257,"1,254",150,138,292
2020년08월_계_50~59세,"5,939","1,840",261,347,571,"1,608",410,282,620
2020년08월_계_60~69세,"6,143","1,647",353,444,589,"1,470",470,361,809
2020년08월_계_70~79세,"4,111","1,077",241,350,374,832,347,313,577
2020년08월_계_80~89세,"2,628",582,215,231,251,431,216,250,452
2020년08월_계_90~99세,312,68,22,28,29,42,33,20,70
2020년08월_계_100세 이상,9,1,2,1,1,0,0,1,3
2020년08월_남_총인구수,"16,110","5,094",715,938,"1,419","4,392","1,047",808,"1,697"
2020년08월_남_연령구간인구수,"16,110","5,094",715,938,"1,419","4,392","1,047",808,"1,697"
2020년08월_남_0~9세,735,311,19,24,29,253,24,13,62
2020년08월_남_10~19세,"1,121",501,26,29,43,425,25,19,53
2020년08월_남_20~29세,"1,462",561,51,66,124,428,81,48,103
2020년08월_남_30~39세,"1,289",430,45,64,107,424,74,44,101
2020년08월_남_40~49세,"2,205",820,58,95,168,682,104,92,186
2020년08월_남_50~59세,"3,338","1,020",139,189,337,886,254,167,346
2020년08월_남_60~69세,"3,203",800,198,232,335,763,254,185,436
2020년08월_남_70~79세,"1,813",447,97,156,178,370,164,151,250
2020년08월_남_80~89세,868,192,74,75,92,151,58,84,142
2020년08월_남_90~99세,72,12,7,7,6,10,9,4,17
2020년08월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년08월_여_총인구수,"15,367","5,033",726,941,"1,186","4,083",909,769,"1,720"
2020년08월_여_연령구간인구수,"15,367","5,033",726,941,"1,186","4,083",909,769,"1,720"
2020년08월_여_0~9세,714,292,15,24,36,255,19,15,58
2020년08월_여_10~19세,976,426,23,21,40,372,16,28,50
2020년08월_여_20~29세,"1,059",408,40,55,90,313,48,23,82
2020년08월_여_30~39세,"1,055",405,23,45,64,368,43,22,85
2020년08월_여_40~49세,"1,719",758,47,55,89,572,46,46,106
2020년08월_여_50~59세,"2,601",820,122,158,234,722,156,115,274
2020년08월_여_60~69세,"2,940",847,155,212,254,707,216,176,373
2020년08월_여_70~79세,"2,298",630,144,194,196,462,183,162,327
2020년08월_여_80~89세,"1,760",390,141,156,159,280,158,166,310
2020년08월_여_90~99세,240,56,15,21,23,32,24,16,53
2020년08월_여_100세 이상,5,1,1,0,1,0,0,0,2
