카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년03월_계_총인구수,"119,260","30,731","10,478","4,773","13,633","7,990","9,746","3,861","3,759","4,584","6,819","17,717","5,169"
2021년03월_계_연령구간인구수,"119,260","30,731","10,478","4,773","13,633","7,990","9,746","3,861","3,759","4,584","6,819","17,717","5,169"
2021년03월_계_0~9세,"7,235","2,189",925,174,730,474,624,127,110,138,225,"1,287",232
2021년03월_계_10~19세,"9,689","3,271",946,241,"1,042",559,849,225,158,192,375,"1,499",332
2021년03월_계_20~29세,"10,577","3,554",839,348,"1,216",733,609,243,224,281,472,"1,653",405
2021년03월_계_30~39세,"10,759","3,191","1,190",358,"1,198",769,827,283,193,290,403,"1,688",369
2021년03월_계_40~49세,"16,287","4,810","1,693",515,"1,813","1,069","1,488",420,355,380,681,"2,463",600
2021년03월_계_50~59세,"20,728","5,384","1,646",879,"2,426","1,381","1,704",664,668,909,"1,262","2,921",884
2021년03월_계_60~69세,"23,399","4,543","1,805","1,268","2,745","1,685","2,105",978,"1,007","1,166","1,711","3,153","1,233"
2021년03월_계_70~79세,"13,129","2,427",959,706,"1,639",873,"1,045",561,611,702,991,"1,898",717
2021년03월_계_80~89세,"6,413","1,200",413,237,699,390,413,316,388,441,589,978,349
2021년03월_계_90~99세,"1,003",154,59,46,114,56,79,44,43,81,107,173,47
2021년03월_계_100세 이상,41,8,3,1,11,1,3,0,2,4,3,4,1
2021년03월_남_총인구수,"59,853","15,418","5,194","2,408","6,786","4,043","4,841","1,949","1,924","2,280","3,486","8,910","2,614"
2021년03월_남_연령구간인구수,"59,853","15,418","5,194","2,408","6,786","4,043","4,841","1,949","1,924","2,280","3,486","8,910","2,614"
2021년03월_남_0~9세,"3,691","1,134",466,93,370,225,301,63,62,79,133,657,108
2021년03월_남_10~19세,"5,108","1,685",494,143,541,302,454,113,91,100,213,789,183
2021년03월_남_20~29세,"5,878","1,973",442,199,652,429,337,137,123,162,278,920,226
2021년03월_남_30~39세,"5,438","1,613",559,188,610,399,385,162,104,158,211,853,196
2021년03월_남_40~49세,"8,268","2,321",852,258,918,562,746,220,209,206,374,"1,280",322
2021년03월_남_50~59세,"10,658","2,781",833,441,"1,222",695,855,356,352,480,665,"1,510",468
2021년03월_남_60~69세,"11,646","2,264",882,607,"1,329",849,"1,018",499,515,575,914,"1,578",616
2021년03월_남_70~79세,"6,448","1,176",495,376,803,426,560,270,296,328,462,901,355
2021년03월_남_80~89세,"2,477",433,157,94,311,140,165,122,161,172,206,384,132
2021년03월_남_90~99세,231,38,14,8,24,16,20,7,10,19,29,38,8
2021년03월_남_100세 이상,10,0,0,1,6,0,0,0,1,1,1,0,0
2021년03월_여_총인구수,"59,407","15,313","5,284","2,365","6,847","3,947","4,905","1,912","1,835","2,304","3,333","8,807","2,555"
2021년03월_여_연령구간인구수,"59,407","15,313","5,284","2,365","6,847","3,947","4,905","1,912","1,835","2,304","3,333","8,807","2,555"
2021년03월_여_0~9세,"3,544","1,055",459,81,360,249,323,64,48,59,92,630,124
2021년03월_여_10~19세,"4,581","1,586",452,98,501,257,395,112,67,92,162,710,149
2021년03월_여_20~29세,"4,699","1,581",397,149,564,304,272,106,101,119,194,733,179
2021년03월_여_30~39세,"5,321","1,578",631,170,588,370,442,121,89,132,192,835,173
2021년03월_여_40~49세,"8,019","2,489",841,257,895,507,742,200,146,174,307,"1,183",278
2021년03월_여_50~59세,"10,070","2,603",813,438,"1,204",686,849,308,316,429,597,"1,411",416
2021년03월_여_60~69세,"11,753","2,279",923,661,"1,416",836,"1,087",479,492,591,797,"1,575",617
2021년03월_여_70~79세,"6,681","1,251",464,330,836,447,485,291,315,374,529,997,362
2021년03월_여_80~89세,"3,936",767,256,143,388,250,248,194,227,269,383,594,217
2021년03월_여_90~99세,772,116,45,38,90,40,59,37,33,62,78,135,39
2021년03월_여_100세 이상,31,8,3,0,5,1,3,0,1,3,2,4,1
