,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년04월_계_총인구수,"61,802","29,332","8,537","2,357","4,290","5,369","5,344","4,322","2,251"
2021년04월_계_연령구간인구수,"61,802","29,332","8,537","2,357","4,290","5,369","5,344","4,322","2,251"
2021년04월_계_0~9세,"2,976","2,123",304,67,116,117,97,106,46
2021년04월_계_10~19세,"4,335","2,874",539,126,167,203,176,159,91
2021년04월_계_20~29세,"4,812","2,893",524,91,399,258,245,285,117
2021년04월_계_30~39세,"4,912","3,133",540,114,242,300,245,234,104
2021년04월_계_40~49세,"7,590","4,426",985,248,398,466,509,370,188
2021년04월_계_50~59세,"10,694","4,937","1,522",414,734,989,961,779,358
2021년04월_계_60~69세,"12,393","4,457","1,955",564,"1,029","1,423","1,392","1,024",549
2021년04월_계_70~79세,"8,859","2,928","1,447",439,720,"1,022","1,048",799,456
2021년04월_계_80~89세,"4,561","1,377",603,268,424,510,596,482,301
2021년04월_계_90~99세,648,181,108,25,59,78,75,82,40
2021년04월_계_100세 이상,22,3,10,1,2,3,0,2,1
2021년04월_남_총인구수,"31,128","14,803","4,233","1,131","2,215","2,747","2,648","2,210","1,141"
2021년04월_남_연령구간인구수,"31,128","14,803","4,233","1,131","2,215","2,747","2,648","2,210","1,141"
2021년04월_남_0~9세,"1,480","1,068",153,23,51,54,50,55,26
2021년04월_남_10~19세,"2,241","1,477",294,53,92,108,91,81,45
2021년04월_남_20~29세,"2,824","1,658",308,56,265,161,133,177,66
2021년04월_남_30~39세,"2,718","1,686",282,61,144,196,140,147,62
2021년04월_남_40~49세,"4,272","2,347",557,149,253,298,322,218,128
2021년04월_남_50~59세,"5,631","2,526",805,228,385,534,519,429,205
2021년04월_남_60~69세,"5,993","2,142",912,268,510,693,685,512,271
2021년04월_남_70~79세,"4,218","1,388",688,197,346,489,486,398,226
2021년04월_남_80~89세,"1,612",466,212,91,153,198,209,176,107
2021년04월_남_90~99세,132,45,18,5,14,16,13,16,5
2021년04월_남_100세 이상,7,0,4,0,2,0,0,1,0
2021년04월_여_총인구수,"30,674","14,529","4,304","1,226","2,075","2,622","2,696","2,112","1,110"
2021년04월_여_연령구간인구수,"30,674","14,529","4,304","1,226","2,075","2,622","2,696","2,112","1,110"
2021년04월_여_0~9세,"1,496","1,055",151,44,65,63,47,51,20
2021년04월_여_10~19세,"2,094","1,397",245,73,75,95,85,78,46
2021년04월_여_20~29세,"1,988","1,235",216,35,134,97,112,108,51
2021년04월_여_30~39세,"2,194","1,447",258,53,98,104,105,87,42
2021년04월_여_40~49세,"3,318","2,079",428,99,145,168,187,152,60
2021년04월_여_50~59세,"5,063","2,411",717,186,349,455,442,350,153
2021년04월_여_60~69세,"6,400","2,315","1,043",296,519,730,707,512,278
2021년04월_여_70~79세,"4,641","1,540",759,242,374,533,562,401,230
2021년04월_여_80~89세,"2,949",911,391,177,271,312,387,306,194
2021년04월_여_90~99세,516,136,90,20,45,62,62,66,35
2021년04월_여_100세 이상,15,3,6,1,0,3,0,1,1
