,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년10월_계_총인구수,"561,568","24,266","14,768","8,627","27,992","14,351","17,687","31,911","29,525","23,778","16,791","31,995","22,589","43,919","16,642","77,067","39,673","20,320","11,541","36,623","19,804","18,522","13,177"
2020년10월_계_연령구간인구수,"561,568","24,266","14,768","8,627","27,992","14,351","17,687","31,911","29,525","23,778","16,791","31,995","22,589","43,919","16,642","77,067","39,673","20,320","11,541","36,623","19,804","18,522","13,177"
2020년10월_계_0~9세,"40,841","1,720",603,398,"2,176",668,"1,355","2,089","1,877","1,355",891,"1,441","2,203","5,194",627,"9,012","3,042","1,160",388,"2,360",861,766,655
2020년10월_계_10~19세,"55,843","2,045",737,570,"2,338","1,002","1,705","3,625","3,001","2,562","1,410","2,505","2,210","8,332","1,176","8,418","4,880","1,485",607,"3,680","1,343","1,243",969
2020년10월_계_20~29세,"80,018","2,972","2,384","1,309","4,330","2,384","2,542","5,154","4,732","4,186","2,581","6,766","2,776","4,231","1,845","9,311","5,413","3,523","1,275","5,113","2,931","2,545","1,715"
2020년10월_계_30~39세,"67,353","2,885","1,897",948,"3,835","1,796","2,275","3,397","3,387","2,550","2,152","3,665","3,202","4,668","1,337","11,514","4,180","2,893","1,115","3,897","2,295","1,956","1,509"
2020년10월_계_40~49세,"90,099","3,628","1,846","1,149","4,180","2,011","2,817","5,328","4,672","3,778","2,389","4,658","4,065","10,760","2,306","13,697","6,511","2,634","1,245","5,299","2,733","2,431","1,962"
2020년10월_계_50~59세,"104,218","4,266","2,606","1,534","5,245","2,903","3,378","6,698","6,518","5,281","3,579","6,460","3,937","5,944","3,114","11,947","7,367","3,845","2,289","7,405","3,840","3,450","2,612"
2020년10월_계_60~69세,"72,657","3,811","2,497","1,390","3,672","2,203","2,218","3,452","3,306","2,476","2,523","3,651","2,678","2,882","3,122","7,953","5,010","2,949","2,594","5,507","3,259","3,352","2,152"
2020년10월_계_70~79세,"34,163","2,045","1,517",886,"1,605",961,990,"1,493","1,375","1,051",889,"1,878","1,068","1,290","2,071","3,567","2,125","1,230","1,334","2,193","1,731","1,812","1,052"
2020년10월_계_80~89세,"14,593",798,614,402,540,380,365,616,592,489,336,866,401,540,944,"1,465","1,013",522,610,"1,051",727,842,480
2020년10월_계_90~99세,"1,695",87,61,36,69,41,39,57,63,50,41,103,45,70,94,166,128,75,83,118,81,117,71
2020년10월_계_100세 이상,88,9,6,5,2,2,3,2,2,0,0,2,4,8,6,17,4,4,1,0,3,8,0
2020년10월_남_총인구수,"277,231","11,819","7,169","4,181","13,710","7,097","8,741","16,037","14,890","11,979","8,518","16,407","11,191","21,529","7,983","37,884","19,417","10,095","5,566","17,794","9,794","8,908","6,522"
2020년10월_남_연령구간인구수,"277,231","11,819","7,169","4,181","13,710","7,097","8,741","16,037","14,890","11,979","8,518","16,407","11,191","21,529","7,983","37,884","19,417","10,095","5,566","17,794","9,794","8,908","6,522"
2020년10월_남_0~9세,"20,944",839,310,214,"1,091",324,708,"1,086",999,698,469,765,"1,091","2,636",348,"4,618","1,547",605,198,"1,221",461,385,331
2020년10월_남_10~19세,"28,956",965,378,293,"1,198",538,888,"1,942","1,592","1,300",738,"1,254","1,058","4,231",610,"4,410","2,678",797,335,"1,901",709,628,513
2020년10월_남_20~29세,"42,679","1,516","1,113",665,"2,173","1,228","1,333","2,770","2,567","2,302","1,414","3,677","1,505","2,329","1,016","4,931","2,957","1,855",726,"2,765","1,526","1,354",957
2020년10월_남_30~39세,"35,055","1,486",980,482,"1,982","1,027","1,184","1,773","1,834","1,366","1,207","2,147","1,638","2,057",730,"5,597","2,067","1,644",638,"2,029","1,268","1,083",836
2020년10월_남_40~49세,"43,634","1,871","1,019",600,"2,051",981,"1,360","2,433","2,196","1,744","1,175","2,391","2,022","4,955","1,193","6,715","2,902","1,282",653,"2,428","1,410","1,231","1,022"
2020년10월_남_50~59세,"50,394","2,132","1,308",731,"2,490","1,367","1,607","3,370","3,171","2,623","1,676","3,283","1,917","3,217","1,551","5,650","3,462","1,757","1,039","3,384","1,819","1,593","1,247"
2020년10월_남_60~69세,"35,074","1,797","1,170",654,"1,753","1,068","1,088","1,728","1,707","1,302","1,303","1,821","1,291","1,337","1,429","3,798","2,457","1,422","1,198","2,699","1,516","1,534","1,002"
2020년10월_남_70~79세,"15,181",924,656,379,755,418,440,705,597,469,400,800,515,571,798,"1,617",958,553,601,988,811,771,455
2020년10월_남_80~89세,"4,923",274,225,154,201,133,123,222,210,165,124,249,143,177,282,502,358,166,158,354,263,303,137
2020년10월_남_90~99세,373,14,9,9,14,12,9,8,17,10,12,20,9,18,25,40,31,14,20,25,11,24,22
2020년10월_남_100세 이상,18,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,2,0
2020년10월_여_총인구수,"284,337","12,447","7,599","4,446","14,282","7,254","8,946","15,874","14,635","11,799","8,273","15,588","11,398","22,390","8,659","39,183","20,256","10,225","5,975","18,829","10,010","9,614","6,655"
