,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년04월_계_총인구수,"361,396","43,290","2,781","3,153","6,211","8,941","6,895","7,422","5,578","3,486","2,413","19,181","31,539","40,907","23,618","29,422","34,419","33,596","19,351","11,259","27,934"
2021년04월_계_연령구간인구수,"361,396","43,290","2,781","3,153","6,211","8,941","6,895","7,422","5,578","3,486","2,413","19,181","31,539","40,907","23,618","29,422","34,419","33,596","19,351","11,259","27,934"
2021년04월_계_0~9세,"47,239","3,164",97,88,320,326,232,336,183,72,98,"2,540","4,578","5,782","3,459","4,590","5,910","5,853","3,126","1,647","4,838"
2021년04월_계_10~19세,"43,710","4,175",106,129,364,406,312,406,375,116,176,"3,341","4,214","5,496","4,328","4,209","4,829","3,629","2,556","1,077","3,466"
2021년04월_계_20~29세,"38,010","6,470",392,296,715,924,"1,038",866,560,280,275,"1,724","3,820","4,615","1,850","2,564","2,566","3,220","1,872","1,373","2,590"
2021년04월_계_30~39세,"61,490","5,510",362,293,745,911,920,737,490,242,181,"2,499","6,304","7,547","3,381","5,372","6,423","7,755","3,533","2,254","6,031"
2021년04월_계_40~49세,"70,245","6,878",335,339,818,"1,026",944,880,659,338,334,"4,481","6,572","8,729","5,913","6,292","7,595","6,494","3,948","1,964","5,706"
2021년04월_계_50~59세,"46,140","6,647",528,524,"1,090","1,604","1,282","1,221","1,021",692,443,"2,638","3,483","4,713","2,775","3,252","3,520","3,783","2,351","1,678","2,895"
2021년04월_계_60~69세,"31,569","5,551",526,685,"1,088","1,818","1,154","1,430","1,046",872,416,"1,226","1,763","2,428","1,250","1,995","2,438","1,981","1,341",883,"1,678"
2021년04월_계_70~79세,"14,422","3,082",254,426,619,"1,128",580,892,664,507,273,488,551,"1,033",463,782,843,614,440,249,534
2021년04월_계_80~89세,"7,284","1,562",149,308,399,672,384,581,494,314,192,203,199,459,164,326,248,211,154,106,159
2021년04월_계_90~99세,"1,251",243,31,61,52,122,48,71,81,51,25,39,55,105,34,39,47,52,30,28,37
2021년04월_계_100세 이상,36,8,1,4,1,4,1,2,5,2,0,2,0,0,1,1,0,4,0,0,0
2021년04월_남_총인구수,"180,462","22,487","1,586","1,653","3,426","4,744","3,991","4,051","2,962","1,891","1,281","9,447","15,286","19,768","11,689","14,295","16,834","16,524","9,493","5,576","13,478"
2021년04월_남_연령구간인구수,"180,462","22,487","1,586","1,653","3,426","4,744","3,991","4,051","2,962","1,891","1,281","9,447","15,286","19,768","11,689","14,295","16,834","16,524","9,493","5,576","13,478"
