,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년06월_계_총인구수,"270,606","16,182","33,347","12,891","17,165","15,667","45,373","17,635","12,699","8,928","8,076","14,310","7,225","13,656","14,586","8,991","14,608","9,267"
2020년06월_계_연령구간인구수,"270,606","16,182","33,347","12,891","17,165","15,667","45,373","17,635","12,699","8,928","8,076","14,310","7,225","13,656","14,586","8,991","14,608","9,267"
2020년06월_계_0~9세,"18,722",596,"2,910","1,080","1,147","1,843","3,585","1,513",534,580,508,759,345,683,875,374,977,413
2020년06월_계_10~19세,"23,649","1,011","3,236",868,"1,505","1,478","5,262","1,845",937,693,761,"1,040",519,954,"1,302",422,"1,223",593
2020년06월_계_20~29세,"35,425","3,565","6,277","1,305","2,627","1,798","5,096","1,708","1,479",958,"1,000","1,622",711,"1,385","1,746","1,269","1,823","1,056"
2020년06월_계_30~39세,"31,319","1,938","4,425","1,882","2,096","2,313","4,402","1,953","1,195","1,132",767,"1,500",716,"1,365","1,473","1,383","1,849",930
2020년06월_계_40~49세,"42,625","2,102","5,737","1,910","2,702","2,707","7,984","2,989","1,679","1,382","1,281","2,087","1,086","1,935","2,292","1,207","2,216","1,329"
2020년06월_계_50~59세,"43,416","2,292","4,685","1,924","2,480","2,232","7,900","2,757","2,268","1,380","1,437","2,442","1,213","2,275","2,591","1,402","2,522","1,616"
2020년06월_계_60~69세,"40,343","2,393","3,368","1,983","2,395","1,828","6,162","2,773","2,476","1,591","1,301","2,609","1,310","2,689","2,251","1,374","2,153","1,687"
2020년06월_계_70~79세,"24,708","1,619","1,849","1,374","1,547","1,046","3,447","1,477","1,557",882,745,"1,616",961,"1,668","1,455","1,028","1,297","1,140"
2020년06월_계_80~89세,"9,138",594,744,509,602,363,"1,327",534,510,279,238,561,336,591,539,470,495,446
2020년06월_계_90~99세,"1,127",61,102,46,58,52,200,77,57,42,36,59,26,101,56,52,51,51
2020년06월_계_100세 이상,134,11,14,10,6,7,8,9,7,9,2,15,2,10,6,10,2,6
2020년06월_남_총인구수,"132,436","8,076","16,246","6,292","8,284","7,534","21,826","8,676","6,174","4,311","4,113","7,307","3,587","6,772","7,115","4,495","7,090","4,538"
2020년06월_남_연령구간인구수,"132,436","8,076","16,246","6,292","8,284","7,534","21,826","8,676","6,174","4,311","4,113","7,307","3,587","6,772","7,115","4,495","7,090","4,538"
2020년06월_남_0~9세,"9,544",286,"1,508",555,591,882,"1,788",789,258,312,272,400,189,386,449,196,486,197
2020년06월_남_10~19세,"12,217",519,"1,645",457,764,776,"2,681",980,475,339,380,574,277,489,673,235,619,334
2020년06월_남_20~29세,"18,777","1,935","3,185",682,"1,326",898,"2,741",938,811,501,587,936,397,778,917,597,972,576
2020년06월_남_30~39세,"16,011","1,076","2,175",967,"1,053","1,111","2,039",982,662,594,407,808,396,735,759,751,976,520
2020년06월_남_40~49세,"21,346","1,118","2,783","1,021","1,330","1,325","3,721","1,487",841,694,659,"1,134",594,"1,026","1,152",676,"1,070",715
2020년06월_남_50~59세,"21,137","1,102","2,217",887,"1,212","1,075","3,834","1,306","1,096",643,741,"1,240",621,"1,134","1,276",744,"1,231",778
2020년06월_남_60~69세,"18,592","1,050","1,581",910,"1,065",817,"2,919","1,286","1,125",705,639,"1,259",555,"1,221","1,058",681,963,758
2020년06월_남_70~79세,"11,070",717,844,600,673,496,"1,540",711,711,403,328,723,425,780,628,440,575,476
2020년06월_남_80~89세,"3,476",257,285,202,255,140,506,182,186,105,93,218,131,206,193,160,186,171
2020년06월_남_90~99세,242,14,21,10,14,14,55,14,9,13,6,12,2,15,8,12,12,11
2020년06월_남_100세 이상,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020년06월_여_총인구수,"138,170","8,106","17,101","6,599","8,881","8,133","23,547","8,959","6,525","4,617","3,963","7,003","3,638","6,884","7,471","4,496","7,518","4,729"
2020년06월_여_연령구간인구수,"138,170","8,106","17,101","6,599","8,881","8,133","23,547","8,959","6,525","4,617","3,963","7,003","3,638","6,884","7,471","4,496","7,518","4,729"
2020년06월_여_0~9세,"9,178",310,"1,402",525,556,961,"1,797",724,276,268,236,359,156,297,426,178,491,216
2020년06월_여_10~19세,"11,432",492,"1,591",411,741,702,"2,581",865,462,354,381,466,242,465,629,187,604,259
2020년06월_여_20~29세,"16,648","1,630","3,092",623,"1,301",900,"2,355",770,668,457,413,686,314,607,829,672,851,480
2020년06월_여_30~39세,"15,308",862,"2,250",915,"1,043","1,202","2,363",971,533,538,360,692,320,630,714,632,873,410
2020년06월_여_40~49세,"21,279",984,"2,954",889,"1,372","1,382","4,263","1,502",838,688,622,953,492,909,"1,140",531,"1,146",614
2020년06월_여_50~59세,"22,279","1,190","2,468","1,037","1,268","1,157","4,066","1,451","1,172",737,696,"1,202",592,"1,141","1,315",658,"1,291",838
2020년06월_여_60~69세,"21,751","1,343","1,787","1,073","1,330","1,011","3,243","1,487","1,351",886,662,"1,350",755,"1,468","1,193",693,"1,190",929
2020년06월_여_70~79세,"13,638",902,"1,005",774,874,550,"1,907",766,846,479,417,893,536,888,827,588,722,664
2020년06월_여_80~89세,"5,662",337,459,307,347,223,821,352,324,174,145,343,205,385,346,310,309,275
