카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2020년10월_계_총인구수,"383,529","19,849","21,148","17,503","20,274","21,607","16,805","25,379","25,972","18,786","18,943","37,058","36,592","48,755","24,780","30,078"
2020년10월_계_연령구간인구수,"383,529","19,849","21,148","17,503","20,274","21,607","16,805","25,379","25,972","18,786","18,943","37,058","36,592","48,755","24,780","30,078"
2020년10월_계_0~9세,"38,043","1,431","1,567",914,996,"1,416","1,036","1,307","2,368","1,405","1,603","3,160","4,869","7,049","3,787","5,135"
2020년10월_계_10~19세,"42,469","1,918","2,259","1,103","1,648","1,751","1,260","1,802","2,692","2,022","2,863","5,491","6,274","5,941","2,808","2,637"
2020년10월_계_20~29세,"52,034","2,743","3,095","2,508","3,187","3,407","2,310","3,568","3,671","2,788","2,592","6,311","3,680","6,151","2,817","3,206"
2020년10월_계_30~39세,"57,128","2,369","2,550","2,356","2,653","3,254","2,279","3,060","3,959","2,607","1,870","4,251","4,524","9,480","4,786","7,130"
2020년10월_계_40~49세,"67,841","3,203","3,398","2,365","3,358","3,104","2,277","3,767","4,222","3,003","3,423","6,571","8,539","9,895","5,134","5,582"
2020년10월_계_50~59세,"64,138","3,740","4,043","3,510","4,053","3,969","3,157","5,341","4,738","3,527","3,423","6,168","5,403","6,001","3,252","3,813"
2020년10월_계_60~69세,"37,867","2,436","2,412","2,864","2,640","2,744","2,471","3,799","2,843","2,145","1,861","3,285","2,139","2,779","1,517","1,932"
2020년10월_계_70~79세,"15,458","1,323","1,165","1,253","1,168","1,188","1,160","1,742",914,805,836,"1,187",750,"1,040",479,448
2020년10월_계_80~89세,"7,206",602,556,544,490,653,706,851,451,431,384,513,341,354,177,153
2020년10월_계_90~99세,"1,286",81,99,83,77,116,142,133,101,49,87,120,70,65,22,41
2020년10월_계_100세 이상,59,3,4,3,4,5,7,9,13,4,1,1,3,0,1,1
2020년10월_남_총인구수,"190,662","9,850","10,467","9,060","11,127","10,620","8,010","13,131","12,751","9,186","9,228","18,222","17,968","23,890","12,232","14,920"
2020년10월_남_연령구간인구수,"190,662","9,850","10,467","9,060","11,127","10,620","8,010","13,131","12,751","9,186","9,228","18,222","17,968","23,890","12,232","14,920"
2020년10월_남_0~9세,"19,361",745,793,483,520,729,523,672,"1,202",719,798,"1,631","2,475","3,545","1,921","2,605"
2020년10월_남_10~19세,"21,821","1,014","1,154",574,909,896,664,933,"1,344","1,041","1,470","2,804","3,229","3,014","1,419","1,356"
2020년10월_남_20~29세,"26,945","1,488","1,639","1,391","1,816","1,809","1,142","1,995","1,893","1,438","1,350","3,166","1,876","2,969","1,406","1,567"
2020년10월_남_30~39세,"28,170","1,217","1,259","1,355","1,578","1,709","1,200","1,759","1,959","1,335",824,"1,997","1,885","4,435","2,223","3,435"
2020년10월_남_40~49세,"33,438","1,568","1,676","1,325","1,930","1,520","1,077","2,011","2,021","1,389","1,555","3,022","4,009","4,894","2,570","2,871"
2020년10월_남_50~59세,"31,714","1,811","1,955","1,665","2,202","1,860","1,448","2,711","2,233","1,671","1,710","3,100","2,878","3,024","1,629","1,817"
2020년10월_남_60~69세,"19,473","1,205","1,223","1,483","1,427","1,385","1,244","1,946","1,478","1,091",983,"1,722","1,138","1,395",766,987
2020년10월_남_70~79세,"7,110",579,553,577,569,504,493,784,452,355,383,578,337,481,232,233
2020년10월_남_80~89세,"2,320",200,188,190,158,177,195,286,140,132,134,175,125,115,64,41
2020년10월_남_90~99세,294,23,25,17,18,29,22,30,25,14,21,27,15,18,2,8
2020년10월_남_100세 이상,16,0,2,0,0,2,2,4,4,1,0,0,1,0,0,0
2020년10월_여_총인구수,"192,867","9,999","10,681","8,443","9,147","10,987","8,795","12,248","13,221","9,600","9,715","18,836","18,624","24,865","12,548","15,158"
2020년10월_여_연령구간인구수,"192,867","9,999","10,681","8,443","9,147","10,987","8,795","12,248","13,221","9,600","9,715","18,836","18,624","24,865","12,548","15,158"
2020년10월_여_0~9세,"18,682",686,774,431,476,687,513,635,"1,166",686,805,"1,529","2,394","3,504","1,866","2,530"
2020년10월_여_10~19세,"20,648",904,"1,105",529,739,855,596,869,"1,348",981,"1,393","2,687","3,045","2,927","1,389","1,281"
2020년10월_여_20~29세,"25,089","1,255","1,456","1,117","1,371","1,598","1,168","1,573","1,778","1,350","1,242","3,145","1,804","3,182","1,411","1,639"
2020년10월_여_30~39세,"28,958","1,152","1,291","1,001","1,075","1,545","1,079","1,301","2,000","1,272","1,046","2,254","2,639","5,045","2,563","3,695"
2020년10월_여_40~49세,"34,403","1,635","1,722","1,040","1,428","1,584","1,200","1,756","2,201","1,614","1,868","3,549","4,530","5,001","2,564","2,711"
2020년10월_여_50~59세,"32,424","1,929","2,088","1,845","1,851","2,109","1,709","2,630","2,505","1,856","1,713","3,068","2,525","2,977","1,623","1,996"
2020년10월_여_60~69세,"18,394","1,231","1,189","1,381","1,213","1,359","1,227","1,853","1,365","1,054",878,"1,563","1,001","1,384",751,945
2020년10월_여_70~79세,"8,348",744,612,676,599,684,667,958,462,450,453,609,413,559,247,215
2020년10월_여_80~89세,"4,886",402,368,354,332,476,511,565,311,299,250,338,216,239,113,112
2020년10월_여_90~99세,992,58,74,66,59,87,120,103,76,35,66,93,55,47,20,33
2020년10월_여_100세 이상,43,3,2,3,4,3,5,5,9,3,1,1,2,0,1,1
