,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년07월_계_총인구수,"53,236","8,126","15,033","6,475","1,832","2,044","3,660","3,494","2,257","3,182","1,899","2,989","2,245"
2021년07월_계_연령구간인구수,"53,236","8,126","15,033","6,475","1,832","2,044","3,660","3,494","2,257","3,182","1,899","2,989","2,245"
2021년07월_계_0~9세,"3,304",549,"1,475",527,64,44,94,107,69,103,65,137,70
2021년07월_계_10~19세,"4,373",775,"1,821",672,90,67,182,125,102,168,81,188,102
2021년07월_계_20~29세,"4,975",858,"1,611",910,105,115,243,223,183,223,117,252,135
2021년07월_계_30~39세,"4,532",684,"1,797",786,108,83,204,183,133,163,96,151,144
2021년07월_계_40~49세,"7,286","1,026","2,887","1,252",163,177,369,317,187,283,136,280,209
2021년07월_계_50~59세,"9,443","1,414","2,572","1,409",313,387,646,574,413,540,303,502,370
2021년07월_계_60~69세,"8,386","1,282","1,602",540,344,448,809,805,461,616,391,595,493
2021년07월_계_70~79세,"6,211",914,836,240,309,385,644,644,388,612,370,474,395
2021년07월_계_80~89세,"4,147",515,397,116,297,292,423,450,296,413,297,354,297
2021년07월_계_90~99세,560,106,34,23,35,45,46,64,23,59,41,55,29
2021년07월_계_100세 이상,19,3,1,0,4,1,0,2,2,2,2,1,1
2021년07월_남_총인구수,"27,567","4,031","8,029","3,772",906,"1,031","1,847","1,757","1,153","1,534",918,"1,462","1,127"
2021년07월_남_연령구간인구수,"27,567","4,031","8,029","3,772",906,"1,031","1,847","1,757","1,153","1,534",918,"1,462","1,127"
2021년07월_남_0~9세,"1,671",286,706,266,40,18,49,62,48,59,28,76,33
2021년07월_남_10~19세,"2,316",418,964,356,42,44,96,68,63,92,46,81,46
2021년07월_남_20~29세,"2,921",476,887,566,63,72,169,145,109,135,70,145,84
2021년07월_남_30~39세,"2,455",343,899,468,73,44,126,109,85,89,55,77,87
2021년07월_남_40~49세,"4,347",541,"1,724",784,100,102,214,209,117,165,84,167,140
2021년07월_남_50~59세,"5,439",739,"1,495",872,199,233,349,347,232,308,179,279,207
2021년07월_남_60~69세,"4,363",648,851,319,165,261,419,401,245,308,202,297,247
2021년07월_남_70~79세,"2,662",393,379,105,127,168,272,285,160,244,150,205,174
2021년07월_남_80~89세,"1,283",163,119,32,88,80,144,122,89,123,99,122,102
2021년07월_남_90~99세,108,24,5,4,8,9,9,9,5,10,5,13,7
2021년07월_남_100세 이상,2,0,0,0,1,0,0,0,0,1,0,0,0
2021년07월_여_총인구수,"25,669","4,095","7,004","2,703",926,"1,013","1,813","1,737","1,104","1,648",981,"1,527","1,118"
2021년07월_여_연령구간인구수,"25,669","4,095","7,004","2,703",926,"1,013","1,813","1,737","1,104","1,648",981,"1,527","1,118"
2021년07월_여_0~9세,"1,633",263,769,261,24,26,45,45,21,44,37,61,37
2021년07월_여_10~19세,"2,057",357,857,316,48,23,86,57,39,76,35,107,56
2021년07월_여_20~29세,"2,054",382,724,344,42,43,74,78,74,88,47,107,51
2021년07월_여_30~39세,"2,077",341,898,318,35,39,78,74,48,74,41,74,57
2021년07월_여_40~49세,"2,939",485,"1,163",468,63,75,155,108,70,118,52,113,69
2021년07월_여_50~59세,"4,004",675,"1,077",537,114,154,297,227,181,232,124,223,163
2021년07월_여_60~69세,"4,023",634,751,221,179,187,390,404,216,308,189,298,246
2021년07월_여_70~79세,"3,549",521,457,135,182,217,372,359,228,368,220,269,221
2021년07월_여_80~89세,"2,864",352,278,84,209,212,279,328,207,290,198,232,195
2021년07월_여_90~99세,452,82,29,19,27,36,37,55,18,49,36,42,22
2021년07월_여_100세 이상,17,3,1,0,3,1,0,2,2,1,2,1,1
