,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년06월_계_총인구수,"106,422","5,495","7,359","7,650","13,680","8,487","7,810","7,661","6,777","4,401","9,897","4,931","9,322","12,952"
2021년06월_계_연령구간인구수,"106,422","5,495","7,359","7,650","13,680","8,487","7,810","7,661","6,777","4,401","9,897","4,931","9,322","12,952"
2021년06월_계_0~9세,"5,502",327,297,416,"1,125",579,626,427,100,107,471,129,320,578
2021년06월_계_10~19세,"7,202",361,481,510,"1,081",839,765,555,287,166,514,187,493,963
2021년06월_계_20~29세,"13,363",698,755,"1,198","1,705",990,899,"1,561",747,414,"1,398",444,845,"1,709"
2021년06월_계_30~39세,"10,905",670,617,840,"1,807",893,831,932,504,325,"1,134",435,723,"1,194"
2021년06월_계_40~49세,"14,394",731,942,"1,042","2,151","1,302","1,224","1,016",776,559,"1,281",583,"1,161","1,626"
2021년06월_계_50~59세,"17,329",894,"1,256","1,109","2,061","1,379","1,254","1,073","1,153",787,"1,681",889,"1,620","2,173"
2021년06월_계_60~69세,"19,246",902,"1,449","1,296","1,879","1,337","1,190","1,141","1,536",956,"1,757","1,142","2,074","2,587"
2021년06월_계_70~79세,"12,235",566,999,797,"1,236",753,660,619,"1,060",698,"1,153",772,"1,455","1,467"
2021년06월_계_80~89세,"5,532",304,501,382,553,362,313,288,553,347,459,313,567,590
2021년06월_계_90~99세,686,38,61,58,82,51,43,46,57,42,48,37,61,62
2021년06월_계_100세 이상,28,4,1,2,0,2,5,3,4,0,1,0,3,3
2021년06월_남_총인구수,"51,510","2,656","3,599","3,590","6,454","3,885","3,771","3,633","3,437","2,232","4,728","2,509","4,663","6,353"
2021년06월_남_연령구간인구수,"51,510","2,656","3,599","3,590","6,454","3,885","3,771","3,633","3,437","2,232","4,728","2,509","4,663","6,353"
2021년06월_남_0~9세,"2,881",182,156,216,590,303,345,216,50,52,239,68,167,297
2021년06월_남_10~19세,"3,652",175,238,250,553,392,392,283,158,83,262,98,270,498
2021년06월_남_20~29세,"6,522",356,402,533,810,461,464,690,381,229,608,240,463,885
2021년06월_남_30~39세,"5,620",351,337,449,844,420,386,461,286,189,589,250,404,654
2021년06월_남_40~49세,"7,455",386,493,510,"1,056",608,585,514,455,330,666,351,633,868
2021년06월_남_50~59세,"8,887",452,627,554,"1,008",634,610,536,658,449,874,489,902,"1,094"
2021년06월_남_60~69세,"8,976",395,684,594,845,613,565,539,767,472,812,540,986,"1,164"
2021년06월_남_70~79세,"5,336",242,439,334,534,327,291,276,470,314,482,344,631,652
2021년06월_남_80~89세,"2,035",109,213,136,197,117,123,110,198,105,183,121,197,226
2021년06월_남_90~99세,140,8,10,14,17,10,9,7,11,9,13,8,10,14
2021년06월_남_100세 이상,6,0,0,0,0,0,1,1,3,0,0,0,0,1
2021년06월_여_총인구수,"54,912","2,839","3,760","4,060","7,226","4,602","4,039","4,028","3,340","2,169","5,169","2,422","4,659","6,599"
2021년06월_여_연령구간인구수,"54,912","2,839","3,760","4,060","7,226","4,602","4,039","4,028","3,340","2,169","5,169","2,422","4,659","6,599"
2021년06월_여_0~9세,"2,621",145,141,200,535,276,281,211,50,55,232,61,153,281
2021년06월_여_10~19세,"3,550",186,243,260,528,447,373,272,129,83,252,89,223,465
2021년06월_여_20~29세,"6,841",342,353,665,895,529,435,871,366,185,790,204,382,824
2021년06월_여_30~39세,"5,285",319,280,391,963,473,445,471,218,136,545,185,319,540
2021년06월_여_40~49세,"6,939",345,449,532,"1,095",694,639,502,321,229,615,232,528,758
2021년06월_여_50~59세,"8,442",442,629,555,"1,053",745,644,537,495,338,807,400,718,"1,079"
2021년06월_여_60~69세,"10,270",507,765,702,"1,034",724,625,602,769,484,945,602,"1,088","1,423"
2021년06월_여_70~79세,"6,899",324,560,463,702,426,369,343,590,384,671,428,824,815
2021년06월_여_80~89세,"3,497",195,288,246,356,245,190,178,355,242,276,192,370,364
2021년06월_여_90~99세,546,30,51,44,65,41,34,39,46,33,35,29,51,48
2021년06월_여_100세 이상,22,4,1,2,0,2,4,2,1,0,1,0,3,2
